"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6182]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / PACIFIC OCEAN","ROIHO LAVA FIELD","-26.92","-26.92","-109.35","-109.35","SUBAERIAL","","","s EAP7A [6182]","BASALT [6182]","","3000000 [6182]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [6182] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4","126.2","","","24.1","","","","","","","","","","","","","","","","","","","","","","5.66","","","","","","","","","","","","","","","","","","","","","","","","","","138968",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","SOUTHEASTERN SHORE","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-45-72 [1241]","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE [1241]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","45.6","4.24","","15.1","","","","14.9","8.2","4.43","0.15","","0.64","3.1","0.71","","","","","","","","","","","","","","","","2.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","315","42","","","34","4","","","","","","","","4","360","35","330","45","","","","","","","","","","","","","175","24","53","","33","9","3","8","1.4","","","","","4.2","0.6","7","2.2","","","","","","","","","","","2.3","0.67","","","","","","","","","","","","","","","","","","","","","","","","","15018",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","RANO RORAKU, TONGARIKA GROUP, BASEMENT","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-84-72 [1241]","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE [1241]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","46.6","3.65","","15.3","","","","14.2","8.32","4.36","0.16","","0.8","3.25","0.71","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","300","39","","","32","7","","","","","","","","6","400","36","320","47","","","","","","","","","","","","","230","26","55","","32","7.7","2.6","9","1.45","","","","0.68","4.3","0.62","12","3","","","","","","","","","","","2.6","1","","","","","","","","","","","","","","","","","","","","","","","","","15019",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","HANGA PICO BAY","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-36-72 [1241]","BASALT [1241]","","","","","","","","SUBAPHYRIC [1241] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","48.4","2.42","","14.6","","","","14.3","6.89","3.76","0.16","","0.78","4.32","1.01","","","","","","","","","","","","","","","","2.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","63","25","","","14","3","","","","","","","","5","395","65","550","45","","","","","","","","","","","","","250","48","90","","53","13.1","4.05","13","2.16","14","","","1.17","7.2","1.08","13.5","4.1","","","","","","","","","","","4.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","15020",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","HANGA PICO BAY","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-35-72 [1241]","BASALT [1241]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","49.4","2.42","","5.3","","","","14","6.95","3.5","0.17","","0.9","4.25","1.04","","","","","","","","","","","","","","","","1.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","52","22","","","16","3","","","","","","","","11","369","75","500","60","","","","","","","","","","","","","245","54","105","","70","18.7","7.2","19","3.2","","","","","9","1.3","12","3.4","","","","","","","","","","","3.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","15021",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","CAPE BETWEEN HANGA PICO BAY AND HANGA ROA BAYS","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-75-52 [1241]","BASALT [1241]","","","","","","","","APHANITIC [1241] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","51.2","2","","14.6","","","","13.3","6.18","3.08","0.19","","1.25","4.25","0.95","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","62","21","","","17","3","","","","","","","","13","336","","","","","","","","","","","","","","","","197","56","97","","62","18","6.4","17","2.9","18","","","1.4","8","1.13","11.2","3.2","","","","","","","","","","","4.5","1.7","","","","","","","","","","","","","","","","","","","","","","","","","15022",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","HUTUITI CAPE, SOUTHEASTERN SHORE","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-33-72 [1241]","BASALT [1241]","","","","","","","","SUBAPHYRIC [1241] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","51.2","2.35","","14.6","","","","13","7.13","2.9","0.14","","1.2","4","0.97","","","","","","","","","","","","","","","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","67","25","","","16","3","","","","","","","","16","365","70","500","55","","","","","","","","","","","","","250","50","103","","60","15.4","5.5","16","2.85","17","","","1.5","8.5","1.2","12.5","3","","","","","","","","","","","3.1","1.4","","","","","","","","","","","","","","","","","","","","","","","","","15023",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","SOUTH OF TE MIRO OONE, SOUTHEASTERN SHORE","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-88-72 [1241]","ANDESITE, BASALTIC [1241]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","52.2","2.04","","15.4","","","","12.8","5.47","2.79","0.14","","1.6","4.2","0.86","","","","","","","","","","","","","","","","1.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","67","29","","","13","5","","","","","","","","20","350","100","550","60","","","","","","","","","","","","","290","61","122","","75","21.6","7.5","22","3.8","21","","","1.6","10","1.45","12","3.3","","","","","","","","","","","4.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","15024",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / TEREVAKA / PACIFIC OCEAN","ANAKENA BAY, NORTHERN SHORE","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-89-72 [1241]","DOLERITE, OLIVINE-CLINOPYROXENE-PLAGIOCLASE [1241]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","47.8","2.05","","20.9","","","","9.9","9.04","2.99","0.11","","0.7","3.1","0.27","","","","","","","","","","","","","","","","2.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","184","78","","","28","26","","","","","","","","7","430","15","154","15","","","","","","","","","","","","","131","13","31","","17","4.9","1.95","6.1","1","5.7","","","0.4","2.3","0.33","5","1.4","","","","","","","","","","","1.8","0.6","","","","","","","","","","","","","","","","","","","","","","","","","15025",
"[1241]","OCEAN ISLAND","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / MAUNGA ORITO / PACIFIC OCEAN","SLOPE OF VOLCANO","-27.17","-27.17","-109.33","-109.33","SUBAQUATIC","","","s F-80-72 [1241]","BASALT [1241]","","","","","","","","SUBAPHYRIC [1241] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1241] ","45.4","4.15","","13.9","","","","15.3","8.32","4.93","0.17","","0.59","3.35","0.52","","","","","","","","","","","","","","","","1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","283","28","","","34","5","","","","","","","","3","350","36","330","32","","","","","","","","","","","","","150","25","50","","31","9.5","3.1","10","1.8","10.5","","","","4.6","0.7","7.5","2","","","","","","","","","","","2.5","0.9","","","","","","","","","","","","","","","","","","","","","","","","","15026",
