"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 1A [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","44.91","3.9","","15.28","","","","14.71","8.24","5.94","0.17","","1.24","3.49","0.55","","","","","","","","","","","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","60","","","","","","","","18","832","29","213","53","","","","","","","","","","","","","1463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328259",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 4A [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.57","3.6","","13.63","","","","15.27","7.41","7.03","0.19","","1.77","3.08","0.73","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153","","","","143","","","","","","","","29","979","35","348","71","","","","","","","","","","","","","868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328260",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 5 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","44.95","3.22","","13.41","","","","14.38","9.1","8.57","0.17","","1.08","2.87","0.6","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276","","","","184","","","","","","","","16","790","25","205","50.1","","","","","","","","","","","","","388","37.1","75.1","9.15","36.6","7.49","2.44","7.14","0.97","5.2","0.92","2.46","0.31","1.9","0.29","5.18","3.11","","","","","","","","","","","3.94","1.1","","","","","","","","","","","","","","","","","","","","","","","","","328261",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 9A [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.52","2.84","","13","","","","13.6","10.16","9.33","0.18","","1.03","2.59","0.56","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402","","","","202","","","","","","","","17","619","27","213","46","","","","","","","","","","","","","481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328262",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 16 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45","3.34","","13.81","","","","14.14","9.41","7.38","0.18","","1.24","3.5","0.71","","","","","","","","","","","","","","","","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","","","","132","","","","","","","","18","773","28","244","56","","","","","","","","","","","","","462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328263",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 80 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.78","3.45","","14.7","","","","14.13","8.72","6.2","0.17","","1.13","3.13","0.77","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","","","","44","","","","","","","","15","654","28","231","48.8","","","","","","","","","","","","","592","36.2","75.6","9.6","39.6","8.31","2.65","7.94","1.08","5.76","1.01","2.69","0.34","2.14","0.33","5.86","3.3","","","","","","","","","","","3.37","0.99","","","","","","","","","","","","","","","","","","","","","","","","","328264",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 2011 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","46.44","2.9","","14.3","","","","13.64","8.15","6.87","0.18","","1.13","3.98","0.62","","","","","","","","","","","","","","","","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","","","","126","","","","","","","","7","836","28","268","55.1","","","","","","","","","","","","","374","36.8","75.4","9.22","36.9","7.65","2.52","7.38","1.04","5.67","1.05","2.82","0.38","2.38","0.38","6.22","3.72","","","","","","","","","","","4.1","1.28","","","","","","","","","","","","","","","","","","","","","","","","","328265",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 2013 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.89","3.15","","14.28","","","","14.19","8.3","6.85","0.18","","1.22","3.73","0.63","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148","","","","170","","","","","","","","9","832","29","249","48","","","","","","","","","","","","","378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328266",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 2019 [11166]","BASALT, ALKALINE, OLIVINE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.81","2.63","","13.2","","","","13.48","8.77","9.78","0.16","","1.13","2.95","0.54","","","","","","","","","","","","","","","","1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312","","","","348","","","","","","","","17","646","25","195","39","","","","","","","","","","","","","315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328267",
"[11166]","INTRAPLATE VOLCANICS","EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD","","24.42","24.42","33.43","33.43","SUBAERIAL","","","s 3A [11166]","HAWAIITE [11166]","90000000 [11166]","90000000 [11166]","UPPER [11166]","CRETACEOUS [11166]","","","","HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [11166] ","45.87","3.27","","13.53","","","","15.25","7.02","6.65","0.19","","1.78","3.72","0.84","","","","","","","","","","","","","","","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192","","","","159","","","","","","","","27","975","37","371","79","","","","","","","","","","","","","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328268",
