"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19973]","CONTINENTAL FLOOD BASALT","EMEISHAN / SICHUAN PROVINCE","JANCHUAN","27","27","100","100","SUBAERIAL","","","s JAN-1 [19973]","PICRITE [19973]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19973] ","","","","","0.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00226","0.00048","0.00672","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0017","0.00127","0.0073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001365",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-7 [20175]","ANDESITE, BASALTIC [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","55.16","0.85","","14.35","","","","7.29","6.54","5.57","0.15","","0.06","6.05","0.09","","","","","","","","","","","","","","","","2.77","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","30.5","","177","279","","","70.6","25","118","56.9","17.1","","","","","1","77.9","22.2","140","7.6","","0.00007","0.00001","0.00153","","","","","","","","","14","13.8","31.2","3.5","13.4","2.92","0.88","3.22","0.62","3.73","0.78","2.34","0.34","2.32","0.34","4.1","0.58","","","","0.00001","0.00011","","","","","","5.7","1.05","","","","","","","","","","","","","","","","","","","","","","","","","1026475",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-11 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","46.74","0.75","","11.88","","","","9.3","12.96","10.13","0.17","","0.03","2.35","0.17","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","4.82","","","","","","","","","","","","","","41.3","","274","843","","","60.6","322","42","83","16.6","","","","","0.7","273","14.1","40","6.1","","0.00061","0.0005","0.01054","","","","","","","","","35","3.8","8.5","1","4.7","1.33","0.51","1.68","0.34","2.25","0.5","1.44","0.22","1.5","0.2","1.25","0.36","","","","0.00021","0.00547","","","","","","0.9","0.19","0.512522","","","0.70597","","","","","","","","","","","","","","","","","","","","","1026476",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-6 [20175]","PICRITE [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","43.68","0.5","","9.76","","","","9.79","7.69","21.66","0.16","","0.03","0.51","0.03","","","","","","","","","","","","","","","","5.18","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","29.4","","194","1575","","","87.4","892","97","78.2","9.55","","","","","6.2","38.5","13","24","0.5","","0.00092","0.00039","0.00405","","","","","","","","","3","0.8","2.3","0.4","2.1","0.82","0.45","1.39","0.3","2.08","0.46","1.28","0.2","1.24","0.19","0.68","0.05","","","","0.00031","0.00405","","","","","","0.16","0.05","0.512996","","","0.704599","","","","","","","","","","","","","","","","","","","","","1026477",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-1 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","44.14","3.75","","14.99","","","","15.09","9.09","5.61","0.27","","1.02","3.06","0.66","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","7.81","","","","","","","","","","","","","","24.2","","392","23","","","66","57","85","157","21.8","","","","","10.8","539","28.2","221","29.8","","","","","","","","","","","","","656","33.3","77.5","9.7","41.2","8.11","3.27","7.26","1.1","5.6","1.1","2.96","0.39","2.36","0.31","5.09","1.89","","","","","","","","","","","3.48","0.34","0.512532","","","0.705496","","","","","","","","","","","","","","","","","","","","","1026478",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-2 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","48.8","2.27","","14.93","","","","11.06","8.61","6.23","0.16","","1.09","3.61","0.29","","","","","","","","","","","","","","","","1.94","","","","","","","","","","","","","","9.01","","","","","","","","","","","","","","27.1","","293","161","","","51.9","109","79","113","20","","","","","34.9","435","27.2","193","20.9","","0.00013","0.00027","0.00395","","","","","","","","","465","22.7","51.6","6.1","26.2","5.62","2.03","5.55","0.88","4.78","0.93","2.77","0.36","2.21","0.31","4.87","1.29","","","","0.00013","0.00751","","","","","","2.93","0.73","0.512576","","","0.706107","","","","","","","","","","","","","","","","","","","","","1026479",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-3 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","47.32","2.97","","13.68","","","","13","7.78","5.64","0.17","","0.25","4.99","0.44","","","","","","","","","","","","","","","","2.66","","","","","","","","","","","","","","10.3","","","","","","","","","","","","","","29.1","","321","142","","","50.6","108","147","135","21","","","","","6.9","365","31.1","222","23.7","","0.00019","0.00022","0.00447","","","","","","","","","98","25.9","59.1","7.2","31.1","6.9","2.63","6.66","1.07","5.61","1.12","3.05","0.38","2.52","0.33","5.66","1.47","","","","0.00019","0.00483","","","","","","3.07","0.85","0.512581","","","0.706121","","","","","","","","","","","","","","","","","","","","","1026480",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-4 [20175]","ANDESITE [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","60.07","1.17","","16.24","","","","7.13","0.96","2.04","0.15","","2.46","6.65","0.23","","","","","","","","","","","","","","","","1.57","","","","","","","","","","","","","","7.57","","","","","","","","","","","","","","12.2","","1.04","1","","","26.6","1","37","340","47.4","","","","","60.8","176","60.8","809","98","","0.00007","0.00001","0.00244","","","","","","","","","534","65.1","144","20.5","84.2","17.5","5.78","14.55","2.48","13.4","2.64","7.1","1.05","6.69","0.93","22.17","7.49","","","","0.00003","0.00007","","","","","","18.6","4.46","0.512539","","","0.709413","","","","","","","","","","","","","","","","","","","","","1026481",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-5 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","48.48","0.87","","15.47","","","","10.75","8.37","8.5","0.14","","0.8","3.22","0.06","","","","","","","","","","","","","","","","1.87","","","","","","","","","","","","","","1.93","","","","","","","","","","","","","","38.4","","287","357","","","71.7","156","33","88.4","14.2","","","","","26.5","161","21.2","49","1.3","","0.00036","0.00041","0.00778","","","","","","","","","136","1.8","5.2","0.8","4","1.74","0.75","2.44","0.48","3.22","0.73","2.1","0.3","1.94","0.29","1.27","0.12","","","","0.00006","0.0055","","","","","","0.36","0.11","0.512947","","","0.706153","","","","","","","","","","","","","","","","","","","","","1026482",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SUBAERIAL","","","s SL-9 [20175]","BASALT [20175]","","","","PERMIAN [20175]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20175] ","49.43","0.73","","15.15","","","","9.43","6.71","9.86","0.16","","0.78","3.64","0.06","","","","","","","","","","","","","","","","3.49","","","","","","","","","","","","","","2.69","","","","","","","","","","","","","","38.8","","235","541","","","53.5","157","110","88.6","12.6","","","","","31.9","143","18.4","56","3.6","","0.00029","0.00021","0.00527","","","","","","","","","96","5.8","13.6","1.6","6.8","1.83","0.6","2.19","0.45","2.87","0.65","1.9","0.27","1.92","0.28","1.49","0.23","","","","0.00007","0.00495","","","","","","1.67","0.37","0.512272","","","0.710685","","","","","","","","","","","","","","","","","","","","","1026483",
