"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5428 [5703]","BASALT, KOMATIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","47.65","0.55","","5.84","","","","11.98","9.63","18.29","0.2","","0.02","0.14","","","","","","","","","","","","","","","","","4.21","","","","","","","","","","","","","","10","","","","","","","","","","","","","","21","","123","1055","","","55","835","3","168","","","","","","0","11","","","","","","","","","","","","","","","","","12.3","21.4","","","3.47","0.72","","0.57","","","","","1.2","0.19","1.4","","","","","","","0.044","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","185272",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5433 [5703]","BASALT, KOMATIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","51.08","0.69","","7.3","","","","11","13.02","13.27","0.19","","0.06","0.61","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","27","","","","","","","","","","","","","","39","","219","1510","","","58","320","19","86","","","","","","1","102","","","","","","","","","","","","","","","","","4.59","9.4","","","1.94","0.64","","0.36","","","","","1.2","0.21","1.2","","","","","","","0.02","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","185273",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5436 [5703]","BASALT, KOMATIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","47.29","0.42","","8.1","","","","9.39","7.69","21.05","0.18","","0.08","0.5","","","","","","","","","","","","","","","","","4.01","","","","","","","","","","","","","","24","","","","","","","","","","","","","","25","","185","1815","","","78","835","28","120","","","","","","1","8","","","","","","","","","","","","","","","","","0.96","3.1","","","0.79","0.29","","0.22","","","","","0.85","0.15","0.5","","","","","","","0.036","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","185274",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5437 [5703]","BASALT, KOMATIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","50.64","0.42","","7.57","","","","9.23","9.85","18.04","0.22","","0.06","0.88","","","","","","","","","","","","","","","","","2.07","","","","","","","","","","","","","","17","","","","","","","","","","","","","","27","","195","1785","","","78","1065","42","70","","","","","","1","3","","","","","","","","","","","","","","","","","2.3","4.7","","","1.11","0.33","","0.28","","","","","1.2","0.2","0.6","","","","","","","0.04","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","185275",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5435 [5703]","BASALT, KOMATIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","45.79","0.52","","7.07","","","","12.99","5.84","20.12","0.22","","0.01","0.2","","","","","","","","","","","","","","","","","5.05","","","","","","","","","","","","","","13","","","","","","","","","","","","","","34","","178","2070","","","85","1035","231","145","","","","","","1","0","","","","","","","","","","","","","","","","","3.3","5.9","","","2.22","0.69","","0.49","","","","","1.71","0.27","0.7","","","","","","","0.038","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","185276",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5431 [5703]","BASALT, THOLEIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5703] ","53.84","0.28","","13.96","","","","7.11","5.88","11.42","0.17","","0.02","1.75","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","15","","","","","","","","","","","","","","42","","153","465","","","44","176","4","101","","","","","","2","58","","","","","","","","","","","","","","","","","1.7","4.5","","","0.92","0.31","","0.22","","","","","1.38","0.25","0.4","","","","","","","0.053","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","185277",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5432 [5703]","BASALT, THOLEIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5703] ","52.61","0.31","","17.09","","","","6.12","6.86","10.02","0.12","","0.06","2.58","","","","","","","","","","","","","","","","","3.38","","","","","","","","","","","","","","11","","","","","","","","","","","","","","42","","130","690","","","37","203","4","40","","","","","","1","110","","","","","","","","","","","","","","","","","1.5","4.1","","","1.08","0.34","","0.28","","","","","1.48","0.27","0.5","","","","","","","0.038","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","185278",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5429 [5703]","BASALT, THOLEIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","50.84","0.66","","15.89","","","","10.4","10.02","7.23","0.18","","0.23","2.2","","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","54","","","","","","","","","","","","","","49","","300","198","","","42","93","19","91","","","","","","2","100","","","","","","","","","","","","","","","","","4.9","8.6","","","2","0.68","","0.51","","","","","2.11","0.37","1.2","","","","","","","0.042","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","185279",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5434 [5703]","BASALT, THOLEIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","48.04","0.98","","15.64","","","","11.74","10.85","7.73","0.2","","0.2","2.23","","","","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","25","","","","","","","","","","","","","","38","","295","300","","","62","228","106","104","","","","","","4","97","","","","","","","","","","","","","","","","","3.8","9.3","","","2.29","0.79","","0.53","","","","","2.32","0.36","1.7","","","","","","","0.042","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","185280",
"[5703]","INTRAPLATE VOLCANICS","EQUATORIAL AFRICAN CRATON / BOGOIN GREENSTONE BELT","","4.8","4.8","18.2","18.2","SUBAERIAL","","","s 5430 [5703]","BASALT, THOLEIITIC [5703]","","","","PROTEROZOIC [5703]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5703] ","50.97","0.69","","15.85","","","","10.73","10.38","6.26","0.18","","0.25","1.81","","","","","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","48","","","","","","","","","","","","","","46","","300","245","","","46","100","78","103","","","","","","2","106","","","","","","","","","","","","","","","","","5.6","9.7","","","1.86","0.67","","0.47","","","","","2.17","0.35","1.3","","","","","","","0.018","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","185281",
