"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.4878","11.4878","39.2403","39.2403","SUBAERIAL","","","s LAL33 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","47.79","3.61","","8.99","","1.77","11.78","","9.58","13.39","0.18","","0.57","1.65","0.4","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","360","899","","","76","509","","","","","","","","15","435","33.2","315","38.2","","","","","","","","","","","","","258","30.8","74","10.3","45","10","2.98","8.94","1.49","6.63","1.25","2.97","0.42","2.36","0.33","8.26","1.38","","","","","","","","","","","3.17","1.3","0.513","","","0.70409","","18.94","","15.56","","38.71","","","","","","","","","","","","","","","1051520",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8242","11.8242","39.5544","39.5544","SUBAERIAL","","","s LAL41 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","48.15","3.09","","8.3","","1.68","11.21","","9.97","14.89","0.18","","0.54","1.53","0.3","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","345","1348","","","80","569","","","","","","","","28","396","41.3","240","38.1","","","","","","","","","","","","","225","34","79.6","11.3","49.7","11.6","3.48","10.3","1.78","8.11","1.54","3.68","0.52","2.93","0.41","8.63","1.39","","","","","","","","","","","3.67","1.28","0.51296","","","0.70417","","18.95","","15.59","","38.76","","","","","","","","","","","","","","","1051521",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8956","11.8956","39.4617","39.4617","SUBAERIAL","","","s LAL45 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","45.77","3.86","","8.62","","1.85","12.34","","9.15","14.64","0.18","","1.1","1.63","0.46","","","","","","","","","","","","","","","","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","345","995","","","77","565","","","","","","","","26","460","23.6","342","40.8","","","","","","","","","","","","","288","27.3","62.7","9.5","42","9.5","3.05","10.8","1.44","5.57","1.01","2.61","0.33","2.03","0.26","7.4","1.43","","","","","","","","","","","2.8","1.25","0.51298","","","0.70401","","19.05","","15.58","","39.13","","","","","","","","","","","","","","","1051522",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","12.4431","12.4431","39.5433","39.5433","SUBAERIAL","","","s LAL70 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","44.52","3.34","","6.02","","1.9","12.68","","7.79","21.21","0.18","","0.98","0.98","0.39","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","305","1820","","","106","984","","","","","","","","22","555","16.1","288","41.5","","","","","","","","","","","","","383","20.4","46.7","6.6","28.7","6.3","1.9","5.52","0.91","3.68","0.68","1.54","0.24","1.14","0.18","5.53","2.41","","","","","","","","","","","2.08","1.03","0.5129","","","0.70404","","19.07","","15.63","","38.99","","","","","","","","","","","","","","","1051523",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.4781","11.4781","39.2375","39.2375","SUBAERIAL","","","s LAL31 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","48.55","3.44","","9.22","","1.68","11.22","","9.2","12.92","0.18","","1.01","1.84","0.53","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","343","859","","","73","481","","","","","","","","23","407","60.1","307","77","","","","","","","","","","","","","258","57.5","142","19.2","83.5","18.6","5.47","16.4","2.72","12.1","2.29","5.44","0.77","4.3","0.6","15.3","2.61","","","","","","","","","","","5.78","2.42","","","","","","","","","","","","","","","","","","","","","","","","","1051524",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8458","11.8458","39.5514","39.5514","SUBAERIAL","","","s LAL42 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","48.14","3.76","","9.57","","1.74","11.63","","9.57","12.06","0.17","","0.85","1.69","0.37","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","353","817","","","69","439","","","","","","","","21","496","42","329","45.6","","","","","","","","","","","","","305","40","94.4","13.2","57.2","12.9","3.81","11.1","1.91","8.51","1.6","3.8","0.54","3.01","0.42","10.5","1.65","","","","","","","","","","","4.61","2.08","","","","","","","","","","","","","","","","","","","","","","","","","1051525",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8706","11.8706","39.5411","39.5411","SUBAERIAL","","","s LAL43 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","45.64","5.09","","7.95","","1.93","12.87","","9.94","12.44","0.17","","1.19","1.53","0.63","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","386","625","","","76","318","","","","","","","","23","678","67.3","499","79.5","","","","","","","","","","","","","385","67.4","161","22.9","101","23","6.64","19.3","3.2","13.9","2.54","5.87","0.81","4.39","0.61","17.3","2.79","","","","","","","","","","","6.95","2.1","","","","","","","","","","","","","","","","","","","","","","","","","1051526",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8892","11.8892","39.5003","39.5003","SUBAERIAL","","","s LAL44 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","45.41","5.13","","8.35","","1.91","12.76","","9.35","11.83","0.16","","1.27","1.88","0.55","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","399","583","","","74","385","","","","","","","","26","608","42.8","510","63.4","","","","","","","","","","","","","365","49.2","117","16.4","72.7","16.1","4.66","13.1","2.16","9.23","1.67","3.85","0.52","2.81","0.38","13.9","2.28","","","","","","","","","","","4.93","1.97","","","","","","","","","","","","","","","","","","","","","","","","","1051527",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","12.435","12.435","39.5478","39.5478","SUBAERIAL","","","s LAL65 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","45.8","4.48","","8.1","","1.85","12.31","","9.26","12.78","0.16","","1.17","2.11","0.52","","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","367","976","","","71","434","","","","","","","","28","389","28","428","53.5","","","","","","","","","","","","","359","30.7","75","10.5","46.2","10.5","3.13","9.27","1.56","6.34","1.19","2.64","0.42","1.97","0.31","8.31","3.1","","","","","","","","","","","3.06","1.38","","","","","","","","","","","","","","","","","","","","","","","","","1051528",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","12.4428","12.4428","39.5431","39.5431","SUBAERIAL","","","s LAL69 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","45.75","4.68","","7.48","","1.83","12.19","","10.48","13.22","0.17","","0.96","1.87","0.5","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","390","1022","","","73","411","","","","","","","","31","457","24.4","434","56.9","","","","","","","","","","","","","535","31.2","78.9","10.8","46.7","10.1","2.96","8.72","1.43","5.74","1.06","2.36","0.36","1.71","0.27","8.23","3.34","","","","","","","","","","","2.92","1.18","","","","","","","","","","","","","","","","","","","","","","","","","1051529",
