"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 5 [9313]","PHONOLITE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","4.5","","","","","","","","","","","","","","","","","","","","","","","","","269909",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 7 [9313]","TRACHYTE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","1.8","","","","","","","","","","","","","","","","","","","","","","","","","269910",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 8 [9313]","PHONOLITE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","51","","","","","","","","","","","","","","","","","","","","","","","","","269911",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 67 [9313]","TRACHYTE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","3.3","","","","","","","","","","","","","","","","","","","","","","","","","269912",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 68 [9313]","PHONOLITE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2.6","","","","","","","","","","","","","","","","","","","","","","","","","269913",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 69 [9313]","TRACHYTE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","0.8","","","","","","","","","","","","","","","","","","","","","","","","","269914",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 70 [9313]","TRACHYTE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","2.3","","","","","","","","","","","","","","","","","","","","","","","","","269915",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 71 [9313]","TRACHYTE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","1.2","","","","","","","","","","","","","","","","","","","","","","","","","269916",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 72 [9313]","PHONOLITE [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","3","","","","","","","","","","","","","","","","","","","","","","","","","269917",
"[9313]","INTRAPLATE VOLCANICS","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / AXUM-ADWA MAGMATIC COMPLEX","AXUM AREA","14.13","14.13","38.72","38.72","SUBAERIAL","","","s CH 1 [9313]","BASALT [9313]","","","","OLIGOCENE [9313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9313] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.5","","","","","","","","","","","","","","","","","","","","","","","","","269918",
