"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / IRELAND","CORRIE, ARRAN","54.17","54.17","-8.06","-8.06","SUBAERIAL","","","s A6 [10135]","ANKARAMITE [10135]","320000000 [10135] / 330000000 [10886]","360000000 [10135] / 330000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","45.58","2.23","","14.01","","","","11.45","9.81","9.7","0.2","","1.21","2.09","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","294","411","","","","208","58","94","","","","","","29.7","517.2","26","201","39","","","","","","","","","","","","","433","32","68","","29.7","6","","","","","","","","","","","","","","","","","","","","3.3","","","1","0.512617","","","0.70434","","19.169","","15.545","","39.233","","","","","","","","","","","","","","","100571-A6",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","ST. BALDRED^S CRADLE, EAST LOTHIAN","56","56","-2.6","-2.6","SUBAERIAL","","","s L3 [10135]","ANKARAMITE [10135]","320000000 [10135] / 354000000 [10886]","360000000 [10135] / 354000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","45.06","3.35","","14.29","","","","12.27","9.81","7.53","0.18","","1.83","2.49","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","268","219","","","","128","46","98","","","","","","31.1","880.9","22","187","51","","","","","","","","","","","","","756","39","82","","37.8","7.45","","","","","","","","","","","","","","","","","","","","5.5","","","1","0.512601","","","0.70387","","18.939","","15.629","","39.108","","","","","","","","","","","","","","","100572-L3",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","HAREHEUGH CRAIGS, KELSO","55.6","55.6","-2.43","-2.43","SUBAERIAL","","","s K65 [10135]","HAWAIITE [10135]","320000000 [10135] / 361000000 [10886]","360000000 [10135] / 361000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","50.66","2.45","","14.68","","","","11.1","6.92","4.88","0.16","","1.76","3.47","0.61","","","","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","137","112","","","","102","42","124","","","","","","28.1","463.7","38","549","35","","","","","","","","","","","","","615","33","82","","44.1","10.5","","","","","","","","","","","","","","","","","","","","3.1","","","1.2","0.512738","","","0.70408","","19.754","","15.656","","39.566","","","","","","","","","","","","","","","100575-K65",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","KIPPS HILL, NEAR BATHGATE","55.9","55.9","-3.64","-3.64","SUBAERIAL","","","s HS94 [10135]","BASANITE [10135] / BASALT [10886]","320000000 [10135]","360000000 [10135] / 320000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","43.23","2.46","","13.02","","","","11.42","10.44","10.59","0.19","","0.95","3.23","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","229","329","","","","235","48","102","","","","","","21.7","1269.3","30","286","88","","","","","","","","","","","","","960","64","128","","53.4","9.73","","","","","","","","","","","","","","","","","","","","1","","","","0.512673","","","0.70388","","","","","","","","","","","","","","","","","","","","","100577-HS94",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","TARTRAVEN, BATHGATE","55.9","55.9","-3.64","-3.64","SUBAERIAL","","","s B111 [10135]","BASALT [10135]","320000000 [10135]","360000000 [10135] / 320000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","45.09","2.46","","14.52","","","","11.09","10.38","9.48","0.18","","0.55","2.15","0.67","","","","","","","","","","","","","","","","3.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","208","284","","","","210","43","91","","","","","","12.2","1526.3","28","199","63","","","","","","","","","","","","","1213","36","91","","36.6","7.31","","","","","","","","","","","","","","","","","","","","0","","","","0.512635","","","0.70491","","","","","","","","","","","","","","","","","","","","","100578-B111",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","KINTYRE","55.58","55.58","-5.58","-5.58","SUBAERIAL","","","s KT187 [10135]","BASALT [10135]","320000000 [10135]","360000000 [10135] / 320000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","51.69","1.73","","17.55","","","","7.18","10.36","4.85","0.21","","0.74","3.44","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","241","302","","","","79","69","105","","","","","","8.9","486.4","25","169","22","","","","","","","","","","","","","311","20","40","","21.8","4.99","","","","","","","","","","","","","","","","","","","","2","","","","0.512493","","","0.70428","","","","","","","","","","","","","","","","","","","","","100582-KT187",
"[10886][10135]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","FIFE","56.21","56.21","-3.15","-3.15","SUBAERIAL","","","s HS161 [10886]","BASALT [10886]","338000000 [10886] / 320000000 [10135]","338000000 [10886] / 360000000 [10135]","LOWER [10886]","CARBONIFEROUS [10886]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10886] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","932.2","","","","","","","","","","","","","","","","","","","","36.4","7.54","","","","","","","","","","","","","","","","","","","","3.7","","","1.2","0.51257","","","0.70469","","17.79","","15.49","","37.366","","","","","","","","","","","","","","","100585-HS161",
"[10135][10886]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","CLYDE PLATEAU","55.8","55.8","-4.6","-4.6","SUBAERIAL","","","s HS148 [10135]","HAWAIITE [10135]","320000000 [10135] / 322000000 [10886]","360000000 [10135] / 322000000 [10886]","LOWER [10135]","CARBONIFEROUS [10135]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10135] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","541.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","","0.7","","","","0.704","","19.158","","15.629","","39.086","","","","","","","","","","","","","","","100593-HS148",
"[18415]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","LOCH ROAG, LEWIS, OUTER HEBRIDES","58.22","58.22","-6.39","-6.39","SUBAERIAL","","","s LR102 [18415]","PYROXENITE, XENOLITH [18415]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [18415] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.5","","","","","","","","","","","","","","","","","","","","61.1","13.2","","","","","","","","","","","","","","","","","","","","","","","","0.51225","","","0.70488","","17.348","","15.44","","37.57","","","","","","","","","","","","","","","100791-LR102",
"[14682][18415]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / GREAT BRITAIN / SCOTLAND","LOCH ROAG, LEWIS, OUTER HEBRIDES","58.22","58.22","-6.39","-6.39","SUBAERIAL","","","s LR64 [14682]","CLINOPYROXENITE, MICA, XENOLITH [14682] / PYROXENITE, XENOLITH [18415]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [14682] ","41.76","4.02","","12.82","","","","8.78","10.76","14.23","0.12","","4.29","0.82","0.39","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","427","28","","","","95","44","51","","","","","","110","469","18","168","43","","","","","","","","","","","","","4125","35","60","","39","5.71","","","","","","","","","","","","","","","","","","","","","","","","0.51212","","","0.70535","","17.139","","15.457","","37.151","","","","","","","","","","","","","","","100791-LR64",
