"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-3 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","60.28","0.96","","19.49","","7.47","","","0","2.74","0.05","","2.83","2.58","0.13","","","","","","","","","","","","","","","","3.94","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","8.5","","129","123","","","","33","11","116","27","","","","","112","101","30","239","","","","","","","","","3.4","","","","4.4","612","42.5","89.06","10.62","40.74","8.14","1.86","6.04","0.9","5.06","1.11","2.96","0.46","3.52","0.51","6.3","","","","","","","","","","13","","12.4","3.1","","","","","","","","","","","","","","","","","","","","","","","","","1042156",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-5 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","59.5","0.97","","19.49","","6.95","","","0.16","2.46","0.04","","3.63","1.8","0.17","","","","","","","","","","","","","","","","4.57","","","","","","","","","","","","","","","2","","","","","","","","","","","","","9.6","","138","117","","","","13","15","98","27","","","","","138","79","26","221","","","","","","","","","4","","","","5.5","643","25.2","55.65","6.92","27.21","5.65","1.31","4.41","0.68","4.34","0.98","2.72","0.48","3.38","0.47","5.7","","","","","","","","","","17","","11.2","3.3","","","","","","","","","","","","","","","","","","","","","","","","","1042157",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-6 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","62.16","0.89","","18.1","","7.26","","","0.12","2.28","0.06","","3.33","2.04","0.14","","","","","","","","","","","","","","","","3.41","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","8.8","","128","105","","","","47","34","115","25","","","","","129","87","28","222","","","","","","","","","3.6","","","","5.3","586","35.2","76.53","9.24","35.39","6.7","1.55","5.48","0.85","5.01","1.12","2.82","0.43","3.45","0.48","6.1","","","","","","","","","","15","","11.6","3.2","","","","","","","","","","","","","","","","","","","","","","","","","1042158",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-7 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","59.67","0.98","","19.65","","7.1","","","0.21","2.21","0.03","","3.96","1.29","0.19","","","","","","","","","","","","","","","","4.41","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","11.1","","122","110","","","","48","43","119","27","","","","","147","62","35","228","","","","","","","","","3.8","","","","5.3","664","42.52","84.33","10.52","39.5","7.91","1.66","6.78","1.07","6.4","1.36","3.44","0.48","3.75","0.52","6.1","","","","","","","","","","19","","12.8","3.6","","","","","","","","","","","","","","","","","","","","","","","","","1042159",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-12 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","62.01","0.92","","18.33","","6.59","","","0","2.45","0.02","","3.52","1.46","0.17","","","","","","","","","","","","","","","","4.26","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","10.8","","136","113","","","","25","44","90","26","","","","","134","66","29","234","","","","","","","","","4.6","","","","7.9","632","39.28","82.74","9.83","39.25","7.98","1.61","5.94","0.95","5.43","1.27","3.24","0.48","3.36","0.55","6.7","","","","","","","","","","19","","13.1","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1042160",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-15 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","59.64","1.04","","19.51","","6.91","","","0.19","2.54","0.02","","3.95","1.19","0.26","","","","","","","","","","","","","","","","4.47","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","11.8","","141","120","","","","27","22","95","28","","","","","133","57","39","245","","","","","","","","","4.8","","","","5.4","783","46.39","98.49","11.62","45.95","9.42","2.12","7.81","123","7.88","1.71","4.31","0.64","4.18","0.64","7.4","","","","","","","","","","16","","14","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1042161",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-19 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","60.11","1.07","","19.91","","5.85","","","0.12","2.07","0.02","","4.66","1.37","0.23","","","","","","","","","","","","","","","","4.27","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","12.1","","146","129","","","","33","19","92","29","","","","","142","44","46","287","","","","","","","","","4.9","","","","3.8","846","54.02","110.9","13.45","55.91","11.54","2.13","9.3","1.34","8.13","1.84","4.71","0.7","4.64","0.66","8.1","","","","","","","","","","15","","14.5","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1042162",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-21 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","58.48","1.09","","19.96","","7.14","","","0.12","2.5","0.04","","4.17","1.54","0.25","","","","","","","","","","","","","","","","4.34","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","12.6","","152","130","","","","27","40","108","29","","","","","136","57","40","247","","","","","","","","","4.3","","","","4","824","46.47","96.6","11.98","47.38","10.03","1.93","8.25","129","7.57","1.71","4.23","0.65","4.29","0.64","7.1","","","","","","","","","","18","","14.3","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1042163",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-22 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","57.17","1.07","","20.37","","7.91","","","0","2.7","0.04","","4.17","1.12","0.26","","","","","","","","","","","","","","","","4.93","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","12.5","","150","128","","","","28","26","112","29","","","","","134","43","38","238","","","","","","","","","4.4","","","","4.5","804","33.05","69.23","8.93","36.58","7.56","1.61","6.51","1.03","6.36","1.5","3.9","0.61","3.84","0.57","6.8","","","","","","","","","","22","","14.2","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1042164",
"[20279]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PROTEROZOIC / SPAIN / CENTRAL IBERIAN ZONE","SALAMANCA-CACERES AREA","40","40","-4","-4","SUBAERIAL","","","s SIA-24 [20279]","SHALE [20279]","","","","PROTEROZOIC [20279]","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [20279] ","61.59","1.04","","18.9","","6.03","","","0.37","2.06","0.04","","3.94","1.88","0.18","","","","","","","","","","","","","","","","3.67","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","10.8","","130","113","","","","35","21","90","25","","","","","114","57","38","260","","","","","","","","","3.8","","","","3.6","728","38.15","81.75","9.52","38.45","8.32","1.62","6.9","1.12","6.51","1.41","3.7","0.58","3.99","0.58","6.9","","","","","","","","","","16","","12.7","3.2","","","","","","","","","","","","","","","","","","","","","","","","","1042165",
