"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1197]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN36 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","","","","","","","","","","","","","428","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11103",
"[1197]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN71 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","7.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","513","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11104",
"[1197]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN79 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","","","","","","","","","","","","","961","","184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11105",
"[5216]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FN-10 [5216]","TRACHYBASALT [5216]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5216] ","47.76","3.3","","15.61","","10.96","7.57","","9.71","4.53","0.16","","2.41","3.13","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4","","","","","","","12","","","","","","","","","","","465.63","","","","","","","","","","","","","","","46.54","106.1","","","10.87","3.78","","","","","","","","","10.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116186",
"[1197][3061][3112]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN20 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","12.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","427","123","","","","","","0.104","0.112","4.4","","0.015","","","956","73","148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1577-FDN20",
"[1197][3061][3112]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN25 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","249","37","","","","","","0.113","0.086","4.9","","0.0032","","","283","30","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1577-FDN25",
"[1197][3061][3112]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN55 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","452","100","","","","","","0.324","0.08","2.5","","0.0016","","","1094","125","233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1577-FDN55",
"[1197]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FDN72 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","8.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","395","83","","","","","","","","","","","","","707","87","145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1577-FDN72",
"[3969]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION / ATLANTIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FN8-1 [3969]","NEPHELINITE, OLIVINE [3969]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [3969] ","39.85","3.95","","10.52","","","","12.98","13.17","13.05","0.186","","1.18","2.71","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","861","","","","","","","","","","","","","","","","825","68","139","","64.6","11.5","3.51","9.96","","6.43","","2.64","","2.05","0.265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194072",
"[3969]","OCEAN ISLAND","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / REMEDIOS FORMATION / ATLANTIC OCEAN","","-3.85","-3.85","-32.42","-32.42","SUBAERIAL","","","s FN14-3 [3969]","BASALT, ALKALINE [3969]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3969] ","52.44","1.43","","18.81","","","","5.9","5.59","3.48","0.16","","4.87","6.37","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","1071","","","","","","","","","","","","","","","","636","119.1","161","","42.4","6.7","1.94","5.3","","3.89","","2.08","","2","0.284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194086",
