"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-15A02 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","51.34","1.11","","14.73","","","9.93","9.92","10.85","8.67","0.17","","0.31","1.5","0.08","","","","","","","","","","","","","","","","3.34","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","46.12","","318.45","518.53","","","45.04","134.04","125.02","86.29","","","0","","","","135.23","","","","","","","","","31.21","","","","","","","59.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025975",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-15A03 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","50.36","1.1","","15.54","","","10.65","10.64","6.62","8.71","0.16","","2.46","2.9","0.07","","","","","","","","","","","","","","","","4.88","","","","","","","","","","","","","","","","","","","","","","","","0.02","","","","41.52","","330.4","231.41","","","41.58","103.35","98.76","78.69","","","0","","","","302.45","","","","","","","","","35.06","","","","","","","1127.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025976",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-16B02 [20128]","TRACHYBASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","48.33","1.04","","15.69","","","10.86","10.86","7.58","8.99","0.15","","3.31","2.59","0.06","","","","","","","","","","","","","","","","7.48","","","","","","","","","","","","","","","","","","","","","","","","0.02","","","","44.44","","314.66","443.03","","","49.55","148.17","57.3","72.61","","","0","","","","133.51","","","","","","","","","31.59","","","","","","","219.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025977",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-16B03 [20128]","TRACHYBASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","48.44","1.11","","15.7","","","12.21","12.21","6.7","8.38","0.15","","3.57","2.11","0.07","","","","","","","","","","","","","","","","7.48","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","46.05","","342.3","393.03","","","46.8","120.76","163.33","78.81","","","0","","","","148.95","","","","","","","","","37.37","","","","","","","220.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025978",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-16B04 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","49.89","1.14","","16.23","","","10.37","10.37","7.32","9.29","0.11","","1.2","3.04","0.08","","","","","","","","","","","","","","","","7.63","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","46.64","","337.19","415.31","","","42.41","133.68","172.17","77.45","","","0","","","","143.81","","","","","","","","","34.74","","","","","","","134.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025979",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-64B01 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","48.78","0.96","","15.53","","","9.74","9.74","12.08","9.02","0.14","","0.99","1.35","0.05","","","","","","","","","","","","","","","","6.14","","","","","","","","","","","","","","","","","","","","","","","","0.14","","","","44.37","","307","369.6","","","40.5","144.71","92.11","86.75","","","0","","","","139.82","","","","","","","","","28.8","","","","","","","95.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025980",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-64B02 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","50.13","1.03","","16.09","","","10.06","10.06","8.37","9.86","0.15","","1.19","1.69","0.07","","","","","","","","","","","","","","","","5.83","","","","","","","","","","","","","","","","","","","","","","","","0.08","","","","44.12","","311.5","420.16","","","33.68","129.73","115.67","85.85","","","0","","","","156.36","","","","","","","","","33.74","","","","","","","146.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025981",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-65A01 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","48.42","1.09","","16.14","","","9.27","9.27","13.01","7.94","0.15","","1.23","1.38","0.07","","","","","","","","","","","","","","","","8.43","","","","","","","","","","","","","","","","","","","","","","","","0.12","","","","44.72","","324.55","376.83","","","35.51","141.75","130.78","74.13","","","0","","","","156.75","","","","","","","","","28.58","","","","","","","98.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025982",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-66A01 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","48.62","1.03","","15.76","","","10.49","10.49","8.55","11.13","0.13","","1.27","1.59","0.07","","","","","","","","","","","","","","","","7.64","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","43.6","","313.81","394.16","","","37.75","158.59","164.81","85.94","","","0","","","","113.22","","","","","","","","","31.64","","","","","","","65.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025983",
"[20128]","CONTINENTAL FLOOD BASALT","FRANKLIN LARGE IGNEOUS PROVINCE / VICTORIA ISLAND / NATKUSIAK FLOOD BASALTS","SOUTHERN LOBE","71","71","-112","-112","SUBAERIAL","","","s 10RAT-NW-66A03 [20128]","BASALT [20128]","720000000 [20128]","720000000 [20128]","NEO [20128]","PROTEROZOIC [20128]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20128] ","49.78","1.06","","15.53","","","9.59","9.59","11.68","8.89","0.22","","0.5","1.41","0.07","","","","","","","","","","","","","","","","4.97","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","44.24","","316.4","401.92","","","40.98","129.7","118.01","98.1","","","0","","","","136.92","","","","","","","","","33.22","","","","","","","47.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025984",
