"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1210]","OCEAN ISLAND","GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE) / PACIFIC OCEAN","","-0.63","-0.63","-90.38","-90.38","SUBAERIAL","","","s E-4 [1210]","BASALT [1210]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1210] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.392","4.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283118","","","","","","","10302",
"[604]","OCEAN ISLAND","GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO / PACIFIC OCEAN","","-0.41","-0.41","-91.03","-91.03","SUBAERIAL","","","s DG4 [604]","THOLEIITE [604]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10450",
"[604]","OCEAN ISLAND","GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO / PACIFIC OCEAN","","-0.41","-0.41","-91.03","-91.03","SUBAERIAL","","","s SR9A [604]","RHYOLITE [604]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10453",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","SE FLANK, 8.3 KM FROM CALDERA CENTER","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 80-61S [4796]","THOLEIITE [4796]","","","","","","","1961","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","49.57","3.47","","14.25","","","12.14","","10.67","5.94","","","0.59","2.94","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105108",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","SE FLANK, 7 KM FROM CALDERA CENTER","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 80-68S [4796]","THOLEIITE [4796]","","","","","","","1968","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.58","4.16","","13.44","","","13.25","","10.28","5.48","","","0.64","3.05","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105109",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","NW BENCH, NEAR VENT AT WNW BACK OF BENCH","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 84-7 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.14","4.19","","13.35","","","12.95","","9.96","5.76","","","0.71","3.12","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105110",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","NW BENCH, NEAR VENT AT WNW BACK OF BENCH","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 84-7 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.06","4.18","","13.13","","","13.16","","10.03","5.66","","","0.77","3.04","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105111",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","CALDERA INTERIOR, WNW CALDERA RIM","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 84-12 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","49.05","3.39","","14.54","","","11.46","","10.57","6.36","","","0.63","2.91","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105112",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","SOUTH RIM, FROM ESE WALL FAILURE EVENT","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s F88-2 [4796]","THOLEIITE [4796]","","","","","","","1988","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.1","3.82","","13.15","","","12.94","","10.65","5.73","0.2","","0.61","3.17","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105113",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","ESE RIM FROM ESE WALL FAILURE EVENT","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s F88-3 [4796]","THOLEIITE [4796]","","","","","","","1988","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.55","3.81","","14.03","","","12.62","","10.63","6.07","0.18","","0.54","2.99","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105114",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","EAST WALL","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 91-C [4796]","THOLEIITE [4796]","","","","","","","1991","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.71","3.57","","14.27","","","12.67","","10.8","5.99","0.18","","0.51","2.97","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105119",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","EAST WALL","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s 91-D [4796]","THOLEIITE [4796]","","","","","","","1991","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","48.54","3.63","","14.09","","","12.62","","10.92","6.07","0.18","","0.52","2.95","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105120",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","SW FLANK, CABO HAMMOND","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s FV1 [4796]","THOLEIITE [4796]","","","","","","","1995","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4796] ","49.14","3.87","","13.78","","","12.66","","10.95","5.5","0.26","","0.59","2.95","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105121",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","CALDERA INTERIOR, WNW CALDERA RIM","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","","","s F145 [4796]","THOLEIITE [4796]","","","","","","","1968","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [4796] ","48.26","2.95","","15.31","","5.18","6.34","10.74","11.81","6.06","0.18","","0.38","2.71","0.27","","0.2","0","","","","","","","","","","","","","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3","","350","116","","","47","53","90","89","","","","","","7","317","27","141","","","","","","","","","","","","","","90","12.7","32.1","","","5.26","1.83","","0.94","","","","","2.33","0.34","4.48","2.28","","","","","","","","","","","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","105162",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN","CALDERA INTERIOR, WNW CALDERA WALL","-0.34","-0.34","-91.47","-91.47","SUBAERIAL","1275","1275","s F381 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [4796] ","48.21","3.28","","14.04","","","","11.25","11.13","6.2","0.18","","0.51","2.77","0.34","","","","","","","","","","","","","","","","-0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392","151","","","","57","88","108","","","","","","9","316","32","181","","","","","","","","","","","","","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105163",
