"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.299","1.299","-91.197","-91.197","SUBAQUATIC","-3504","-3504","s D49A [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.41","3.48","","13.78","","","","13.74","10.34","5.34","0.25","","0.62","3.29","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5","","","162","","","48","78","108","110","","","","","","10","337","31.1","168.8","25.4","","","","","","","","","","","","","120","17","39","5.45","23.5","6.05","2","6.27","1","5.78","1.16","3.08","0.44","2.59","0.37","4.1","1.6","","","","","","","","","1.2","","1.5","0.5","0.51292","","","0.703386","","19.3946","","15.5892","","39.062","","","","","","","","","","","","","","","344376",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.299","1.299","-91.197","-91.197","SUBAQUATIC","-3504","-3504","s D49B [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.43","3.41","","13.79","","","","13.64","10.44","5.47","0.17","","0.61","3.31","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344377",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.299","1.299","-91.197","-91.197","SUBAQUATIC","-3504","-3504","s D49C [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.05","3.52","","13.65","","","","14.06","10.47","5.35","0.2","","0.64","3.31","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344378",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.299","1.299","-91.197","-91.197","SUBAQUATIC","-3504","-3504","s D49E [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.27","3.48","","13.75","","","","13.97","10.3","5.28","0.25","","0.63","3.27","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344379",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.299","1.299","-91.197","-91.197","SUBAQUATIC","-3504","-3504","s D49F [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.23","3.49","","13.7","","","","13.83","10.42","5.38","0.17","","0.62","3.29","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344380",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.268","1.268","-91.144","-91.144","SUBAQUATIC","-3320","-3320","s D50A [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.58","4.23","","13.18","","","","14.23","9.59","5.13","0.22","","0.71","3.24","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512911","","","0.703333","","19.3631","","15.5853","","39.0275","","","","","","","","","","","","","","","344381",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.235","1.235","-91.162","-91.162","SUBAQUATIC","-2810","-2810","s D51A [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.68","3.59","","13.51","","","","13.52","10.4","5.56","0.23","","0.69","2.92","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512907","","","0.703372","","19.4641","","15.5992","","39.1483","","","","","","","","","","","","","","","344382",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.235","1.235","-91.162","-91.162","SUBAQUATIC","-2810","-2810","s D51B [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.55","3.54","","13.66","","","","13.46","10.26","5.51","0.19","","0.7","3.18","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344383",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.235","1.235","-91.162","-91.162","SUBAQUATIC","-2810","-2810","s D51C [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.84","3.67","","13.59","","","","13.06","10.33","5.51","0.2","","0.69","3.24","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1","","","160","","","49","76","111","132","","","","","","14","292","40.8","220.4","33.6","","","","","","","","","","","","","154","22.1","50.6","7.02","29.8","7.52","2.34","7.77","1.25","7.35","1.47","3.95","0.55","3.31","0.47","5.3","2.1","","","","","","","","","1.4","","2.1","0.6","0.512922","","","0.70343","","19.4625","","15.5986","","39.1439","","","","","","","","","","","","","","","344384",
"[11695]","SUBMARINE RIDGE","GALAPAGOS RIDGE / STACKED TERRACES SOUTH OF ISABELA / PACIFIC OCEAN","REGION 2, STACKED TERRACES SOUTH OF ISABELA","1.212","1.212","-91.135","-91.135","SUBAQUATIC","-2458","-2458","s D52 BURLAP [11695]","BASALT [11695]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11695] ","48.66","3.39","","13.4","","","","12.53","11.53","6.24","0.19","","0.55","3.09","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344385",
