"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISS","CAPE CARNOT, GAWLER CRATON","-34.95","-34.95","135.6333","135.6333","SUBAERIAL","","","s JC3 [8384]","GNEISS [8384]","2837000000 [8384]","2837000000 [8384]","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8384] ","76.15","0.25","","12.87","","1.77","","","2.02","0.4","0.02","","2.31","3.75","0.03","","","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","17","398","","","","11","","","13","","","","","43","135","10","171","6","","","","","","","","","","","","","503","39","70","","17.12","2.64","","","","","","","","","","","","","","","","","","","","14.9","","11","0.2","0.510916","","","0.7432","","","","","","","","","","","","","","","","","","","","","215095",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISS","CAPE CARNOT, GAWLER CRATON","-34.95","-34.95","135.6333","135.6333","SUBAERIAL","","","s 446/256 [8384]","AUGENGNEISS [8384]","2643000000 [8384]","2643000000 [8384]","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8384] ","70.08","0.64","","14.97","","3.59","","","1.32","2.08","0.04","","5.5","2.79","0.09","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","60","434","","","","21","","","19","","","","","126","140","16","275","7","","","","","","","","","","","","","664","88.3","215","","40.24","16.16","1.06","7.49","","3.43","","3.24","","0.84","","","","","","","","","","","","40","","52","2.3","0.510933","","","0.7988","","","","","","","","","","","","","","","","","","","","","215096",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISS","CAPE CARNOT, GAWLER CRATON","-34.95","-34.95","135.6333","135.6333","SUBAERIAL","","","s 446/F30 [8384]","GRANULITE [8384]","2640000000 [8384]","2640000000 [8384]","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8384] ","47.54","2.67","","13.03","","17.77","","","10.04","6.83","0.26","","0.25","1.64","1.09","","","","","","","","","","","","","","","","-0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","460","223","","","","65","","","20","","","","","52","61.4","60","170","17","","","","","","","","","","","","","317","37","70","","28.8","7.49","","","","","","","","","","","","","","","","","","","","3","","1","0","0.511981","","","0.71321","","","","","","","","","","","","","","","","","","","","","215097",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISS","CAPE CARNOT, GAWLER CRATON","-34.95","-34.95","135.6333","135.6333","SUBAERIAL","","","s 446/C142 [8384]","GRANULITE [8384]","2640000000 [8384]","2640000000 [8384]","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8384] ","50.69","0.84","","14.57","","12.94","","","11.76","7.77","0.21","","0.65","0.94","0.06","","","","","","","","","","","","","","","","-0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","278","368","","","","87","","","17","","","","","19.1","80.4","24","51","4","","","","","","","","","","","","","203","6.58","17","","8.34","2.32","0.65","2.86","","3.86","","2.35","","2.43","","","","","","","","","","","","6.6","","1","0.7","0.51182","","","0.73215","","","","","","","","","","","","","","","","","","","","","215098",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / DEVILS PLAYGROUND VOLCANICS","DEVILS PLAYGROUND, GAWLER CRATON","-30","-30","136.2667","136.2667","SUBAERIAL","","","s DPA [8384]","RHYOLITE [8384]","2525000000 [8384]","2525000000 [8384]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8384] ","73.15","0.33","","12.45","","4.25","","","0.83","1.53","0.06","","1.66","3.69","0.05","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","10","146","","","","7","","","15","","","","","45.9","48.2","45","300","12","","","","","","","","","","","","","503","28","59","","26.46","6.09","","","","","","","","","","","","","","","","","","","","4.5","","11","1.8","0.511528","","","0.78548","","","","","","","","","","","","","","","","","","","","","215099",
"[8384]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / DEVILS PLAYGROUND VOLCANICS","DEVILS PLAYGROUND, GAWLER CRATON","-30","-30","136.2667","136.2667","SUBAERIAL","","","s DPB [8384]","BASALT [8384]","2525000000 [8384]","2525000000 [8384]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8384] ","58.13","1.36","","15.43","","11.01","","","0.78","5.5","0.16","","0.49","4.01","0.26","","","","","","","","","","","","","","","","3.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","140","39","","","","5","","","18","","","","","13.6","77.6","30","166","7","","","","","","","","","","","","","145","23","36","","28.56","5.93","","","","","","","","","","","","","","","","","","","","4.9","","4","0.6","0.511589","","","0.72266","","","","","","","","","","","","","","","","","","","","","215100",
"[8701]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS","CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD1","-30.3","-30.3","133.5167","133.5167","SUBAERIAL","","","s 506598 [8701]","METAPELITE [8701]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8701] ","54.8","4.28","","15.9","","16","","","0.63","6.13","0.13","","1.42","0.26","0.06","","","","","","","","","","","","","","","0.04","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","25659","170","120","","","69","44","37","250","29.5","","","","","76","20","25","50","64","","","","","","","","","","","","","210","41","84","11.5","43.2","8.46","0.2","6","1.05","5","0.84","2.5","0.3","2","0.27","1","","","","","","","","","","6","","28","1.3","0.511165","","","","","","","","","","","","","","","","","","","","","","","","231504",
"[8701]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS","CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD1","-30.3","-30.3","133.5167","133.5167","SUBAERIAL","","","s 506600 [8701]","GNEISS [8701]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8701] ","71.5","0.48","","12.2","","7.29","","","1.51","2.55","0.09","","1.86","2","0.05","","","","","","","","","","","","","","","0.22","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2848","70","210","","","65","73","340","74","14.5","","","","","57","145","33","360","4","","","","","","","","","","","","","400","18","30.5","3.5","11.5","2.6","0.83","4","1","6","1.15","3.9","0.55","3.5","0.51","9","","","","","","","","","","180","","3.6","0.9","","","","","","","","","","","","","","","","","","","","","","","","","231505",
"[8701]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS","CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD2","-30.3","-30.3","133.5167","133.5167","SUBAERIAL","","","s 506606 [8701]","METAPELITE [8701]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8701] ","69.2","0.54","","15.5","","5.2","","","1.67","2.24","0.06","","3.47","2.04","0.07","","","","","","","","","","","","","","","0.18","0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","3207","40","160","","","46","52","49.5","65","17.5","","","","","69","190","14.5","220","6","","","","","","","","","","","","","850","46","86","10.5","32","5.24","1.2","3.8","0.6","2.9","0.52","1.65","0.25","1.55","0.24","6","","","","","","","","","","30.5","","22.5","1.2","0.510916","","","","","","","","","","","","","","","","","","","","","","","","231506",
"[8701]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS","CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CHRISTIE CORNER","-30.3","-30.3","133.5167","133.5167","SUBAERIAL","","","s 505729 [8701]","GNEISS [8701]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8701] ","68.4","0.68","","15.3","","5.11","","","2.21","2.36","0.07","","2.76","2.98","0.05","","","","","","","","","","","","","","","0.01","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","4079","100","160","","","41","12","18","63","18.5","","","","","83","340","20","220","4.5","","","","","","","","","","","","","650","50","83","10","35.5","5.5","1.6","4.1","0.6","3.1","0.6","1.5","0.2","1.15","0.2","6","","","","","","","","","","24","","14.5","0.97","","","","","","","","","","","","","","","","","","","","","","","","","231507",
