"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[103]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR7 [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.092","","","","","","","","","","","10092",
"[103]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR7 [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000118","0.0000423","","","","","","","","","","","","","","","","","","","","","","","1.088","","","","","","","","","","","10093",
"[103]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / MIDDLE BASALTS / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR40 [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000625","0.0000188","","","","","","","","","","","","","","","","","","","","","","","1.099","","","","","","","","","","","10094",
"[5216]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s GH-36 [5216]","SHOSHONITE [5216]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5216] ","51.49","3.08","","17.71","","8.85","6.08","","8.53","3.25","0.1","","2.11","3.61","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1","","","","","","","45","","","","","","","","","","","298.99","","","","","","","","","","","","","","","43.25","91.6","","","8.89","3.03","","","","","","","","","6.949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116184",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR35G [528]","BASALT, PICRITIC [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","48.95","3.41","","14.13","","","","10.38","7.97","7.74","0.13","","2.53","3.45","0.8","","","","","","","","","","","","","","","","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","178","244","","","46","199","29","105","22","","","","","51","933","30","340","48","","","","","","","","","","","","","812","84","100","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12554",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR7G [528]","BASALT, PICRITIC [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","47.27","2.09","","9.33","","","","11.43","8.55","17.22","0.16","","1.49","2.45","0.37","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","157","732","","","84","614","40","101","15","","","","","29","490","21","189","31","","","","","","","","","","","","","462","67","55","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12555",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / MIDDLE BASALTS / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR23G [528]","BASALT [528]","","","","","","","","APHYRIC TO PORPHYRITIC [528] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","50.71","3.57","","15.74","","","","10.29","8.3","4.33","0.14","","2.58","3.35","0.66","","","","","","","","","","","","","","","","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7","","218","25","","","35","31","23","117","23","","","","","53","786","33","334","57","","","","","","","","","","","","","665","83","100","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12574",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / MIDDLE BASALTS / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR31G [528]","TRACHYANDESITE [528]","","","","","","","","PORPHYRITIC [528] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","55.4","1.98","","17.82","","","","6.91","5.05","2.29","0.1","","4.51","4.27","0.8","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","","107","12.8","","","15.7","13.4","13.9","104","26","","","","","87","828","30","518","70","","","","","","","","","","","","","1040","81","133","","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12577",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / UPPER BASALTS / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR60G [528]","TRACHYANDESITE [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","51.22","2.66","","17.15","","","","8.8","5.54","4.43","0.13","","3.82","4.17","0.89","","","","","","","","","","","","","","","","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","","97","62","","","29","68","7.2","127","24","","","","","75","1001","29","379","77","","","","","","","","","","","","","1139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12578",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / UPPER BASALTS / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR61G [528]","BASALT [528]","","","","","","","","MODERATELY PHYRIC [528] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","51.1","2.68","","17.19","","","","8.85","5.5","4.43","0.13","","3.92","3.99","0.9","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","","116","54","","","30","63","15.4","120","25","","","","","81","977","28","389","78","","","","","","","","","","","","","1158","68","133","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12579",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / TRACHYTIC SERIES / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR65R [528]","TRACHYTE [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","60.29","0.72","","18.39","","","","5.14","2.22","1.03","0.15","","6.38","5.27","0.41","","","","","","","","","","","","","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7.6","6.4","","","","","","98","24","","","","","155","283","31","620","135","","","","","","","","","","","","","386","109","168","","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12580",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / TRACHYTIC SERIES / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR59G [528]","TRACHYTE [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","60.48","0.74","","18.63","","","","4.8","1.84","1.01","0.13","","6.46","5.32","0.31","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","","10.9","6.1","","","","","","98","25","","","","","134","346","19.7","668","120","","","","","","","","","","","","","547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12581",
"[528]","OCEAN ISLAND","GOUGH CHAIN / GOUGH / TRACHYTIC SERIES / ATLANTIC OCEAN","","-40.32","-40.32","-9.92","-9.92","SUBAERIAL","","","s ALR1G [528]","TRACHYTE [528]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [528] ","60.12","0.8","","17.88","","","","4.92","2.02","0.89","0.15","","6.59","5.9","0.32","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","7","9","","","","4.2","","98","28","","","","","142","116","34","661","122","","","","","","","","","","","","","319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12582",
