"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE I","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s A-3I [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","42.98","","","","","","","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","84","1.8","","","","","","","","","","","","","","9.84","","","","","","","","","","","","2.11","","","","","","","","","","","","","","1.16","","","","","","","","","","","","","","","","","","","","","","","","","","101830",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE I","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s A-4I [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","53.2","","","","","","","","","4.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","81","0.9","","","","","","","","","","","","","","5.45","","","","","","","","","","","","2.34","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","101831",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE I","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s A-5I [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","53.36","","","","","","","","","5.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","72","0.9","","","","","","","","","","","","","","0.16","","","","","","","","","","","","2.12","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","","","","","","","","","","","","","101832",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE I","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s A-7I [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","52.8","","","","","","","","","5.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","52","7","","","","","","","","","","","","","","4.77","","","","","","","","","","","","1.85","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","101833",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE I","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s A-8I [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","55.3","","","","","","","","","4.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1","71","1.1","","","","","","","","","","","","","","7.29","","","","","","","","","","","","2.9","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","101834",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s AV-148III [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","55.87","","","","","","","","","8.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","114","3.8","","","","","","","","","","","","","","13.2","","","","","","","","","","","","2.53","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","101835",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s AV-159III [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","57.64","","","","","","","","","2.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6","142","4.6","","","","","","","","","","","","","","18.1","","","","","","","","","","","","3.16","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","101836",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s AV-54AIII [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","57.97","","","","","","","","","1.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6","120","3.6","","","","","","","","","","","","","","17.7","","","","","","","","","","","","2.99","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","101837",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s AV-56III [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","57.57","","","","","","","","","3.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","123","5.7","","","","","","","","","","","","","","19.8","","","","","","","","","","","","3.14","","","","","","","","","","","","","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","101838",
"[4696]","CONVERGENT MARGIN","GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN","VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA","17.9","18.5","-65.6","-67.6","SUBAERIAL","","","s AV-74III [4696]","NOT GIVEN [4696]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4696] ","56.55","","","","","","","","","2.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1","86","2.6","","","","","","","","","","","","","","14","","","","","","","","","","","","2.29","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","101839",
