"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RY-5 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","65.29","0.69","","14.1","","","","6.38","2.16","0.69","0.27","","4.97","3.87","0.19","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","720","","","","","","","","","9","","22","","","","","19.7","","80","20.2","","","","","135.6","249.5","67.5","360.4","17","","","","","","","","3","","","","","1491","76.3","150.1","16.36","56.9","9.8","2.02","9.41","1.64","9.31","2.11","5.87","0.91","5.38","0.8","10","1","5.7","","","","","","","","16.7","","14.2","3.7","","","","","","","","","","","","","","","","","","","","","","","","","884765",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RZ-62 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","65.87","0.36","","15.54","","","","4.11","3.04","1.33","0.15","","3.72","4.2","0.13","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","450","","","","","","","","","6","","50","","","","","16.7","","29","16.4","","","","","152.5","639.9","18","186.2","9.7","","","","","","","","1","","","","","1172","53.3","106","10.23","31.5","5","0.92","3","0.56","2.79","0.58","1.71","0.28","1.72","0.24","5.3","0.9","6.9","","","","","","","","4.9","","20.1","6.7","","","","","","","","","","","","","","","","","","","","","","","","","884766",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RX-3 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","66.04","0.64","","14.48","","","","4.79","2.22","0.91","0.13","","4.88","3.99","0.19","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","690","","","","","","","","","10","","33","","","","","7.9","","62","16.1","","","","","162.4","235.6","37.8","346.6","15.9","","","","","","","","2","","","","","1345","43.8","99.8","11.06","38.2","7.1","1.42","6.57","1.21","6.23","1.3","3.78","0.6","3.38","0.51","9.2","1","3.4","","","","","","","","17.1","","17.2","4.4","","","","","","","","","","","","","","","","","","","","","","","","","884767",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RK-49 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","66.66","0.67","","14.14","","","","5.4","2.03","0.62","0.19","","5.18","3.74","0.17","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","1480","","","","","","","","","11","","20","","","","","13.6","","96","19.9","","","","","166.4","228.5","58.6","342.1","17","","","","","","","","3","","","","","1454","82.2","147.6","16.39","65.5","10.6","2.19","9.11","1.43","8.35","1.75","5.83","0.78","5.1","0.73","10.3","1.1","5.5","","","","","","","","23.1","","17.8","4.4","","","","","","","","","","","","","","","","","","","","","","","","","884768",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RK-27 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","66.82","0.68","","14.24","","","","5.34","2.12","0.64","0.19","","4.36","4.14","0.15","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","1360","","","","","","","","","9","","17","","","","","12.4","","70","18.5","","","","","147.4","231.9","48.2","332.4","17.3","","","","","","","","4","","","","","1516","69.2","133","14.58","57.1","9.4","1.94","8.03","1.37","7.08","1.57","4.59","0.67","4.68","0.66","9","1.1","4","","","","","","","","18.9","","17.8","4","","","","","","","","","","","","","","","","","","","","","","","","","884769",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -ALTO PITINGA GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RD28A [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","68.38","0.56","","14.27","","","","3.98","1.75","0.49","0.1","","4.73","3.73","0.15","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","15","","","","","6.3","","83","21","","","","","168.9","188.4","134.2","317.1","17.9","","","","","","","","5","","","","","1222.8","256","601.8","57.24","224.1","32.5","3.48","25.57","3.94","23.05","4.09","12.85","1.87","13.62","1.85","9.5","1.4","6.2","","","","","","","","25.6","","18.5","5.6","","","","","","","","","","","","","","","","","","","","","","","","","884770",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -RASTRO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RP-33 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","68.85","0.5","","13.63","","","","4.47","1.52","0.37","0.18","","5.45","3.37","0.14","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","890","","","","","","","","","13","","13","","","","","11","","106","20.3","","","","","174.2","140.4","59.9","397.1","20.4","","","","","","","","5","","","","","1103","86.9","162.4","17.4","70.6","11.3","1.74","10.48","1.67","9.53","1.97","6.11","0.89","5.55","0.8","11","1.3","4.9","","","","","","","","29.4","","21.4","5","","","","","","","","","","","","","","","","","","","","","","","","","884771",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -RASTRO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RP-9 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","68.98","0.5","","13.69","","","","5.25","1.41","0.37","0.22","","4.85","3.15","0.12","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","820","","","","","","","","","10","","12","","","","","19.7","","85","20.4","","","","","166.6","170.7","81.2","396.8","19.8","","","","","","","","4","","","","","1118","109.8","206","21.83","91","15","1.87","13.62","2.16","12.01","2.53","7.41","1.07","6.75","0.94","11.1","1.2","7.2","","","","","","","","21.3","","21.8","4.7","","","","","","","","","","","","","","","","","","","","","","","","","884772",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -ALTO PITINGA GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RD26A [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","69.03","0.54","","14.05","","","","4.03","1.83","0.58","0.12","","4.78","3.66","0.15","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","24","","","","","9.1","","84","21.1","","","","","175.7","201.7","46.4","322","18.5","","","","","","","","5","","","","","1182.7","72.5","167.4","16.76","62.8","10.4","1.56","7.78","1.24","7.96","1.5","4.84","0.7","5.13","0.73","9.2","1.3","2.8","","","","","","","","18.7","","21.7","5.6","","","","","","","","","","","","","","","","","","","","","","","","","884773",
"[19174]","INTRAPLATE VOLCANICS","GUYANA SHIELD - PROTEROZOIC / BRAZIL_PROTEROZOIC / PITINGA PROVINCE / UATUMA SUPERGROUP - MAPUERA INTRUSIVE SUITE -SIMAO GRANITE","","-0.75","-1.25","-59.5","-60.5","SUBAERIAL","","","s RX-2 [19174]","GRANITE [19174]","","","PALEO [19174]","PROTEROZOIC [19174]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19174] ","69.34","0.5","","14.19","","","","3.89","1.59","0.47","0.15","","4.76","3.87","0.09","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","960","","","","","","","","","6","","16","","","","","10.5","","53","16.6","","","","","164.3","208.6","35.3","379.8","18.6","","","","","","","","2","","","","","1055","52.4","109.2","12.2","41.4","7.2","1.26","7.16","1.06","6.31","1.22","3.49","0.55","3.37","0.51","9.3","1.2","4.1","","","","","","","","18.5","","25.1","5.2","","","","","","","","","","","","","","","","","","","","","","","","","884774",
