"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / NIHOA / SHIELD STAGE / PACIFIC OCEAN","BETWEEN ADAMS BAY AND MILLERS PEAK, 4M BELOW MILLERS PEAK","23.05","23.05","-161.92","-161.92","SUBAERIAL","295","295","s 8G101 [277]","THOLEIITE [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [277] ","46.57","2.83","","12.57","","6.02","6.34","","10.27","9.09","0.16","","0.28","1.93","0.76","","1.09","1.07","","0","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12589",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / NIHOA / SHIELD STAGE / PACIFIC OCEAN","BETWEEN ADAMS BAY AND MILLERS PEAK","23.05","23.05","-161.92","-161.92","SUBAERIAL","58","58","s 8G126 [277]","THOLEIITE [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [277] ","49.44","2.84","","14.11","","3.55","7.65","","10.19","6.17","0.15","","0.43","2.39","0.46","","1.06","1.12","","0.01","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12590",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN","","23.82","23.82","-167.97","-167.97","SUBAERIAL","5","5","s LPP-E-15 [277]","BASALT [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [277] ","46.12","2.15","","10.27","","3.96","8.19","","9.38","16.59","0.17","","0.35","1.59","0.31","","0.39","0.28","","0.02","","","","","","","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12594",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN","","23.82","23.82","-167.97","-167.97","SUBAERIAL","6","6","s LPP-W-20 [277]","BASALT [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [277] ","46.21","2.13","","10.13","","3.9","8.37","","9.16","17.03","0.19","","0.34","1.56","0.28","","0.32","0.21","","0.02","","","","","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12595",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN","","23.82","23.82","-167.97","-167.97","SUBAERIAL","9","9","s LPP-W-30 [277]","BASALT [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [277] ","45.95","2.13","","10.4","","4.26","8.1","","9.17","16.41","0.17","","0.34","1.6","0.3","","0.55","0.44","","0","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12596",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN","","23.82","23.82","-167.97","-167.97","SUBAERIAL","11","11","s LPP-W-35 [277]","BASALT [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [277] ","45.23","2.14","","10.28","","5.13","7.02","","9.78","15.88","0.17","","0.34","1.61","0.7","","0.63","0.6","","0.03","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12597",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / GARDNER PINNACLE / PACIFIC OCEAN","","25","25","-167.98","-167.98","SUBAERIAL","5","5","s GP-18 [277]","BASALT [277]","","","","","","","","INTERGRANULAR [277] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [277] ","44.12","2.71","","16.24","","6.4","6.75","","11.24","5.28","0.24","","0.55","2.74","0.36","","1.93","0.19","","1.22","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12598",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN","BETWEEN ADAMS BAY AND MILLERS PEAK","23.05","23.05","-161.92","-161.92","SUBAERIAL","72","72","s 8G133 [277]","THOLEIITE [277]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [277] ","","","","","","","","","","","","","0.173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12603",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN","BETWEEN ADAMS BAY AND MILLERS PEAK","23.05","23.05","-161.92","-161.92","SUBAERIAL","72","72","s 8G135 [277]","THOLEIITE [277]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [277] ","","","","","","","","","","","","","0.241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12604",
"[277]","OCEAN ISLAND","HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN","BETWEEN ADAMS BAY AND MILLERS PEAK","23.05","23.05","-161.92","-161.92","SUBAERIAL","82","82","s 8G140 [277]","THOLEIITE [277]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [277] ","","","","","","","","","","","","","0.318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12605",
