"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1252]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE RB02 / PACIFIC OCEAN","DREDGE 4","23.85","23.85","-157.45","-157.45","SUBAQUATIC","-4250","-4350","s RB02-A [1252]","BASALT, ALKALINE, OLIVINE [1252]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [1252] ","","","","","","","","","","","","","","","","0.7","","","","0.28","","","0.04","","","","","","","0.135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13136",
"[1252]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 26D / PACIFIC OCEAN","FLOW","23.585","23.585","-157.705","-157.705","SUBAQUATIC","-4303","-4303","s 26D [1252]","BASALT [1252]","","","","","","","","NONVESICULAR [1252] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1252] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.49","","","","","13138",
"[1252]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 21 / PACIFIC OCEAN","VENT","24.5","24.5","-157","-157","SUBAQUATIC","","","s 21D [1252]","BASALT [1252]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [1252] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","","","","","13141",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 8 / PACIFIC OCEAN","FLOW","24","24","-157.5","-157.5","SUBAQUATIC","","","s 8G [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","45.3","2.28","","14.8","","","11.7","","12.3","6.42","0.17","","0.97","3.71","0.32","","","","","","","","","","","","","","","0.146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13145",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 10 / PACIFIC OCEAN","FLOW","24","24","-157.5","-157.5","SUBAQUATIC","","","s 10G [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","44.3","2.22","","13.9","","","11.9","","12.3","7.8","0.18","","1.03","3.68","0.44","","","","","","","","","","","","","","","0.173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13147",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 14 / PACIFIC OCEAN","","24","24","-157.5","-157.5","SUBAQUATIC","","","s 14G [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","44","2.28","","14.2","","","11.9","","12.2","7.64","0.18","","1.02","3.68","0.44","","","","","","","","","","","","","","","0.166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13149",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 15 / PACIFIC OCEAN","","25","25","-158","-158","SUBAQUATIC","","","s 15D [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","44.5","2.53","","15.3","","","12","","12","5.7","0.18","","1.15","4.1","0.49","","","","","","","","","","","","","","","0.178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13150",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 16 / PACIFIC OCEAN","","25","25","-158","-158","SUBAQUATIC","","","s 16D [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","45.3","2.17","","14.7","","","11.7","","12.5","6.61","0.17","","0.85","3.77","0.37","","","","","","","","","","","","","","","0.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13151",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 17 / PACIFIC OCEAN","FLOW","25.5","25.5","-157.5","-157.5","SUBAQUATIC","","","s 17D-B [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","45.6","1.94","","14.4","","","11.4","","12","8.05","0.18","","0.79","3.57","0.28","","","","","","","","","","","","","","","0.139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13153",
"[1254]","OCEAN ISLAND","HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 18 / PACIFIC OCEAN","","25","25","-157.35","-157.35","SUBAQUATIC","","","s 18D [1254]","BASALT, ALKALINE [1254]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","VOLCANIC GLASS [1254] ","45.1","2.34","","14.7","","","11.6","","12.3","6.26","0.18","","1","3.8","0.42","","","","","","","","","","","","","","","0.183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13154",
