"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / SHIELD STAGE / PACIFIC OCEAN","HILO DRILL HOLE HSDP-1 CORE","19.74","19.74","-155.05","-155.05","SUBAERIAL","","","s R316 [22]","THOLEIITE [22]","","","","","","","","","VOLCANIC ROCK","651.36","651.36","","","WHOLE_ROCK [22] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540","","","54.2","346","101.4","","","","","","","1.88","299","","","13.07","","","","","","","","","","","","0.0219","56.6","11.32","29.7","4.29","21.5","5.65","2","6.33","0.931","5.47","1.04","2.66","0.339","2","0.308","","0.952","","","","","","","","","0.852","","0.935","0.282","","","","","","","","","","","","","","","","","","","","","","","","","431",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s B11 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42.8","2.31","","15.4","","","","12","12.6","6.66","0.2","","1.47","4.73","0.34","","","","","","","0.098","0.078","","","","","0.251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","431778",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s C22 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42.8","2.3","","15.3","","","","11.9","13","6.54","0.2","","1.48","4.94","0.35","","","","","","","0.092","0.089","","","","","0.276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","","","","28.6","664","26.7","148","20.6","","","","","","","","","","","","","443","17.1","35.8","5.23","23.3","5.57","2.01","5.91","0.85","4.91","0.95","2.45","0.37","2.04","0.32","3.71","1.28","","","","","","","","","1.01","","1.4","0.27","","","","","","","","","","","","","","","","","","","","","","","","","431779",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s C1 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42.1","2.46","","15.1","","","","12.1","13","6.52","0.19","","1.51","5.12","0.39","","","","","","","0.073","0.102","","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","27.6","675","24.2","145","20.7","","","","","","","","","","","","","429","17","34.8","5.31","23","5.63","2.05","6.02","0.84","4.78","0.9","2.24","0.32","1.77","0.29","3.1","1.24","","","","","","","","","1.05","","1.31","0.27","","","","","","","","","","","","","","","","","","","","","","","","","431780",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s A2 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42.6","2.23","","15.3","","","","11.5","12.7","6.6","0.19","","1.52","5.18","0.38","","","","","","","0.092","0.098","","","","","0.255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","669","25","139","20.7","","","","","","","","","","","","","446","15.7","32.7","5.12","22.2","5.26","2.04","5.63","0.8","4.48","0.85","2.23","0.34","2.03","0.29","3.19","1.16","","","","","","","","","1.17","","1.18","0.28","","","","","","","","","","","","","","","","","","","","","","","","","431781",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s A4 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42","2.33","","15","","","","11.9","13.1","6.83","0.18","","1.5","5.24","0.4","","","","","","","0.091","0.096","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","705","22.6","139","21.9","","","","","","","","","","","","","480","17.1","37.2","5.51","24.4","5.67","2.16","6.13","0.82","4.41","0.79","2.1","0.29","1.68","0.24","3.19","1.24","","","","","","","","","1.26","","1.27","0.35","","","","","","","","","","","","","","","","","","","","","","","","","431782",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s C13 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","42","2.65","","14.8","","","","12.8","12.7","6.59","0.2","","1.67","5.09","0.38","","","","","","","0.092","0.099","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","33","673","21.5","156","21.9","","","","","","","","","","","","","484","16.8","34.6","5.21","23.3","5.48","1.92","5.6","0.74","4.19","0.77","1.96","0.29","1.39","0.21","3.78","1.25","","","","","","","","","1.23","","1.29","0.28","","","","","","","","","","","","","","","","","","","","","","","","","431783",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s B10 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","41.7","2.41","","14.9","","","","12.2","13.2","6.65","0.21","","1.51","5.29","0.4","","","","","","","0.076","0.107","","","","","0.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","431784",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s B19 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","41.5","2.67","","14.6","","","","12.8","12.8","6.51","0.2","","1.64","5.18","0.39","","","","","","","0.101","0.098","","","","","0.359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","431785",
"[13788]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / PACIFIC OCEAN","OFF KILAUES SOUTH FLANK","19.43","19.43","-155.3","-155.3","SUBAQUATIC","-3879","-3879","s C12 [13788]","NOT GIVEN [13788]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [13788] ","41.9","2.37","","14.9","","","","12.2","13.2","6.52","0.19","","1.53","5.32","0.41","","","","","","","0.051","0.097","","","","","0.355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","30.2","773","26.2","154","23.2","","","","","","","","","","","","","536","20.7","43.1","6.19","26.6","6.89","2.23","6.55","0.97","5.14","0.93","2.33","0.32","1.88","0.26","3.79","1.38","","","","","","","","","1.34","","1.67","0.32","","","","","","","","","","","","","","","","","","","","","","","","","431786",
