"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4202]","OCEAN ISLAND","HEARD / HEARD / INDIAN OCEAN","","-53.12","-53.12","73.33","73.33","SUBAERIAL","","","s H-36 [4202]","TRACHYBASALT [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","","","","","","","930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117613",
"[4202]","OCEAN ISLAND","HEARD / HEARD / INDIAN OCEAN","","-53.12","-53.12","73.33","73.33","SUBAERIAL","","","s H-34 [4202]","TRACHYBASALT [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","","","","","","","923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117614",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s HC26 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [1004], HE3_HE4(R/R(A)) from OLIVINE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","","","","15765",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s HC26 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from CLINOPYROXENE [1004], HE3_HE4(R/R(A)) from CLINOPYROXENE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","","","","15766",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s HD11 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [1004], HE3_HE4(R/R(A)) from OLIVINE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","15777",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s HC29 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [1004], HE3_HE4(R/R(A)) from OLIVINE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","","","15780",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s HC29 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from CLINOPYROXENE [1004], HE3_HE4(R/R(A)) from CLINOPYROXENE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000000022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","15781",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s 69261 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [1004], HE3_HE4(R/R(A)) from OLIVINE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","15782",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s 69261 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from CLINOPYROXENE [1004], HE3_HE4(R/R(A)) from CLINOPYROXENE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000000017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","15783",
"[1004]","OCEAN ISLAND","HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN","SOUTH FLANK OF BIG BEN","-53.12","-53.12","73.5","73.5","SUBAERIAL","","","s 69284 [1004]","BASALT [1004]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [1004], HE3_HE4(R/R(A)) from OLIVINE [1004]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1004] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000000115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","","","15784",
