"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s INT-14-7 [20273]","PERIDOTITE, GARNET, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.47","23.2","2.5","12.9","1.35","","","","","","","","","","","","0.06","65","1.21","2.72","0.35","1.63","0.38","0.14","0.46","0.08","0.53","0.11","0.3","0.04","0.27","0.05","0.42","0.1","","","","","","","","","0.31","","0.15","0.04","0.512946","","","0.703049","","18.5241","","15.6101","","38.3263","","","","","","","","","","","","","","","1038047",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s EREM-2 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","45.9","2.5","1.77","0.37","","","","","","","","","","","","0.01","33","2.37","3.03","0.25","0.85","0.17","0.07","0.25","0.05","0.35","0.08","0.23","0.03","0.23","0.04","0.07","0.01","","","","","","","","","1.2","","0.73","0.23","0.513091","","","0.704299","","18.5893","","15.607","","38.3779","","","","","","","","","","","","","","","1038048",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s IL-17-4 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","43","0.07","","1.77","","","","8.38","2.74","40.6","0.15","","0.13","1.08","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","143","3.77","6.33","22.4","","","","","","","","","","","","0.03","64","7.87","17.9","1.95","7.4","1.19","0.38","0.98","0.14","0.79","0.14","0.37","0.05","0.33","0.05","0.13","0.4","","","","","","","","","0.67","","9.04","0.23","0.512958","","","0.704419","","19.7623","","15.6782","","39.4682","","","","","","","","","","","","","","","1038049",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s IL-17-5 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","43","0.06","","2.13","","","","8.21","2.69","40.4","0.16","","0.12","1.21","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","107","2.95","13.5","2.8","","","","","","","","","","","","0.02","32","4.57","10.1","1.24","5.32","1.03","0.35","0.96","0.13","0.75","0.13","0.31","0.04","0.24","0.04","0.14","0.88","","","","","","","","","0.37","","0.36","0.07","0.512924","","","0.704472","","19.609","","15.6727","","39.3158","","","","","","","","","","","","","","","1038050",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s IL-17-13 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","44.9","0.07","","2.4","","","","7.7","2.63","38.9","0.16","","0.31","1.1","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03","107","4.6","6.48","21.2","","","","","","","","","","","","0.22","336","7.97","20.4","2.38","9.61","1.6","0.52","1.3","0.18","1.08","0.19","0.5","0.07","0.43","0.07","0.11","0.79","","","","","","","","","0.47","","1.36","0.58","0.512928","","","0.703694","","19.8158","","15.6712","","39.4382","","","","","","","","","","","","","","","1038051",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s IL-17-14 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","44.9","0.04","","2.02","","","","7.45","2.89","39.4","0.13","","0.1","1.21","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","128","4.96","2.51","27","","","","","","","","","","","","0.02","97","10.2","26.7","3.12","12.6","2","0.66","1.55","0.21","1.14","0.2","0.5","0.07","0.43","0.07","0.03","0.46","","","","","","","","","0.53","","0.78","0.18","0.512916","","","0.703753","","19.884","","15.6751","","39.5007","","","","","","","","","","","","","","","1038052",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s IL-17-18 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","44","0.06","","2.04","","","","7.6","2.18","41.1","0.13","","0.06","0.69","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","70.2","2.5","3.54","4.09","","","","","","","","","","","","0.03","63","4.27","7.92","0.81","2.99","0.45","0.16","0.42","0.06","0.42","0.09","0.24","0.03","0.23","0.04","0.08","0.12","","","","","","","","","0.65","","0.79","0.2","0.512979","","","0.703396","","19.9803","","15.6659","","39.5092","","","","","","","","","","","","","","","1038053",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s INT-15-1 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","32.6","2.5","1.66","0.26","","","","","","","","","","","","0.01","98","1.86","2.03","0.14","0.48","0.12","0.05","0.19","0.04","0.27","0.06","0.17","0.03","0.17","0.03","0.06","0.01","","","","","","","","","0.96","","0.57","0.16","0.5131","","","0.704925","","19.1522","","15.6788","","39.1135","","","","","","","","","","","","","","","1038054",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s INT-17-1 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21","82.4","2.5","8.19","19.7","","","","","","","","","","","","0.02","38","3.08","7.9","1.05","4.54","0.83","0.27","0.7","0.09","0.53","0.09","0.21","0.03","0.18","0.03","0.11","0.79","","","","","","","","","0.52","","0.34","0.08","0.512927","","","0.703104","","18.665","","15.6091","","38.4934","","","","","","","","","","","","","","","1038055",
"[20273]","INTRAPLATE VOLCANICS","HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SUBAERIAL","","","s INT-17-6 [20273]","PERIDOTITE, SPINEL, XENOLITH [20273]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67","44.7","2.5","16","13.1","","","","","","","","","","","","0.03","37","1.91","4.83","0.62","2.62","0.48","0.15","0.39","0.05","0.27","0.04","0.1","0.01","0.08","0.01","0.18","0.98","","","","","","","","","0.6","","0.11","0.03","0.512889","","","0.704476","","19.0202","","15.6373","","38.7406","","","","","","","","","","","","","","","1038056",
