"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[9956]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB9 [9956]","NOT GIVEN [9956]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9956] ","40.11","3.43","","15.41","","","","8.5","13.91","8.7","0.15","","2.03","4.84","1.99","","","","","","","","0.15","","","","","","","0.18","","","","","","","","","","","","","","","3.5","2.6","5.1","","","1831","","","","","","","16781","","30","20328","291","205","","","","","","","","","","","","57","1572","38","417","129","","","","","","","","","","","","0.8","713","115","224","","92.8","18.7","5.5","11.9","","9.1","","3.4","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286021",
"[5460]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB2 [5460]","THOLEIITE [5460]","","","","NEOGENE [5460]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5460] ","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7028","","19.4","","15.68","","38.9","","","","","","","","","","","","","","","286882",
"[5460]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB026 [5460]","THOLEIITE [5460]","","","","NEOGENE [5460]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5460] ","","","","","","","","","","","","","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","297","","","","","","","","","","","","","","","","","","25.6","","17.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7028","","","","","","","","","","","","","","","","","","","","","286884",
"[5460]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB018 [5460]","BASALT, ALKALINE [5460]","","","","NEOGENE [5460]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5460] ","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70304","","19.604","","15.633","","39.012","","","","","","","","","","","","","","","286887",
"[5460]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB24 [5460]","BASALT, ALKALINE [5460]","","","UPPER [5460]","CRETACEOUS [5460]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5460] ","","","","","","","","","","","","","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","797","","","","","","","","","","","","","","","","","","132.6","","66.8","","","","","","","","","","","","","","","","","","","","","3.41","","5.7","2.1","","","","0.70315","","19.927","","15.699","","39.56","","","","","","","","","","","","","","","286890",
"[5460]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s IB25 [5460]","BASALT, ALKALINE [5460]","","","UPPER [5460]","CRETACEOUS [5460]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5460] ","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","671","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.44","","3.5","1.4","","","","0.70306","","19.839","","15.687","","39.508","","","","","","","","","","","","","","","286891",
"[8370]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s 106 [8370]","THOLEIITE [8370]","2000000 [8370]","3000000 [8370]","","PLIOCENE [8370]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8370] ","50.58","1.4","","15.58","","4.22","5.86","","9.18","7.49","0.16","","0.21","3.12","0.27","","","","","","","","","","","","","","","","1.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","333","","","41","217","","","","","","","","3","286","21","105","12","","","","","","","","","","","","","124","16","32","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","287825",
"[8370]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s 110 [8370]","THOLEIITE [8370]","2000000 [8370]","3000000 [8370]","","PLIOCENE [8370]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8370] ","50.28","1.51","","16.61","","4.23","5.88","","9.32","7.46","0.16","","0.16","3.21","0.23","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163","340","","","44","206","","","","","","","","5","267","23","106","14","","","","","","","","","","","","","115","14","31","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","287826",
"[8370]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s 113 [8370]","THOLEIITE [8370]","2000000 [8370]","3000000 [8370]","","PLIOCENE [8370]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8370] ","50.66","1.37","","15.86","","4.21","6.01","","8.92","8.16","0.15","","0.18","3.14","0.23","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","391","","","47","238","","","","","","","","5","261","20","99","11","","","","","","","","","","","","","123","15","32","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","287827",
"[8370]","COMPLEX VOLCANIC SETTINGS","HYBLEAN (IBLEAN) PLATEAU","","37.17","37.17","14.92","14.92","SUBAERIAL","","","s 120 [8370]","THOLEIITE [8370]","2000000 [8370]","3000000 [8370]","","PLIOCENE [8370]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8370] ","50.26","1.44","","16.38","","3.61","6.6","","9.26","7.49","0.19","","0.14","3.25","0.25","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","323","","","45","213","","","","","","","","2","270","24","107","13","","","","","","","","","","","","","133","18","39","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","287828",
