"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[115]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","","71","71","-8.5","-8.5","SUBAERIAL","","","s JM151A [115]","ANKARAMITE [115]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4 from OLIVINE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","10114",
"[115]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","","71","71","-8.5","-8.5","SUBAERIAL","","","s JM151A [115]","ANKARAMITE [115]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4 from CLINOPYROXENE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","","","","","10115",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-04GC, 30 KM SE OF BEERENBERG","71","942","-8","-8","SUBAQUATIC","942","942","s GS11-169-04GC [20414]","TRACHYBASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","0","2.5","","","VOLCANIC GLASS [20414] ","48.33","3.45","","15.73","","","","10.46","8.88","4.31","0.24","","3.08","3.65","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061125",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-04GC, 30 KM SE OF BEERENBERG","71","942","-8","-8","SUBAQUATIC","942","942","s GS11-169-04GC [20414]","TRACHYANDESITE, BASALTIC [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","3","5.5","","","VOLCANIC GLASS [20414] ","50.76","2.87","","16.42","","","","9.39","7.48","3.27","0.23","","3.66","4.09","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061126",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-04GC, 30 KM SE OF BEERENBERG","71","942","-8","-8","SUBAQUATIC","942","942","s GS11-169-04GC [20414]","TRACHYBASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","29","32.5","","","VOLCANIC GLASS [20414] ","47.03","3.44","","15.24","","","","12.09","10.73","5.11","0.24","","2.41","3.02","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061127",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-16GC, 34 KM SW OF JAN MAYEN","71","71","-9","-9","SUBAQUATIC","948","948","s GS11-169-16GC [20414]","TRACHYBASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","1","2","","","VOLCANIC GLASS [20414] ","47.5","3.25","","15.85","","","","10.5","9.49","4.36","0.21","","3.04","3.43","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061128",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-16GC, 34 KM SW OF JAN MAYEN","71","71","-9","-9","SUBAQUATIC","948","948","s GS11-169-16GC [20414]","TRACHYBASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","1","2","","","VOLCANIC GLASS [20414] ","47.98","3.47","","15.74","","","","10.56","9.36","4.37","0.25","","2.9","3.36","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061129",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-16GC, 34 KM SW OF JAN MAYEN","71","71","-9","-9","SUBAQUATIC","948","948","s GS11-169-16GC [20414]","NOT GIVEN [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","9","9.5","","","VOLCANIC GLASS [20414] ","47.29","3.79","","15.23","","","","12.36","9.41","4.24","0.31","","3.08","3.62","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061130",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-16GC, 34 KM SW OF JAN MAYEN","71","71","-9","-9","SUBAQUATIC","948","948","s GS11-169-16GC [20414]","TRACHYBASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","47.5","49.5","","","VOLCANIC GLASS [20414] ","46.97","3.6","","14.97","","","","11.72","10.68","5.3","0.22","","2.2","3.26","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061131",
"[20414]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN","CORE GS11-169-11GC","70","70","-9","-9","SUBAQUATIC","","","s GS11-169-11GC [20414]","BASALT [20414]","","","","HOLOCENE [20414]","","","","","VOLCANIC ROCK","16.5","17","","","VOLCANIC GLASS [20414] ","48.95","1.42","","14.27","","","","10.79","13.24","8.13","0.19","","0.14","2.04","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061132",
