"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN","100 M NORTH OF SETTLEMENT","-33.77","-33.77","-80.77","-80.77","SUBAERIAL","","","s MF-16 [764]","THOLEIITE, OLIVINE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","48.24","2.26","","13.82","","","","11.7","9.61","10.49","0.17","","0.61","2.72","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222","","","","","284","","","","","","","","14","370","25","170","","","","","","","","","","","","","","139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111416",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN","100 M NORTH OF SETTLEMENT","-33.77","-33.77","-80.77","-80.77","SUBAERIAL","","","s MF-6 [764]","THOLEIITE, OLIVINE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","48.04","2.27","","13.43","","","","11.91","9.42","11.38","0.18","","0.55","2.43","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","","","","","361","","","","","","","","14","350","25","164","","","","","","","","","","","","","","131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111417",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-7 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","43.34","2.96","","12.97","","","","11.61","9.77","11.76","0.21","","1.53","2.72","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","","","","","351","","","","","","","","46","887","73","307","","","","","","","","","","","","","","753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111420",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-16 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","43.72","2.42","","12.7","","","","12.3","9.48","13.61","0.2","","1.23","3.19","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238","","","","","404","","","","","","","","35","606","27","222","","","","","","","","","","","","","","380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51288","","","0.70344","","","","","","","","","","","","","","","","","","","","","111421",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-6 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","43.47","2.85","","13.17","","","","11.8","10.86","11.65","0.2","","0.71","4.74","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264","","","","","276","","","","","","","","17","781","30","257","","","","","","","","","","","","","","584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111422",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-9 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","42.4","2.73","","13.14","","","","12","10.71","11.76","0.21","","1.31","4.38","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264","","","","","333","","","","","","","","38","701","28","234","","","","","","","","","","","","","","510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111423",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-19 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","44.25","2.39","","12.77","","","","11.89","9.77","13.86","0.2","","1.22","3.24","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","631","21","207","","","","","","","","","","","","","","377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111424",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-21 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","43.51","2.95","","12.96","","","","12.02","9.8","11.99","0.22","","1.76","3.93","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251","","","","","350","","","","","","","","53","891","32","327","","","","","","","","","","","","","","602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51288","","","0.70346","","","","","","","","","","","","","","","","","","","","","111426",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO FRANCES","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PF-20 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","43.06","2.61","","13.37","","","","11.9","9.86","11.17","0.21","","1.52","3.44","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231","","","","","302","","","","","","","","45","801","32","285","","","","","","","","","","","","","","521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111428",
"[764]","OCEAN ISLAND","JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN","PUERTO VAQUERIA","-33.5","-33.5","-78.5","-78.5","SUBAERIAL","","","s PV-4 [764]","BASANITE [764]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [764] ","44.52","2.25","","10.23","","","","12.22","7.45","19.87","0.17","","0.58","1.86","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","","","","","875","","","","","","","","13","381","22","183","","","","","","","","","","","","","","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51286","","","0.70344","","","","","","","","","","","","","","","","","","","","","111430",
