"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9905","-25.9905","30.8631","30.8631","SUBAERIAL","","","s BV01 [17165]","KOMATIITE [17165]","3480000000 [17165] / 3484000000 [18098]","3480000000 [17165] / 3484000000 [18098]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","45.5","0.302","","3.13","","","","10.71","5.01","33.1","0.194","","0.011","0.2","0.032","","","","","","","","","","","","","","","","7.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","","104","1897","","","105","2020","","55.7","3.81","","","","","","","6.83","22.2","1.56","","0.00368","","0.00399","","","","","","","","","","1.66","4.43","","2.915","0.8796","0.303","1.14","","1.2","","0.709","","0.668","0.1","0.608","0.099","","0.000124","0.002315","0.00203","0.00406","","","","","","0.17","0.0342","0.512194","","","","","","","","","","","","","","0.11872","","0.2585","0.28216","","","","","","","101748-BV01",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9904","-25.9904","30.8631","30.8631","SUBAERIAL","","","s BV02 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","45.5","0.378","","3.8","","","","12.15","6.09","29.4","0.197","","0.14","0.34","0.037","","","","","","","","","","","","","","","","6.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5","","120","1995","","","114","1606","","66.3","4.67","","","","","","","8.86","29.6","2.01","","0.00353","","0.00462","","","","","","","","","","2.18","5.81","","3.883","1.21","0.416","1.46","","1.54","","0.916","","0.86","0.129","0.8","0.13","","0.0000768","0.001307","0.00134","0.005","","","","","","0.223","0.0457","0.512165","","","","","","","","","","","","","","0.12028","","0.283","","","","","","","","101749-BV02",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.99","-25.99","30.863","30.863","SUBAERIAL","","","s BV08 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","OLIVINE SPINIFEX [17165] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","47","0.399","","4.09","","","","11.61","6.66","27.8","0.197","","0.021","0.32","0.053","","","","","","","","","","","","","","","","6.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","134","2139","","","107","1592","","61.3","4.37","","","","","","","8.73","25.8","1.72","","0.00371","","0.00477","","","","","","","","","","1.97","5.62","","4.06","1.2","0.377","1.52","","1.57","","0.921","","0.855","0.125","0.764","0.12","","0.0000754","0.001322","0.00142","0.00484","","","","","","0.195","0.0392","","","","","","","","","","","","","","","0.11964","","0.2745","","","","","","","","101750-BV08",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9901","-25.9901","30.8631","30.8631","SUBAERIAL","","","s BV05 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","OLIVINE SPINIFEX [17165] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","46.8","0.378","","4.02","","","","11.61","6.34","28.2","0.229","","0.064","0.34","0.037","","","","","","","","","","","","","","","","6.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","130","2185","","","117","1560","","62.8","4.24","","","","","","","8.59","25.3","1.67","","0.00372","","0.00498","","","","","","","","","","1.94","5.52","","2.374","0.7097","0.396","1.48","","1.52","","0.892","","0.837","0.122","0.733","0.117","","0.0000501","0.001188","0.0014","0.00529","","","","","","0.193","0.0383","0.512286","","","","","","","","","","","","","","0.1154","","0.203","","","","","","","","101751-BV05",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9901","-25.9901","30.86067","30.86067","SUBAERIAL","","","s BV09 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","OLIVINE SPINIFEX [17165] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","48","0.45","","4.54","","","","12.06","7.76","24.3","0.194","","0.021","0.46","0.031","","","","","","","","","","","","","","","","4.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00351","","0.00577","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001229","0.001098","0.00131","0.00593","","","","","","","","","","","","","","","","","","","","","","0.13579","","0.54","","","","","","","","101752-BV09",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.99","-25.99","30.863","30.863","SUBAERIAL","","","s BV10 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","45.2","0.284","","2.9","","","","10.62","4.54","34.1","0.172","","0.011","0.24","0.032","","","","","","","","","","","","","","","","7.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","98","1893","","","106","2153","","52.1","3.02","","","","","","","6.07","17.4","1.24","","0.00356","","0.00355","","","","","","","","","","1.37","3.77","","2.86","0.8538","0.281","1.09","","1.14","","0.672","","0.639","0.0964","0.549","0.0793","","0.000041","0.001352","0.0012","0.00333","","","","","","0.143","0.0286","0.512258","","","","","","","","","","","","","","0.11296","","0.156","","","","","","","","101753-BV10",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9899","-25.9899","30.863","30.863","SUBAERIAL","","","s BV13 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","43.2","0.256","","2.57","","","","11.61","3.81","36.1","0.205","","0","0.11","0.022","","","","","","","","","","","","","","","","7.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","84","1889","","","129","2189","","57.2","2.69","","","","","","","4.17","10.1","0.696","","0.0049","","0.00321","","","","","","","","","","0.769","2.21","","1.618","0.541","0.193","0.679","","0.716","","0.414","","0.393","0.0588","0.2905","0.0459","","0.0000217","0.001965","0.00178","0.00321","","","","","","0.0806","0.0175","0.512484","","","","","","","","","","","","","","0.1067","","0.057","0.282392","","","","","","","101754-BV13",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9897","-25.9897","30.863","30.863","SUBAERIAL","","","s BV14 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","45","0.334","","3.21","","","","12.15","4.9","31.7","0.212","","0.005","0.2","0.03","","","","","","","","","","","","","","","","7.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00675","","0.0042","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0002745","0.00161","0.00169","0.00401","","","","","","","","","","","","","","","","","","","","","","0.14461","","0.8216","","","","","","","","101755-BV14",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9895","-25.9895","30.8631","30.8631","SUBAERIAL","","","s BV15 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","44.2","0.258","","2.51","","","","10.08","4.23","36.7","0.177","","0.005","0.17","0.021","","","","","","","","","","","","","","","","7.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","87","1716","","","110","2321","","53","2.62","","","","","","","4.07","11","0.706","","0.00436","","0.00349","","","","","","","","","","0.717","2.13","","1.599","0.5524","0.249","0.743","","0.798","","0.465","","0.438","0.06189","0.3243","0.0465","","0.0000461","0.003333","0.00309","0.0034","","","","","","0.0598","0.0135","0.512641","","","","","","","","","","","0.00131","0.1198344","","0.108","","0.0812","0.282399","","","","","","","101756-BV15",
"[17165][18098]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION","","-25.9894","-25.9894","30.8631","30.8631","SUBAERIAL","","","s BV16 [17165]","KOMATIITE [17165]","3480000000 [17165]","3480000000 [17165]","PALEO [17165]","ARCHEAN [17165]","","","","CUMULATE [17165] / OLIVINE-CUMULATE [18098] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [17165] ","44.8","0.275","","2.67","","","","10.53","4.63","34.9","0.167","","0.022","0.17","0.032","","","","","","","","","","","","","","","","7.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","","96","1889","","","108","2175","","50.7","2.9","","","","","","","4.66","11.2","0.799","","0.00436","","0.00379","","","","","","","","","","0.831","2.45","","1.876","0.634","0.263","0.859","","0.925","","0.543","","0.506","0.06716","0.3559","0.0533","","0.000179","0.002603","0.0025","0.00381","","","","","","0.0706","0.0157","0.512635","","","","","","","","","","","0.001307","0.1198343","","0.125851","","0.3555","0.282366","","","","","","","101757-BV16",
