"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / LESOTHO / NE LESOTHO KIMBERLITE CLUSTER / MARAKABEI DIKE","","-29.55","-29.55","28.14","28.14","SUBAERIAL","","","s 1 [19971]","KIMBERLITE [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","16.97","2.17","","1.66","","11.29","1.43","","28.71","9.47","0.13","","0.56","29","0.14","","3.13","3.68","","20.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001339",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / WESSELTON KIMBERLITE","WESSELTON PIPE","-28.766","-28.766","24.83","24.83","SUBAERIAL","","","s S30 [19971]","KIMBERLITE [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","30.45","1.69","","2.91","0.26","6.08","3.14","","9.44","29.5","0.17","","1.58","0.46","0.93","","6.37","1.42","","5.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001340",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / WESSELTON KIMBERLITE","WESSELTON PIPE","-28.766","-28.766","24.83","24.83","SUBAERIAL","","","s S30_APHANITIC [19971]","KIMBERLITE [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","24.99","2.69","","4.38","0.41","7.12","3.01","","15.63","24.76","0.24","","1.08","0.87","1.3","","6.47","1.3","","5.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001341",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BENFONTEIN KIMBERLITE","","-28.817","-28.817","24.817","24.817","SUBAERIAL","","","s S8 [19971]","KIMBERLITE [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","28.63","1.07","","","","6.03","5.38","","11.92","34.02","0.14","","0.05","0.2","0.27","","2.75","0.23","","8.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001343",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BENFONTEIN KIMBERLITE","","-28.817","-28.817","24.817","24.817","SUBAERIAL","","","s S5 [19971]","NOT GIVEN [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","3.17","10.98","","9.21","","18.78","11.04","","16.49","14.99","0.22","","0","0.04","1.67","","1.9","0.23","","10.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001344",
"[19971]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BENFONTEIN KIMBERLITE","","-28.817","-28.817","24.817","24.817","SUBAERIAL","","","s S3 [19971]","NOT GIVEN [19971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19971] ","0.52","0.1","","0.48","","1.3","0.61","","44.07","8.87","0.19","","0","0.41","1.42","","0.36","0.03","","41.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001345",
"[10452][19549]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / ZOUT EN ZUUR DIKE","BOSHOF DISTRICT","-28.55","-28.55","25.23","25.23","SUBAERIAL","","","s BD1088 [10452] / s 1088 [19549]","KIMBERLITE [10452]","","","","MESOZOIC [10452]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10452] ","36.53","1.58","","4.72","0","1.94","3.86","","17.4","11.81","0.61","","3.98","0.25","0.48","","0.91","0.38","","13.3","","0","","","","","","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","1212","","","","799","30","115","","","","","","142","647","25","189","100","","","","","","","","","","","","","1445","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","100201-1088",
"[10452]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / SWARTRUGGENS KIMBERLITE PROVINCE / HELAM MAIN DIKE","MAIN DIKE, HELAM MINE","-25.592","-25.592","26.653","26.653","SUBAERIAL","","","s BD1268 [10452]","KIMBERLITE [10452]","","","","MESOZOIC [10452]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10452] ","38.66","1.72","","4.89","","4.16","4.58","","5.49","29.82","0.16","","5.24","0.17","1.61","","4","3.18","","2.77","","0.03","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","1266","","","","768","46","87","","","","","","257","836","35","400","156","","","","","","","","","","","","","3456","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","100203-BD1268",
"[10452]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / SWARTRUGGENS KIMBERLITE PROVINCE / MALE DIKE","HELAM MINE","-25.592","-25.592","26.653","26.653","SUBAERIAL","","","s BD1269 [10452]","LAMPROPHYRE, SANIDINE-LEUCITE [10452]","","","","MESOZOIC [10452]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [10452] ","42.82","1.46","","5.23","","6.42","3.62","","8.34","18.7","0.15","","1.58","1.1","0.75","","4.59","4.6","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100244-BD1269",
"[18224]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_MESOZOIC / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BULTFONTEIN KIMBERLITE","BULTFONTEIN MINE","-28.7689","-28.7689","24.7917","24.7917","SUBAERIAL","","","s AJE 25 [18224]","LHERZOLITE, GARNET, XENOLITH [18224]","","","","","","","","COARSE [18224] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [18224] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","37","","","","","","","","","","","","","","","","","","","","2.37","0.394","","","","","","","","","","","","","","","","","","","","","","","","0.512638","","","0.70475","","","","","","","","","","","","","","","","","","","","","1014108",
