"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19973]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD COMPLEX","BUSHVELD IGNEOUS COMPLEX, WILDEBEESTKRAL","-25.75","-25.75","28.2","28.2","SUBAERIAL","","","s CO113 [19973]","NOT GIVEN [19973]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19973] ","","","","","1.339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00778","0.00268","0.01032","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00213","0.00199","0.01956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001370",
"[19973]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD COMPLEX","BUSHVELD IGNEOUS COMPLEX, WIMBLEDON","-25.75","-25.75","28.2","28.2","SUBAERIAL","","","s DI326 [19973]","NOT GIVEN [19973]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19973] ","","","","","0.963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00789","0.00235","0.01246","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0023","0.00249","0.01598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001371",
"[19973]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD COMPLEX","BUSHVELD IGNEOUS COMPLEX, BUSHVELD LOWER GROUP 6 LAYER","-25.75","-25.75","28.2","28.2","SUBAERIAL","","","s BC-13 [19973]","CHROMITITE [19973]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19973] ","","","","","21.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5817","0.1198","0.3218","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0759","0.0676","0.1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001372",
"[19973]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD COMPLEX","BUSHVELD IGNEOUS COMPLEX, BUSHVELD LOWER GROUP 2 LAYER","-25.75","-25.75","28.2","28.2","SUBAERIAL","","","s BC-16 [19973]","CHROMITITE [19973]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19973] ","","","","","27.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3165","0.7357","3.5005","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1638","0.2338","2.1021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001373",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE","PREMIER MINE","-25.674","-25.674","28.15","28.15","SUBAERIAL","","","s FRB1302 [19840]","PERIDOTITE, GARNET, XENOLITH [19840]","","","","","","","","","MANTLE XENOLITH","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000552","0.00391","","","","","","","","","","","","","","","","","","","","","","","","0.11088","","0.0679","","","","","","","","1017149",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE","PREMIER MINE","-25.674","-25.674","28.15","28.15","SUBAERIAL","","","s FRB1323 [19840]","PERIDOTITE, XENOLITH [19840]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000748","0.00341","","","","","","","","","","","","","","","","","","","","","","","","0.11522","","0.1054","","","","","","","","1017150",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE","PREMIER MINE","-25.674","-25.674","28.15","28.15","SUBAERIAL","","","s PHN5252 [19840]","LHERZOLITE, GARNET, XENOLITH [19840]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000346","0.00317","","","","","","","","","","","","","","","","","","","","","","","","0.1094","","0.0511","","","","","","","","1017152",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE","PREMIER MINE","-25.674","-25.674","28.15","28.15","SUBAERIAL","","","s PHN5268 [19840]","HARZBURGITE, GARNET, XENOLITH [19840]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000462","0.00484","","","","","","","","","","","","","","","","","","","","","","","","0.11046","","0.0459","","","","","","","","1017153",
"[17853]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / SPITSKOP COMPLEX","","-25.88","-25.88","28.93","28.93","SUBAERIAL","","","s A [17853]","UMPTEKTITE [17853]","","","","PROTEROZOIC [17853]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17853] ","62.2","0.25","","16.97","","4.63","1.15","","0.78","0.46","0.04","","3.83","8.4","0.02","","0.49","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1047162",
"[17853]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / SPITSKOP COMPLEX","","-25.88","-25.88","28.93","28.93","SUBAERIAL","","","s B [17853]","SYENITE, QUARTZ [17853]","","","","PROTEROZOIC [17853]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17853] ","64.8","0.25","","15.35","","3.36","2.01","","1.68","0.58","0.09","","3.37","8.04","0.03","","0.5","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1047163",
