"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, SUMMIT","55.8219","55.8219","160.2363","160.2363","SUBAERIAL","3076","3076","s TOL-12-01 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","49.684","1.243","","16.292","","","","9.88","9.331","5.446","0.156","","1.368","2.906","0.387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.629578","","","","55.0261726","159.328857","90.2034607","","","","","","39.3268661","397.421692","30.1073971","172.986938","4.35113811","","","","","","0.121439874","","1.37416446","","","","1.11853468","383.858612","13.7542906","33.660347","4.89332294","23.6725292","5.94177866","1.74680853","6.2503953","0.930583358","5.6638217","0.993851006","3.12952232","0.529990077","3.2967","0.506940603","4.04827356","0.306222171","","","","","","","","","4.71141481","","1.56039965","0.99582684","","","","","","","","","","","","","","","","","","","","","","","","","1002046",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, SUMMIT","55.81992","55.81992","160.392","160.392","SUBAERIAL","3083","3083","s TOL-12-02 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.437","1.328","","17.051","","","","9.35","9.144","4.771","0.136","","1.524","3.202","0.414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.968681","","","","47.4891281","170.375198","86.6092148","","","","","","42.229248","383.035675","29.9786911","187.752106","4.78117132","","","","","","0.125656858","","1.23892355","","","","1.32486069","456.180817","14.7684898","35.9981384","5.16431808","24.628561","6.13905048","1.81087124","6.42678785","0.957444489","5.79786921","1.01902044","3.20957875","0.545596838","3.38524032","0.521601021","4.42356539","0.34462136","","","","","","","","","5.37794161","","1.75180805","1.11983669","","","","","","","","","","","","","","","","","","","","","","","","","1002047",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, UPPER PART OF LAVA","55.81042","55.81042","160.36475","160.36475","SUBAERIAL","2622","2622","s TOL-12-03 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.88","1.384","","16.976","","","","9.69","8.533","4.588","0.153","","1.786","3.281","0.482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.395943","","","","40.9640198","186.258102","99.9036789","","","","","","52.1166801","496.97998","34.68713","215.409454","5.57096338","","","","","","0.145770833","","1.72144449","","","","1.42743683","540.31842","16.4527664","39.617466","5.58761501","26.5011463","6.58866072","1.90710366","6.95328569","1.02904212","6.27203798","1.10027015","3.47742963","0.587632895","3.65626431","0.565124333","4.7169795","0.353370488","","","","","","","","","6.21990061","","1.86944258","1.18230844","","","","","","","","","","","","","","","","","","","","","","","","","1002048",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, SUMMIT","55.816","55.816","160.38636","160.38636","SUBAERIAL","3054","3054","s TOL-12-04 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.845","1.913","","16.231","","","","10.11","7.915","3.535","0.154","","2.18","3.498","0.647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6220112","","","","22.1137924","260.660431","119.557777","","","","","","66.3456879","333.83844","43.2471924","303.98642","6.59831524","","","","","","0.157715604","","1.37183666","","","","1.99660647","614.444519","20.6772156","50.9606056","7.17164278","34.1025314","8.419981","2.35980129","8.76755428","1.30320513","7.95614815","1.3923794","4.39279556","0.745852172","4.63136387","0.717250466","6.67705822","0.393347412","","","","","","","","","7.86142588","","2.64327741","1.66196752","","","","","","","","","","","","","","","","","","","","","","","","","1002049",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, SUMMIT","55.8155","55.8155","160.38128","160.38128","SUBAERIAL","3028","3028","s TOL-12-05 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.698","1.735","","16.752","","","","10.03","8.371","4.252","0.167","","2.005","3.426","0.595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.69070075","","","","39.3800049","241.5487975","100.7072489","","","","","","54.7573452","326.3951265","39.1668091","210.8601915","4.95327711","","","","","","0.137658365","","1.178857205","","","","1.79496324","581.5531615","20.08624555","49.56500625","6.93296766","32.9153366","8.18017197","2.28138709","8.702723025","1.277183835","7.66094136","1.32934493","4.197939395","0.7033098635","4.34199047","0.662136495","4.95673561","0.2667554915","","","","","","","","","6.998702525","","2.243855835","1.46874893","","","","","","","","","","","","","","","","","","","","","","","","","1002050",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, BOMB ON SUMMIT","55.8161","55.8161","160.37236","160.37236","SUBAERIAL","2905","2905","s TOL-12-18 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.369","1.598","","15.973","","","","10.19","8.789","5.263","0.164","","1.748","3.004","0.531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.564453","","","","38.9505424","175.887238","100.139069","","","","","","53.1842766","366.73288","38.3492241","233.592224","5.95913744","","","","","","0.150326446","","1.3215698","","","","1.49635851","434.399139","16.3776398","40.6156273","5.72839308","27.4751911","6.90315151","1.92509317","7.29761982","1.09656751","6.772439","1.19265842","3.77507734","0.641682982","3.96048641","0.60695827","4.91383934","0.389780074","","","","","","","","","5.06568718","","1.80372477","1.16234136","","","","","","","","","","","","","","","","","","","","","","","","","1002051",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK","55.80664","55.80664","160.37703","160.37703","SUBAERIAL","2632","2632","s TOL-12-11 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","49.957","1.511","","16.647","","","","9.49","8.547","4.79","0.16","","1.797","3.217","0.508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8577118","","","","36.2423439","141.785019","93.1561356","","","","","","49.2258949","370.923309","35.1859322","216.879929","5.53071642","","","","","","0.141050607","","1.66554081","","","","1.41948879","472.454346","16.5067806","40.6314545","5.72383785","27.2808552","6.85935974","1.96045387","7.17881966","1.0623455","6.42087507","1.12650895","3.55294394","0.602681458","3.7369802","0.575508058","4.7361517","0.358214259","","","","","","","","","5.34633923","","1.86163032","1.17984688","","","","","","","","","","","","","","","","","","","","","","","","","1002052",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, CRATER CONE, BOTTOM","55.81372","55.81372","160.37586","160.37586","SUBAERIAL","2864","2864","s TOL-12-12 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.929","1.415","","18.31","","","","8.76","8.507","3.676","0.132","","1.798","3.439","0.495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2746124","","","","23.7788982","113.45443","87.3843994","","","","","","48.5568581","407.752258","32.1146088","213.665085","5.64355707","","","","","","0.126143023","","1.23519397","","","","1.43745506","485.386017","15.8887415","38.432106","5.33633947","25.2947388","6.23527336","1.82907414","6.4452076","0.953459203","5.75607204","1.00781178","3.18047428","0.539786935","3.35076308","0.5166291","4.52162695","0.368455678","","","","","","","","","5.35225534","","1.90436196","1.18319571","","","","","","","","","","","","","","","","","","","","","","","","","1002053",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, CRATER CONE","55.81406","55.81406","160.37603","160.37603","SUBAERIAL","2879","2879","s TOL-12-13 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","50.406","1.531","","16.561","","","","9.88","8.558","4.828","0.152","","1.818","3.219","0.513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002054",
"[19963]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / TOLBACHIK / PACIFIC OCEAN","CENTRAL KAMCHATKA DEPRESSION, PLOSKY TOLBACHIK, CRATER CONE","55.81406","55.81406","160.37602","160.37602","SUBAERIAL","2970","2970","s TOL-12-14 [19963]","BASALT [19963]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [19963] ","51.185","1.544","","16.586","","","","9.88","8.475","4.683","0.161","","1.868","3.199","0.576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6122932","","","","31.0114326","141.182892","103.871201","","","","","","58.2357178","370.132965","39.126194","254.540237","6.72426414","","","","","","0.144431204","","1.60634649","","","","1.60305858","458.134613","17.5034866","42.6769638","5.98107386","28.498764","7.08682108","1.93160546","7.37617159","1.09479654","6.62210464","1.15524518","3.63862967","0.616458118","3.80788636","0.585860372","5.15303326","0.425570399","","","","","","","","","5.83642101","","2.10404086","1.30552375","","","","","","","","","","","","","","","","","","","","","","","","","1002055",
