"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17729]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s PB24 [17729]","CARBONATITE, ANKERITE [17729]","","","","CRETACEOUS [17729]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17729] ","3.23","0.01","","0.69","","","","17.52","27.36","8.05","2.16","","0.01","0.42","0.02","","","","","","","","","","","","","","","","37.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","","27","27","","","","37","8","101","7.8","","","","","0.22","5105","28.5","0.98","15.2","","","","","","","","","","","","","146","44.1","101","12.3","47.3","8.79","2.85","7.38","1.06","5.68","1.02","2.66","0.41","2.48","0.38","0.1","0.03","","","","","","","","","16.6","","0.65","0.05","0.512079","","","0.70327","","16.47","","15.4","","36.14","","","","","","","","","","","","","","","760325",
"[17729]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s PB24A [17729]","CARBONATITE, ANKERITE [17729]","","","","CRETACEOUS [17729]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17729] ","2.99","0.01","","0.67","","","","17.36","27.58","8.11","2.23","","0","0.47","0.01","","","","","","","","","","","","","","","","37.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760326",
"[17729]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s PB27 [17729]","NOT GIVEN [17729]","","","","CRETACEOUS [17729]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17729] ","10.37","0.02","","2.78","","","","15.79","24.04","7.5","1.97","","0.01","1.68","0.03","","","","","","","","","","","","","","","","33.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","","37","58","","","","40","2.5","149","8.6","","","","","0.49","6085","44.1","3.2","120","","","","","","","","","","","","","185","55","123","16","61.4","11.65","4.06","10.03","1.6","8.37","1.63","4","0.69","4.04","0.66","0.11","0.05","","","","","","","","","19.6","","1.99","0.27","","","","","","","","","","","","","","","","","","","","","","","","","760327",
"[17729]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s PB28 [17729]","CARBONATITE, ANKERITE [17729]","","","","CRETACEOUS [17729]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17729] ","18.33","0.18","","5.42","","","","16.52","19.33","6.15","1.72","","0.04","3.19","0.03","","","","","","","","","","","","","","","","26.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","","69","38","","","","27","7.1","164","13.3","","","","","0.44","4487","36.5","2.79","136","","","","","","","","","","","","","169","129","214","23.6","79","11.88","3.69","9.27","1.37","7.15","1.34","3.33","0.57","3.21","0.52","0.09","0.18","","","","","","","","","18.9","","4.39","0.19","","","","","","","","","","","","","","","","","","","","","","","","","760328",
"[17729]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s PB29 [17729]","CARBONATITE, ANKERITE [17729]","","","","CRETACEOUS [17729]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17729] ","3.14","0.01","","0.27","","","","17.27","26.96","8.43","2.24","","0.01","0.24","0.02","","","","","","","","","","","","","","","","38.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","","25","17","","","","39","3.1","205","5.9","","","","","0.18","5062","38.8","2.08","22.3","","","","","","","","","","","","","156","55.1","126","16.1","60.7","11.43","3.71","9.65","1.43","7.46","1.4","3.52","0.57","3.43","0.52","0.1","0.06","","","","","","","","","20.4","","0.51","0.02","0.512053","","","0.70332","","16.32","","15.42","","36.11","","","","","","","","","","","","","","","760329",
"[18150]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s KU-98-231 [18150]","ANORTHOSITE [18150]","","","","CRETACEOUS [18150]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18150] ","49.54","0.09","","26.29","","1.09","2.64","","11.7","4.85","0.05","","0.19","3.25","0.01","","","","","","","","","","","","","","","0.02","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","17","17","","","45","139","","16","17","","","","","0","472","0","0","0","0","","","","","","","0","","","","","112","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","783719",
"[18150]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s KU-98-77 [18150]","ANORTHOSITE [18150]","","","","CRETACEOUS [18150]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18150] ","45.48","1.69","","21.65","","2.52","6.57","","7.63","4.22","0.09","","0.52","4.23","0.02","","","","","","","","","","","","","","","0.02","4.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","154","54","","","50","92","","77","17","","","","","5","634","0","17","0","0","","","","","","","0","","","","","385","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","783720",
"[18150]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s KU-97-3C [18150]","ANORTHOSITE [18150]","","","","CRETACEOUS [18150]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18150] ","47","1.88","","22.37","","2.1","6.09","","7.19","3.14","0.16","","1.63","4.34","0.06","","","","","","","","","","","","","","","0.09","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","193","32","","","59","84","","91","0","","","","","34","740","8","46","5","0","","","","","","","0","","","","","829","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","783721",
"[18150]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s KU-98-71 [18150]","ANORTHOSITE [18150]","","","","CRETACEOUS [18150]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18150] ","42.61","1.46","","20.38","","2.72","5.36","","7.66","3.46","0.09","","0.42","7.72","0.06","","","","","","","","","","","","","","","0.02","7.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","178","37","","","43","75","","65","21","","","","","0","600","0","34","0","0","","","","","","","0","","","","","434","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","783722",
"[18150]","INTRAPLATE VOLCANICS","KASAI SHIELD_MESOZOIC / NAMIBIA / SWAARTBOOISDRIF CARBONATITE","SWAARTBOOISDRIF MINE","-17.3406","-17.3406","13.7832","13.7832","SUBAERIAL","","","s KU-98-40 [18150]","SYENITE, QUARTZ [18150]","","","","CRETACEOUS [18150]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18150] ","65.8","0.25","","16.44","","1.87","1.02","","2","0.3","0.05","","4.33","6.07","0.05","0.3","","","","0.65","","","","","","","","","","0","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","138","0","","62","31","","","","","116","201","79","694","55","0","","","","","","","0","","","","","1448","0","150","0","70","","","","","","","","","","","","","","","","","","","","","29","","13","0","","","","","","","","","","","","","","","","","","","","","","","","","783723",
