"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUN1 [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","32.84","1.78","","2.4","","10.85","","","5.37","35.8","0.22","","0.24","0","0.46","8.86","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6","","","1700","","","98","","","","","","","","","36.5","405","","","","","","","","","","","","","","","","1271","114","205","","66","7.1","1.74","","0.44","","","","","0.48","","2.71","13.8","","","","","","","","","","","15.9","3.1","","","","0.70455","","","","","","","","","","","","","","","","","","","","","788144",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUN2 [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","42.51","1.15","","2.82","","7.6","","","3.76","25.65","0.12","","0.71","0.5","0.18","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","1077","","","77","","","","","","","","","36.8","249","","","","","","","","","","","","","","","","403","35.4","63","","24","3.15","0.84","","0.23","","","","","0.34","","1.73","6.6","","","","","","","","","","","5.4","1.2","","","","0.70828","","","","","","","","","","","","","","","","","","","","","788145",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUN15C [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","29","1.74","","1.85","","10.83","","","8.41","34.51","0.21","","0.51","0","0.41","9.67","","","","2.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","","","1729","","","93","","","","","","","","","34.9","481","","","","","","","","","","","","","","","","653","104","194","","65","7.1","1.75","","0.42","","","","","0.32","","2.8","13.4","","","","","","","","","","","14.1","2.8","","","","0.70395","","","","","","","","","","","","","","","","","","","","","788146",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUNM1 [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","29.63","2.92","","3.3","","11.54","","","8.02","29.28","0.23","","0.02","0","0.69","10.75","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","1411","","","88","","","","","","","","","3.8","389","","","","","","","","","","","","","","","","1524","133","241","","79","9.1","2.33","","0.61","","","","","0.49","","3.38","15.3","","","","","","","","","","","19.1","7.3","","","","0.70404","","","","","","","","","","","","","","","","","","","","","788147",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUNM2 [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","31.25","2.58","","3.01","","10.82","","","6.22","30.67","0.2","","","0","0.63","11.15","","","","3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","1322","","","89","","","","","","","","","4.8","408","","","","","","","","","","","","","","","","201","104","185","","63","7.1","1.82","","0.49","","","","","0.5","","2.82","13.1","","","","","","","","","","","14.7","3","","","","0.70447","","","","","","","","","","","","","","","","","","","","","788148",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUN15D [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8","677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70435","","","","","","","","","","","","","","","","","","","","","788165",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s KUNM3 [14164]","KIMBERLITE [14164]","","","","MESOZOIC [14164]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70463","","","","","","","","","","","","","","","","","","","","","788166",
"[14164]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KUNDELUNGU KIMBERLITE CLUSTER","","-10.17","-10.17","28","28","SUBAERIAL","","","s DIOPSIDE [14164]","MEGACRYST, CLINOPYROXENE, XENOLITH [14164]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [14164] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7034","","","","","","","","","","","","","","","","","","","","","788167",
"[5876]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KATANGAN AULACOGEN","KIBAMBALE","-8.97","-8.97","27.47","27.47","SUBAERIAL","","","s K20 [5876]","DOLERITE [5876]","","","NEO [5876]","PROTEROZOIC [5876]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5876] ","49.22","1.66","","13.65","","2.2","9.33","","10.18","8.7","0.2","","0.44","2.07","0.16","","","","","","","","","","","","","","","","1.55","","","","","","","","","","","","","","21","","","","","","","","","","","","","","53","","315","180","","","47","136","150","109","","","","","","8","308","25","98","6","","","","","","","","","","","","","163","","34","","7.7","3.9","2.5","8.8","","3.9","","","","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932157",
"[5876]","INTRAPLATE VOLCANICS","KATANGAN BASIN / D. R. CONGO / KATANGAN AULACOGEN","KIBAMBALE","-8.97","-8.97","27.47","27.47","SUBAERIAL","","","s K56 [5876]","DOLERITE [5876]","","","NEO [5876]","PROTEROZOIC [5876]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5876] ","51.13","1.58","","14.15","","2.06","8.94","","7.29","6.09","0.18","","1.39","4.2","0.17","","","","","","","","","","","","","","","","1.84","","","","","","","","","","","","","","48","","","","","","","","","","","","","","47","","512","121","","","42","88","142","103","","","","","","31","540","30","139","5","","","","","","","","","","","","","430","","47","","17.6","6.7","2.5","8.5","","4.5","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932158",
