"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN","JEANNE D^ARC PENINSULA","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s GM92-412 [4681]","GRANULITE, 2 PYROXENE [4681]","","","","","","","","CUMULATE [4681] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [4681] ","44.9","0.06","","25.66","","","3.96","","13.16","10.31","0.05","","0.08","1.45","0.02","","0.37","0.15","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15","521","22.6","730","","","43","300","15","15.5","","","","","","1.47","274","1.18","1.65","0.114","","","","","","","","","","","","","26.6","0.47","0.83","0.122","0.57","0.15","0.145","0.18","","0.174","0.037","0.11","","0.09","0.01","","0.007","","","","","","","","","0.1","","0.016","0.003","","","","","","","","","","","","","","","","","","","","","","","","","106500",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN","COURBET PENINSULA, VAL STUDER","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s OB93-57 [4681]","GRANULITE, 2 PYROXENE [4681]","","","","","","","","CUMULATE [4681] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [4681] ","49.3","0.35","","16.95","","","5.81","","14.48","10.33","0.1","","0.05","1.85","0.02","","0.62","0.12","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1","2200","185","480","","","43","170","4","30.8","","","","","","0.49","164","6.93","7.01","0.103","","","","","","","","","","","","","10.7","0.52","1.57","0.294","1.71","0.72","0.424","0.96","","1.178","0.255","0.7","","0.62","0.09","","0.014","","","","","","","","","0.131","","0.02","0.003","","","","","","","","","","","","","","","","","","","","","","","","","106501",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN","JEANNE D^ARC PENINSULA","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s GM92-347 [4681]","GRANULITE, GARNET-2 PYROXENE [4681]","","","","","","","","CUMULATE [4681] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [4681] ","44.8","0.04","","23.35","","","5.25","","11.85","13.3","0.07","","0.07","1.06","0.02","","0.57","0.16","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","308","9.8","505","","","52","430","5.95","21.3","","","","","","2.77","156","0.83","2.15","0.514","","","","","","","","","","","","","17.4","0.86","1.528","0.187","0.71","0.14","0.158","0.14","","0.133","0.028","0.08","","0.08","0.01","","0.038","","","","","","","","","0.22","","0.057","0.032","","","","","","","","","","","","","","","","","","","","","","","","","106502",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN","JEANNE D^ARC PENINSULA","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s GM92-394 [4681]","GRANULITE, GARNET-2 PYROXENE [4681]","","","","","","","","CUMULATE [4681] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [4681] ","49.1","0.83","","16.8","","","6.71","","11.57","11.1","0.12","","0.16","2.69","0.04","","1.31","0.31","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","4900","250","840","","","42","250","21.7","35","","","","","","5.32","224","13.5","17.4","1.5","","","","","","","","","","","","","47.4","2.05","4.68","0.651","3.46","1.41","0.719","2","","2.325","0.496","1.37","","1.17","0.17","","0.094","","","","","","","","","0.231","","0.176","0.101","","","","","","","","","","","","","","","","","","","","","","","","","106503",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN","RONARC^H PENINSULA, VAL PHONOLITE","-48.55","-49.75","68.5","70.58","SUBAERIAL","150","150","s GM92-165 [4681]","PYROXENITE, GARNET, XENOLITH [4681]","","","","","","","","CUMULATE [4681] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [4681] ","46.2","1.95","","10.46","","","9.23","","16.91","12.42","0.16","","0.12","1.65","0.04","","0.69","0.06","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3","12500","375","270","","","47","135","26.6","56","","","","","","3.7","120","26.7","81","5.09","","","","","","","","","","","","","18","7.4","18.9","3.13","16.3","5","1.75","5.5","","4.92","0.96","2.45","","1.86","0.25","","0.37","","","","","","","","","0.77","","1.64","0.64","","","","","","","","","","","","","","","","","","","","","","","","","106504",
"[4681]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN","JEANNE D^ARC PENINSULA","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s GM92-390 [4681]","GRANULITE, GARNET-2 PYROXENE [4681]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [4681] ","45.3","2.26","","14.25","","","12.91","","12.58","8.41","0.24","","0.14","2.42","0.05","","1.13","0.25","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8","12100","400","300","","","52","90","56.6","160","","","","","","6.79","149","28.3","42","2.04","","","","","","","","","","","","","21.5","1.32","5.6","1.34","8.5","3.32","1.239","4.2","","4.948","1.049","2.97","","2.54","0.37","","0.146","","","","","","","","","0.307","","0.053","0.024","","","","","","","","","","","","","","","","","","","","","","","","","106505",
"[5216]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN","","-48.55","-49.75","68.5","70.58","SUBAERIAL","","","s KER-15223 [5216]","BASALT [5216]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5216] ","44.58","1.92","","13.88","","12.21","8.77","","9.4","7.99","0.17","","1.29","1.84","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","","","","","","","253","","","","","","","","","","","184.53","","","","","","","","","","","","","","","34.9","70.5","","","5.72","1.89","","","","","","","","","4.201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116191",
"[5177]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN","LORANCHET PENINSULA","-48.87","-48.87","68.96","68.96","SUBAERIAL","490","490","s BY96-25 [5177]","BASALT [5177]","","","","","","","","OLIVINE PHYRIC, SUBOPHITIC GROUNDMASS [5177] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [5177] ","46.86","1.87","","14.34","","","","11.62","9.87","10.64","0.19","","0.84","2.06","0.26","","","","","","","","","","","","","","","","2.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204","424","","","","198","","90","16","","","","","17.2","357","19.2","114","14.5","","","","","","","","","","","","0.06","320","13.68","30.78","","17.49","3.94","1.34","","0.66","","","","","1.76","0.26","2.67","0.93","","","","","","","","","1.1","","1.36","0.24","0.512647","","","0.705031","","18.284","","15.535","","38.81","","","","","","","","","","","","","","","116941",
"[5177]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN","LORANCHET PENINSULA","-48.87","-48.87","68.96","68.96","SUBAERIAL","480","480","s BY96-26 [5177]","BASALT [5177]","","","","","","","","OLIVINE PHYRIC, DOLERITIC GROUNDMASS [5177] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5177] ","47.13","2.13","","15.35","","","","11.28","10.78","7.8","0.17","","0.79","2.25","0.31","","","","","","","","","","","","","","","","3.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","331","","","","127","","98","19","","","","","16.6","389","21.7","135","17.9","","","","","","","","","","","","","274","19","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116942",
"[5177]","OCEAN ISLAND","KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN","LORANCHET PENINSULA","-48.87","-48.87","68.96","68.96","SUBAERIAL","442","442","s BY96-29 [5177]","BASALT [5177]","","","","","","","","OLIVINE PHYRIC, DOLERITIC GROUNDMASS [5177] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [5177] ","46.66","1.88","","13.96","","","","11.62","10.23","11.54","0.19","","0.67","1.76","0.29","","","","","","","","","","","","","","","","2.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194","440","","","","233","","95","17","","","","","13.4","374","19.1","117","15.7","","","","","","","","","","","","","264","16","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116944",
