"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-26R-1,3-4 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.86","1.52","","14.98","","","","11.69","12.29","7.59","0.21","","0.17","2.68","0.12","0.25","","","","","","","","","","","","","","0.134","","","","","","","","","","","","","","","","","","","55","","","","","","","42","","","","","418","491","","","","","","","","","","","","","131","35","93","3.5","","","","","","","","","","","","","36","3.6","11","","9.8","3.5","1.2","","","5.4","","3.1","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117047",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-26R-1,85 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.69","1.53","","14.87","","","","11.8","12.32","7.63","0.2","","0.16","2.68","0.09","0.23","","","","","","","","","","","","","","0.128","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","420","494","","","","","","","","","","","","","135","35","93","3.4","","","","","","","","","","","","","37","3.5","11","","9.8","3.8","1.4","","","4.9","","2.8","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117048",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-26R-2,89 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.71","1.5","","14.97","","","","11.7","12.43","7.64","0.2","","0.16","2.7","0.12","0.24","","","","","","","","","","","","","","0.142","","","","","","","","","","","","","","","","","","","48","","","","","","","","","","","","422","491","","","","","","","","","","","","","133","35","92","3.7","","","","","","","","","","","","","37","3.6","12","","9.1","3.1","1.3","","","5.1","","3","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117049",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-27R-1,70 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.92","1.58","","15.08","","","","11.67","12.32","7.56","0.21","","0.18","2.66","0.11","0.26","","","","","","","","","","","","","","0.124","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","417","497","","","","","","","","","","","","","132","35","84","3","","","","","","","","","","","","","35","3.6","11","","9.5","3","1.4","","","5","","3.1","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117050",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-27R-4,126 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.79","1.51","","14.96","","","","11.78","12.31","7.66","0.21","","0.16","2.73","0.11","0.23","","","","","","","","","","","","","","0.125","","","","","","","","","","","","","","","","","","","42","","","","","","","48","","","","","419","498","","","","","","","","","","","","","133","35","92","3.5","","","","","","","","","","","","","36","3.7","11","","9.7","3.2","1.2","","","4.6","","3","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117051",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-27R-5,69 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.63","1.42","","14.98","","","","11.78","12.41","7.58","0.19","","0.17","2.62","0.11","0.26","","","","","","","","","","","","","","0.128","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","427","505","","","","","","","","","","","","","136","36","93","3.6","","","","","","","","","","","","","38","3.8","12","","9.3","3.1","1.3","","","5","","2.8","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117052",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-28R-1,140 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.74","1.54","","14.91","","","","11.69","12.34","7.56","0.21","","0.17","2.66","0.13","0.25","","","","","","","","","","","","","","0.137","","","","","","","","","","","","","","","","","","","45","","","","","","","50","","","","","405","478","","","","","","","","","","","","","125","33","79","2.7","","","","","","","","","","","","","32","3.5","11","","9.2","3.1","1.3","","","5.1","","2.9","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117053",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-28R-2,35 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.72","1.55","","14.86","","","","11.59","12.2","7.54","0.18","","0.17","2.74","0.11","","","","","","","","","","","","","","","0.124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406","479","","","","","","","","","","","","","128","34","86","3.1","","","","","","","","","","","","","35","3.7","11","","9.9","3.3","1.4","","","5.1","","3.7","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117054",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-28R-3,86 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","48.86","1.54","","14.88","","","","11.86","12.31","7.55","0.2","","0.17","2.7","0.13","0.26","","","","","","","","","","","","","","0.137","","","","","","","","","","","","","","","","","","","48","","","","","","","46","","","","","428","495","","","","","","","","","","","","","135","36","93","3.8","","","","","","","","","","","","","37","3.5","12","","9.5","2.9","1.1","","","4.7","","2.6","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117055",
"[5175]","OCEANIC PLATEAU","KERGUELEN PLATEAU / NORTHERN KERGUELEN PLATEAU / SITE 1140 / INDIAN OCEAN","HOLE 1140A","-46.26","-46.26","68.4917","68.4917","SUBAQUATIC","-2394.1","-2394.1","s 183-1140A-31R-1,37 [5175]","THOLEIITE [5175]","","","","CRETACEOUS [5175]","","","","APHYRIC [5175] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5175] ","49.58","3.16","","13.02","","","","14.57","9.79","5.1","0.24","","0.66","2.75","0.33","0.43","","","","","","","","","","","","","","0.151","","","","","","","","","","","","","","","","","","","34","","","","","","","146","","","","","491","66","","","","","","","","","","","","","238","44","207","15.9","","","","","","","","","","","","","136","15.5","43","","24.9","6.3","2.4","","","6.5","","3.9","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117056",
