"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46325 [13460]","BASALT [13460]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","51.67","1.02","","15.34","","2.17","10.87","","10.29","4.95","0.23","","0.33","1.8","0.1","","","0.1","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1","","424","19.6","","","34.1","17.7","178.6","67.1","11.6","0.57","","","","","141.7","20","30.7","0.53","","","","","","","","","","","","0.2","95.4","2.49","7","1.18","6.26","2.17","0.81","3.05","0.46","3.41","0.77","2.07","0.39","2.51","0.33","1.2","0.04","","","","","","","","","1.66","","0.3","0.1","0.51305","","","0.70353","","18.647","","15.555","","38.286","","","","","","","","","","","","","","","10203-46325",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46329 [13460]","BASALT [13460]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","51.44","0.82","","18.03","","1.76","8.79","","11.12","4.61","0.19","","0.28","1.79","0.1","","","0.12","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","","351.4","40.2","","","40.2","33.9","140.1","67.9","18.1","0.91","","","","","216.2","24.5","43","1.99","","","","","","","","","","","","0.25","119.6","3.07","8.68","1.47","7.72","2.63","1.02","3.45","0.6","3.96","0.91","2.31","0.42","2.67","0.41","1.49","0.27","","","","","","","","","1.87","","0.29","0.16","0.51304","","","0.70347","","18.652","","15.566","","38.333","","","","","","","","","","","","","","","10203-46329",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46330 [13460]","BASALT [13460]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","51.46","0.92","","17.28","","2.02","10.11","","10.45","4.31","0.24","","0.42","1.9","0.13","","","0.06","","","","","","","","","","","","","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9","","335.7","12","","","32.9","19.1","96.6","65.1","12.2","0.6","","","","","162.7","19.3","34.1","0.64","","","","","","","","","","","","0.25","113.9","3.25","8.71","1.47","7.7","2.46","0.87","3.13","0.51","3.49","0.79","2.05","0.38","2.41","0.34","1.32","0.03","","","","","","","","","1.5","","0.41","0.11","0.51304","","","0.70345","","18.656","","15.556","","38.305","","","","","","","","","","","","","","","10203-46330",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46357 [13460]","BASALT [13460]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","49.01","0.75","","19.17","","1.73","8.63","","12.18","4.82","0.18","","0.25","1.6","0.09","","","0.21","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","350.1","45.6","","","42.6","36.8","147.5","66.3","14.3","0.69","","","","","207","17.3","37.9","0.7","","","","","","","","","","","","0.23","109.4","3.31","9.03","1.46","7.48","2.54","0.93","2.84","0.51","3.22","0.73","1.98","0.31","2.11","0.33","1.55","0.2","","","","","","","","","2.59","","0.37","0.17","0.51303","","","0.70341","","18.685","","15.577","","38.371","","","","","","","","","","","","","","","10203-46357",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46358 [13460]","BASALT [13460] / ANDESITE, BASALTIC [9592]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","56.5","0.97","","15.81","","1.81","9.07","","8.41","3.55","0.22","","0.47","2.5","0.14","","","0.06","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","","301.5","15.4","","","26.1","13.1","86.1","76.2","16.1","1.13","","","","","186.5","25.9","49.8","1.42","","","","","","","","","","","","0.43","133.8","2.65","7.52","1.17","6.95","2.21","0.82","2.86","0.56","3.99","0.8","2.15","0.4","2.53","0.39","1.27","","","","","","","","","","1.3","","0.19","","0.51305","","","0.70349","","18.656","","15.559","","38.32","","","","","","","","","","","","","","","10203-46358",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46362 [13460]","BASALT [13460] / ANDESITE, BASALTIC [9592]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","55.53","0.71","","18.2","","1.47","7.34","","10.23","3.24","0.18","","0.26","2.07","0.08","","","0.1","","","","","","","","","","","","","0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4","","296.5","18.1","","","27.9","19.3","74.4","66.1","13.7","0.57","","","","","184.6","22.8","29","0.53","","","","","","","","","","","","0.36","104.2","2.61","7.61","1.36","7.35","2.73","1.1","3.35","0.71","4.6","0.99","2.78","0.4","3.18","0.45","1.29","0.09","","","","","","","","","2.58","","0.19","0.16","0.51307","","","0.70352","","18.667","","15.574","","38.356","","","","","","","","","","","","","","","10203-46362",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 46368 [13460]","BASALT [13460] / ANDESITE, BASALTIC [9592]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","56.77","0.7","","17.53","","1.46","7.31","","9.59","3.29","0.18","","0.26","2.04","0.08","","","0.08","","","","","","","","","","","","","0.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","","279.1","16.6","","","27.2","19.7","64.6","67.3","13.5","0.54","","","","","172.6","25.3","28.9","0.46","","","","","","","","","","","","0.16","106.8","2.48","7.34","1.34","7.55","2.75","1.07","3.67","0.7","4.8","1.08","3.02","0.41","3.53","0.48","1.22","0.1","","","","","","","","","3.78","","0.15","0.18","0.51305","","","0.70352","","18.641","","15.565","","38.319","","","","","","","","","","","","","","","10203-46368",
"[13460][2495][2770]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 7125 [13460]","BASALT [13460]","100000 [2495]","200000 [2495]","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","49.52","0.72","","17.69","","1.62","8.08","9.53","12.97","6.43","0.19","","0.18","1.31","0.06","0.99","","0.06","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.9","","346.8","137.7","","","40.2","58.3","84.3","59.7","12.7","0.8","","","","2.6","161.6","14.8","26","0.5","","","","","","","","","","","","0.19","85.3","1.96","5.66","0.97","5.07","1.76","0.7","2.3","0.4","2.85","0.59","1.58","0.25","1.87","0.22","0.96","0.11","","","","","","","","","1.95","","0.197","0.075","0.51305","","","0.7034","","18.639","","15.563","","38.343","","","","","","","","","","","","","","","10203-7025",
"[13460][9592]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 7053 [13460]","BASALT [13460] / ANDESITE, BASALTIC [9592]","","","","","","","","PORPHYRITIC [13460] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [13460] ","54.83","1.04","","14.79","","2.09","10.43","","8.57","3.72","0.24","","0.41","2.5","0.11","","","0.22","","","","","","","","","","","","","1.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","365.8","24","","","27.3","16.6","113.1","73.6","12.4","0.59","","","","","161.8","21.2","34.4","0.55","","","","","","","","","","","","0.27","115.6","2.71","7.66","1.34","6.95","2.5","0.98","3.12","0.52","3.98","0.92","2.41","0.41","2.76","0.38","1.46","0.03","","","","","","","","","1.49","","0.22","0.12","0.51304","","","0.70346","","18.643","","15.546","","38.268","","","","","","","","","","","","","","","10203-7053",
"[13460][2495]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN","","-29.25","-29.25","-177.87","-177.87","SUBAERIAL","","","s 7090 [13460]","BASALT [13460]","50000 [2495]","100000 [2495]","","","","","","APHYRIC [13460] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [13460] ","53.26","1.01","","15.15","","2.12","10.59","12.5","9.32","4.6","0.25","","0.34","2.07","0.09","","","0.06","","","","","","","","","","","","","1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","","461.4","17.8","","","31.8","17.8","142.1","68.1","11.9","0.6","","","","4.9","149.1","19.4","28.4","0.54","","","","","","","","","","","","0.3","102.7","2.35","6.69","1.17","5.98","2.21","0.88","3.05","0.41","3.08","0.72","1.89","0.38","2.32","0.37","1.45","0.04","","","","","","","","","1.76","","0.252","0.169","0.51304","","","0.70345","","18.434","","15.535","","38.051","","","","","","","","","","","","","","","10203-7090",
