"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7321][2953][2335][4190]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN","","47.12","47.12","152.23","152.23","SUBAERIAL","","","s V-17-603 [7321] / s V17-603 [4190]","BASALT [7321] / NOT GIVEN [2953] / ANDESITE, BASALTIC [2335]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7321] ","51.53","","","","","","","","","7.97","","","1.46","","","","","","","","","","","","","","","","","","0.29","","","","","","","","","","","","","","","0.75","6.17","","","","","","","","","","","","","","","","","","","","34","62","","","0.44","","","","","","","5.92","1","","","","","","","0.6","0.05","","","0.31","341","14","","","","","","","","","","","","","","","","0.3","","","","","","","0.053","3.1","","2.7","","","","","0.70296","","","","","","","","","","","","","","","","","","","","","10008-B-17-603",
"[11076][14714]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN","","47.12","47.12","152.23","152.23","SUBAERIAL","","","s KY-20/76 [11076]","ANDESITE, BASALTIC [11076]","","","","QUATERNARY [11076]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11076] ","54.04","0.72","","17.14","","","","5.88","9.22","7.13","0.14","","1.89","2.64","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.15","","17.91","84.79","3.13","","","","","","","","","","","","1.25","214.5","13.23","33.94","3.53","16.22","3.69","1.38","3.61","0.75","4.13","0.69","2.17","0.31","2.02","0.32","2.56","0.2","","","","","","","","","28.37","","3.23","1.06","0.513058","","","0.702993","","18.021","","15.576","","38.109","","","","","","","","","","","","","","","10008-KY-20/76",
"[6818][3042]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN","","47.12","47.12","152.23","152.23","SUBAERIAL","","","s V15-307 [6818] / s V-15-307 [3042]","BASALT [6818] / ANDESITE [3042]","","","","HOLOCENE [6818] / QUATERNARY [3042]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6818] ","58.22","0.67","","16.3","","2.24","5.77","","7.04","3.36","0.14","","2.09","3.46","0.21","","0.34","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","340","","","28","25","59","64","","","","","","47","470","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513073","","","0.70306","","","","","","","","","","","","","","","","","","","","","10008-V-15-307",
"[3042]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / CHIRPOY (CHERNYYE) / CHERNYI / PACIFIC OCEAN","","46.5","46.5","150.8","150.8","SUBAERIAL","","","s B-15-327 [3042]","ANDESITE [3042]","","","","QUATERNARY [3042]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3042] ","60.25","0.72","","15.6","","1.67","6.29","","7.21","2.67","0.15","","1.37","3.29","0.13","","0.6","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","70","","","18","15","62","77","","","","","","27","245","","","","","","","","","","","","","","","","320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51309","","","0.70319","","","","","","","","","","","","","","","","","","","","","10009-B-15-327",
"[3042]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / DEMON / PACIFIC OCEAN","","45","45","148","148","SUBAERIAL","","","s B-15-404 [3042]","BASALT [3042]","","","","QUATERNARY [3042]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3042] ","50.8","0.87","","16.55","","3.71","8.23","","10.48","5.2","0.19","","0.44","2.5","0.07","","0.54","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","70","","","28","17","78","88","","","","","","10","320","","","","","","","","","","","","","","","","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513066","","","0.70322","","","","","","","","","","","","","","","","","","","","","10010-B-15-404",
"[3042]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / BERUTARUBE / PACIFIC OCEAN","","44.47","44.47","146.93","146.93","SUBAERIAL","","","s 107/81 [3042]","ANDESITE, BASALTIC [3042]","","","","QUATERNARY [3042]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3042] ","55.37","1.02","","17.76","","3.28","6.47","","8.68","4.06","0.17","","0.21","2.71","0.14","","0.3","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","8","31","88","","","","","","6.5","220","","","","","","","","","","","","","","","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513111","","","0.70341","","","","","","","","","","","","","","","","","","","","","10011-107/81",
"[17872][17697]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN","","43.88","43.88","145.53","145.53","SUBAERIAL","","","s P-40/2000 [17872] / s R-40/2000 [17697]","ANDESITE, BASALTIC [17872]","","","","QUATERNARY [17872]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17872] ","54.59","0.75","","17.09","","","","9.43","9.3","5.23","0.18","","0.1","1.99","0.06","","","","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","260","65","","","","21.4","","","13.9","","","","","1.9","207","18.5","32.43","0.256","","","","","","","","","","","","0.06","93","1.93","5.86","0.96","5.37","1.88","0.73","2.76","0.48","3.29","0.72","2.03","0.32","2.16","0.34","1.17","0.018","","","","","","","","","2.75","","0.25","0.1","","","","","","","","","","","","","","","","","","","","","","","","","10012-P-40/2000",
"[17872][17697]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN","","43.88","43.88","145.53","145.53","SUBAERIAL","","","s P-41/2000 [17872] / s R-41/2000 [17697]","BASALT [17872]","","","","QUATERNARY [17872]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17872] ","49.84","0.69","","19.52","","","","9.58","11.81","5.83","0.19","","0.03","1.25","0.03","","","","","","","","","","","","","","","","-0.31","","","","","","","","","","","","","","3.66","0.126","","","","","","","","","","","","","42","","278","89","","","","31.8","","","14.4","","","","","1.66","211","11.3","17.06","0.116","","","","","","","","","0.091","","","0.12","60","0.95","2.85","0.5","2.81","1.08","0.48","1.59","0.3","2.07","0.46","1.29","0.203","1.37","0.21","0.61","0.012","","","","","","","","0.003","1.69","","0.08","0.037","0.513085","","","0.703458","","18.4175","","15.5224","","38.2641","","","","","","","","","","","","","","","10012-P-41/2000",
"[3042]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / RURUI / PACIFIC OCEAN","","44","44","145.5","145.5","SUBAERIAL","","","s 36/25-77 [3042]","ANDESITE [3042]","","","","QUATERNARY [3042]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3042] ","57.08","0.96","","17.77","","1.69","6.8","","7.1","3.86","0.13","","1.18","2.87","0.19","","0.57","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","20","37","64","","","","","","45","300","","","","","","","","","","","","","","","","320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513003","","","0.70323","","","","","","","","","","","","","","","","","","","","","10018-36/25-77",
"[3043]","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / KUNASHIR / ALEKHIN FORMATION / PACIFIC OCEAN","","44","44","146","146","SUBAERIAL","","","s B7/8 [3043]","DACITE [3043]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3043] ","68.8","","","","","","","","","","","","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70384","","","","","","","","","","","","","","","","","","","","","10051-B7/8",
