"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","-0.3799","-0.3799","31.3045","115.63","SUBAERIAL","","","s 1021 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","49.2","0.74","","15.7","","","","8.84","9.94","9.34","0.14","","0.48","1.59","0.08","","","","","","","","","","","","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6","","219","580","","","","146","","71","","","","","","23","124","16.6","56","3.6","","","","","","","","","","","","","151","9.7","20.7","2.54","10.5","2.5","0.82","3.06","0.5","3.16","0.64","1.86","0.27","1.81","0.26","","0.23","","","","","","","","","","","2.5","0.63","0.51202","","","0.71665","","","","","","","","","","","","","","","","","","","","","839425",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.4878","0.4878","31.5836","31.5836","SUBAERIAL","","","s 1186 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","51.6","1.21","","13.8","","","","12.33","9.96","6.02","0.18","","0.49","2.42","0.13","","","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9","","319","108","","","","115","","","","","","","","23","135","27","77","3.9","","","","","","","","","","","","","169","11.5","25.7","3.31","14.8","3.92","1.26","4.77","0.81","5.09","1.05","3.11","0.45","2.9","0.42","","0.25","","","","","","","","","","","2.85","0.53","0.51217","","","0.71874","","","","","","","","","","","","","","","","","","","","","839426",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.4972","0.4972","31.5702","31.5702","SUBAERIAL","","","s 3520 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","50.3","1.27","","14.6","","","","12.6","10.1","6.23","0.18","","0.53","2.24","0.12","","","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8","","310","117","","","","139","149","117","","","","","","35","136","26.9","102","5.38","","","","0","","","","","","","","","114","10.8","22.3","2.96","13.9","3.41","1.13","4.7","0.76","4.44","0.97","2.74","0.4","2.72","0.42","","0.32","","","","","0","0","","","","","1.82","0.53","","","","","","","","","","","","","","","","","","","","","","","","","839427",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.5188","0.5188","31.178","31.178","SUBAERIAL","","","s 3573 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","53.9","0.61","","15.1","","","","8.73","10.11","6.69","0.13","","0.93","1.58","0.07","","","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194","486","","","","43","20","72","","","","","","53","132","","94","","","","","0","","","","","","","","","162","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","839428",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.7042","0.7042","31.1596","31.1596","SUBAERIAL","","","s 3592 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","50.2","1","","14.6","","","","11.97","10.44","6.82","0.18","","0.8","2.12","0.08","","","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7","","282","104","","","","161","199","99","","","","","","53","124","20.1","72","2.87","","","","0","","","","","","","","","114","5.79","12.8","1.76","7.76","2.61","0.8","3.46","0.55","3.27","0.73","2.08","0.31","2.07","0.32","","0","","","","","0","0","","","","","1.01","0.3","","","","","","","","","","","","","","","","","","","","","","","","","839429",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.2312","0.2312","31.1952","31.1952","SUBAERIAL","","","s 3623 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","50","1.04","","15.8","","","","11.61","10.8","6.28","0.17","","0.33","2.23","0.09","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8","","284","123","","","","112","154","89","","","","","","21","140","18.4","66","3.72","","","","0.017","","","","","","","","","100","6.35","14.5","1.95","8.86","2.24","0.8","3.26","0.47","3.19","0.69","1.8","0.28","1.82","0.28","","1","","","","","0.019","0","","","","","0.98","0.26","","","","","","","","","","","","","","","","","","","","","","","","","839430",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.3658","0.3658","30.6224","30.6224","SUBAERIAL","","","s 5528 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","51.2","1.11","","14.2","","","","12.6","9.89","5.83","0.2","","0.81","2.24","0.11","","","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9","","296","71","","","","122","153","104","","","","","","36","139","24.8","90","4.32","","","","0","","","","","","","","","109","9.59","20.7","2.72","12.8","3.15","1.09","4.19","0.69","4.68","0.95","2.83","0.43","2.75","0.42","","0.28","","","","","0.014","0","","","","","2.1","0.59","","","","","","","","","","","","","","","","","","","","","","","","","839431",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.6018","0.6018","31.3932","31.3932","SUBAERIAL","","","s 8155 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","49.6","1.25","","14.2","","","","12.87","10.2","6.21","0.19","","0.62","2.3","0.13","","","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4","","310","122","","","","129","172","110","","","","","","37","144","25.6","102","4.9","","","","","","","","","","","","","125","10.1","22.1","2.94","13.1","3.44","1.12","4.32","0.71","4.69","0.95","2.82","0.42","2.65","0.41","","0.27","","","","","","","","","","","1.72","0.48","","","","","","","","","","","","","","","","","","","","","","","","","839432",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.7669","0.7669","31.1013","31.1013","SUBAERIAL","","","s 8277 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","47.82","0.93","","13.84","","","","11.54","12.31","8.16","0.2","","0.37","1.9","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","200","222","","","","103","119","84","","","","","","24","132","31.2","61","4.1","","","","","","","","","","","","","146","18.12","55.28","4.17","16.23","3.72","1.15","4.31","0.81","5.08","1.05","2.97","0.48","3.04","0.46","","0","","","","","","","","","","","4.09","0","","","","","","","","","","","","","","","","","","","","","","","","","839433",
"[18536]","CONTINENTAL FLOOD BASALT","LAKE VICTORIA LARGE IGNEOUS PROVINCE / UGANDA / LAKE VICTORIA DIKE SWARM","","0.9731","0.9731","30.6063","30.6063","SUBAERIAL","","","s 10024 [18536]","DOLERITE [18536]","1370000000 [18536]","1370000000 [18536]","MESO [18536]","PROTEROZOIC [18536]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18536] ","50.3","1.19","","13.2","","","","12.78","10.12","6.11","0.19","","0.57","2.66","0.12","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3","","291","69","","","","79","73","118","","","","","","28","145","21.8","76","4.62","","","","","","","","","","","","","114","7.07","15.8","2.18","10.1","2.76","0.97","3.62","0.61","3.98","0.81","2.37","0.34","2.25","0.34","","0.27","","","","","","","","","","","1.05","0.31","","","","","","","","","","","","","","","","","","","","","","","","","839434",
