"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2494][13520][2577]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN","","17.55","17.55","-63","-63","SUBAERIAL","","","s SE8228 [2494]","BASALT [2494] / NOT GIVEN [13520] / THOLEIITE [2577]","8250 [2494]","8250 [2494]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2494] ","54.68","0.73","","18.55","","","","7.13","9.08","4.23","0.18","","0.51","3.17","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.37","0.608","","","","","","","","","","","4234","","24.4","4376","194.4","14.2","","","31.12","10.5","41.4","50.9","15.3","","","","","10","290","20.5","70.7","1.718","","","","","","","","","","","","0.351","109.8","4.17","11.11","1.69","7.902","2.322","0.851","2.874","0.509","3.225","0.713","2.072","","2.161","0.348","2.008","0.136","","","","","","","","","1.957","","0.588","0.29","0.513028","","","0.70361","","18.895","","15.598","","38.506","","","","","","","","","","","","","","","10068-SE8228",
"[2577]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN","","17.55","17.55","-63","-63","SUBAERIAL","","","s SE8237 [2577]","THOLEIITE [2577]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2577] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5479","","","3477","","","","","","","20","43","","","","","","13","247","23","92","","","","","","","","","","","","","","161","4.9","12.8","","8.8","2.4","0.87","2.8","","3.18","","2.06","","2.29","0.37","","","","","","","","","","","","","","","0.513098","","","0.703766","","","","","","","","","","","","","","","","","","","","","10068-SE8237",
"[2577]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN","","17.55","17.55","-63","-63","SUBAERIAL","","","s SE8240 [2577]","THOLEIITE [2577]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2577] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5313","","","3837","","8","","","","6","26","45","","","","","","11","248","22","80","","","","","","","","","","","","","","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513009","","","0.703723","","","","","","","","","","","","","","","","","","","","","10068-SE8240",
"[2577]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN","","17.55","17.55","-63","-63","SUBAERIAL","","","s SE8241 [2577]","THOLEIITE [2577]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2577] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5479","","","3837","","11","","","","8","24","44","","","","","","12","247","22","82","","","","","","","","","","","","","","145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513035","","","0.703688","","","","","","","","","","","","","","","","","","","","","10068-SE8241",
"[3325][2577][3161][4700]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / REDONDA / CARIBBEAN SEA / ATLANTIC OCEAN","","16.97","16.97","-62.32","-62.32","SUBAERIAL","","","s R8202 [3325]","BASALT [3325] / THOLEIITE [2577]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from CLINOPYROXENE [4700]","WHOLE_ROCK [3325] / MINERAL / COMPONENT (INCL. GROUNDMASS) [4700] ","48.85","","","","","","","","","6.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","","","4574","","29","","","","10","51","74","","","","","","4","484","12","34.7","0.94","","","","","","","","","","","","","56","3.89","9.41","","6.39","1.712","0.668","2.05","","2.45","","1.45","","1.4","0.21","","","","","","","","","","","","","","","0.513034","","","0.703221","","18.8926","","15.5962","","38.545","","","","","","","","","","6.02","","","","","10069-R8202",
"[2494][2577][19156][4700]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / REDONDA / CARIBBEAN SEA / ATLANTIC OCEAN","","16.97","16.97","-62.32","-62.32","SUBAERIAL","","","s R8204 [2494]","BASALT [2494] / THOLEIITE [2577] / NOT GIVEN [19156]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from CLINOPYROXENE [4700]","WHOLE_ROCK [2494] / MINERAL / COMPONENT (INCL. GROUNDMASS) [4700] ","49.24","0.78","","19.79","","","","9.16","11.15","6.2","0.19","","0.47","2.31","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3901","","40.6","4676","","22","","","55.9","9","57","77","","","","","","2","493","14","43","1","","","","","","","","","","","","0.2","58","4.05","9.83","","6.64","1.77","0.68","2.09","0.4","2.43","","1.54","","1.47","0.23","1.32","0.07","","","0.0000049","","","","","","","","0.783","0.343","0.512983","","","0.7032","","18.664","","15.558","","38.245","","","","","0.202","","","","","5.64","","","","","10069-R8204",
"[3286][2773]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN","","12.2","12.2","-61.7","-61.7","SUBAERIAL","","","s 109 [3286]","ANDESITE [3286]","500000 [2773]","2000000 [2773]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3286] ","52.08","1.022","","18.89","","8.54","","","8.82","4.31","0.149","","1.312","4.01","0.406","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","","245","43","","","","54","33","106","","","","","","42.5","761","2.6","154","15.8","","","","","","","","","","","","","541","35.5","63.5","","30.13","5.929","1.722","5.16","","3.94","","2.03","","1.817","","","","","","","","","","","","39.2","","19","6","0.51281","","","0.70522","","19.486","","15.769","","39.17","","","","","","","","","","","","","","","10071-109",
"[3325][3286][3396][2773]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN","","12.2","12.2","-61.7","-61.7","SUBAERIAL","","","s 225B [3325]","BASALT [3325] / ANKARAMITE [3286]","500000 [2773]","2000000 [2773]","","","","","","CLINOPYROXENE-PHYRIC [3325] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3325] ","49.16","0.992","","17.15","","9.83","","","12.73","5.76","0.143","","1.037","2.84","0.19","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","5947","318","65","","","","47","340","117","","","","","","10.8","1180","18.9","76.3","3.79","","","","","","","","","","","","","367","18.65","39","","22.74","4.844","1.462","4.31","","3.45","","1.87","","1.658","","","","","","","","","","","","11.9","","7","2.53","0.512952","","","0.70441","","18.937","","15.652","","38.57","","","","","","","","","","","","","","","10071-225B",
"[3286][2773]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN","","12.2","12.2","-61.7","-61.7","SUBAERIAL","","","s 230 [3286]","ANKARAMITE [3286]","500000 [2773]","2000000 [2773]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3286] ","52.03","0.822","","17.64","","8.39","","","10.5","4.68","0.139","","1.456","3.48","0.232","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","","243","40","","","","34","81","57","","","","","","27.8","1035","18.9","111","8.1","","","","","","","","","","","","","452","","","","23","","","","","","","","","","","","","","","","","","","","","1.6","","13","","","","","0.70461","","","","","","","","","","","","","","","","","","","","","10071-230",
"[3325][3286][3396][2773]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN","","12.2","12.2","-61.7","-61.7","SUBAERIAL","","","s 337 [3325]","BASALT [3325] / ANDESITE [3286]","500000 [2773]","2000000 [2773]","","","","","","CLINOPYROXENE-PHYRIC [3325] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3325] ","53.75","0.765","","17.57","","7.86","","","10.01","4.08","0.152","","1.562","3.71","0.235","","","","","","","","","","","","","","","","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","4586","208","33","","","","31","163","40","","","","","","30.9","1022","18.8","126.8","7.5","","","","","","","","","","","","","498","26.8","50.4","","23.43","4.547","1.349","3.87","","3.11","","1.735","","1.643","","","","","","","","","","","","1.5","","13","5.4","0.512913","","","0.70455","","19.146","","15.719","","38.904","","","","","","","","","","","","","","","10071-337",
