"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[11648][13370]","INTRAPLATE VOLCANICS","LIBYA / JABAL AL HARUJ VOLCANIC FIELD","","27.53","27.53","18","18","SUBAERIAL","","","s H 14 [11648] / s H14 [13370]","BASALT [11648] / NOT GIVEN [13370]","","","","CENOZOIC [11648] / NEOGENE [13370]","","","","OLIVINE-, PYROXENE- AND PLAGIOCLASE-PHYRIC [11648] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [11648] ","49.67","1.62","","14.58","","5.45","5.77","10.63","10.22","8.79","0.19","","0.99","2.68","0.39","","","","","","","","","","","","","","","","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276","286","","","","264","","","","","","","","21","220","23","114","17","","","","","","","","","","","","","123","","39","","","","","","","","","","","","","","","","","","","","","","","2","","5","","","","","","","","","","","","","","","","","","","","","","","","","","107156-H14",
"[13285]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","","32.17","32.17","13.02","13.02","SUBAERIAL","","","s LY 2A [13285]","NOT GIVEN [13285]","3500000 [13285]","52000000 [13285]","","CENOZOIC [13285]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13285] ","47.96","1.987","","13.35","","","","11.02","9.72","9.23","0.167","","1.05","3","0.48","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","183.954346875","285.688648","","","49.990381","205.10209","93.814608","118.217955","17.934354","","","","","19.214562","531.278154","19.511815","128.88015265","42.505208","","","","","","","","","","","","0.23861","346.5088205","28.874224","51.500524","6.184121","24.543608","5.70382173","1.919086","5.490338","0.784826","4.259079","0.772469","2.164055","0.274881","1.649056","0.231137","3.377428","2.137258","","","","","","","","","6.723752","","3.3247","0.954895","","","","","","","","","","","","","","","","","","","","","","","","","399417",
"[13285]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","","32.17","32.17","13.02","13.02","SUBAERIAL","","","s LY 2B [13285]","NOT GIVEN [13285]","3500000 [13285]","52000000 [13285]","","CENOZOIC [13285]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13285] ","47.18","1.875","","12.56","","","","10.56","9.49","11.13","0.162","","1","3.29","0.52","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","171.89065625","396.43614","","","48.235421","282.013553","99.195357","115.746864","17.235315","","","","","16.334992","509.07874","19.582655","120.85019755","44.101861","","","","","","","","","","","","0.227687","343.308986","31.368968","55.196523","6.533455","25.38722","5.84831837","1.933425","5.2852","0.77374","4.269884","0.744133","2.107736","0.269706","1.677753","0.228547","3.269364","2.220074","","","","","","","","","5.774766","","3.652393","1.144958","","","","","","","","","","","","","","","","","","","","","","","","","399418",
"[16334]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / WAW AN NAMOUS (WAU EN NAMUS) VOLCANIC FIELD","","24.92","24.92","17.75","17.75","SUBAERIAL","","","s W2 [16334]","FOIDITE [16334]","","","","PLEISTOCENE [16334]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16334] ","39.71","2.94","","9.51","","","","13.94","11.29","14.11","0.22","","1.48","4.42","1.02","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","2.92","","","","","","","","","","","","","","","246","466","","","65.7","328","57","160","24","1.38","1.82","","","29","1063","26","330","86","5.1","","","","","0.38","0.1","2.8","0.19","","","0.45","510","63.9","128","15","58.7","11.8","3.66","9.54","1.26","6.16","0.95","2.17","0.26","1.44","0.19","7.2","6.08","1.2","","","","","","","","4.3","0","8.4","2.05","0.512925","","","0.703139","","19.263","","15.607","","38.966","","","","","","","","","","","","","","","612475",
"[16334]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / WAW AN NAMOUS (WAU EN NAMUS) VOLCANIC FIELD","NEAR WAW AN NAMOUS","25","25","17.6","17.6","SUBAERIAL","","","s W3 [16334]","BASALT [16334]","","","","MIOCENE [16334]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16334] ","41.17","2.92","","10.93","","","","12.35","11.26","11.26","0.18","","1.26","1.95","0.67","","","","","","","","","","","","","","","","3.18","","","","","","","","","","","","","","","1.74","","","","","","","","","","","","","","","255","282","","","61.7","246","75","137","22","1.36","0","","","19","928","21","195","46","2.6","","","","","0","0.09","1.8","0","","","0.3","353","35.6","74","9","36.8","7.8","2.62","6.75","0.92","4.66","0.76","1.79","0.22","1.28","0.18","4.5","3.25","0.8","","","","","","","","2.7","0","4","0.92","0.512922","","","0.703222","","19.547","","15.6216","","39.242","","","","","","","","","","","","","","","612476",
"[16334]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / WAW AN NAMOUS (WAU EN NAMUS) VOLCANIC FIELD","NEAR WAW AN NAMOUS","25.2244","25.2244","17.2402","17.2402","SUBAERIAL","","","s W5 [16334]","BASALT [16334]","","","","MIOCENE [16334]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16334] ","46.83","1.83","","12.97","","","","10.69","11.2","7.84","0.16","","0.93","2.94","0.35","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","208","409","","","56","262","76","116","20","1.39","0","","","17","469","19","117","21","1.7","","","","","0","0.07","1.5","0","","","0.62","262","17.6","37","4.7","19.8","4.6","1.62","4.52","0.67","3.71","0.66","1.71","0.23","1.43","0.21","2.9","1.46","0.3","","","","","","","","2.1","0","2.2","0.67","0.512899","","","0.708122","","19.231","","15.6409","","38.859","","","","","","","","","","","","","","","612477",
"[17097]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","KAF EL KHALEF","32.17","32.17","13.02","13.02","SUBAERIAL","","","s L41 [17097]","BASANITE [17097]","","","","NEOGENE [17097]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17097] ","42.91","2.48","","10.79","","","","11.92","11.78","13.29","0.18","","1.06","3.23","1.02","","","","","","","","","","","","","","","","2.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","203","514","","","58","425","87","101","22","","","","","18","1293","30","216","85","","","","","","","","","","","","0.9","753","67.6","124.5","13.6","52.6","10.6","3.4","8.9","1.3","6.1","1","2.5","0.3","2","0.3","4.7","4.9","","","","","","","","","","","6.2","2","0.512861","","","0.703271","","","","","","","","","","","","","","","","","","","","","674509",
"[17097]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","KAF EL KHALEF","32.17","32.17","13.02","13.02","SUBAERIAL","","","s GH15 [17097]","TEPHRITE [17097]","","","","NEOGENE [17097]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17097] ","45.88","4.07","","15.04","","","","10.61","10.78","8.45","0.12","","1.34","1.73","0.8","","","","","","","","","","","","","","","","7.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","318","218","","","36","151","55","67","22","","","","","21","611","28","203","56","","","","","","","","","","","","0.7","546","38.2","80.3","9.4","39.9","8.4","2.8","7.9","1.2","5.6","1","2.5","0.3","1.9","0.3","4.8","3.8","","","","","","","","","","","3.7","2.1","","","","","","","","","","","","","","","","","","","","","","","","","674510",
"[17097]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","KAF EL KHALEF","32.17","32.17","13.02","13.02","SUBAERIAL","","","s GH14 [17097]","BASANITE [17097]","","","","NEOGENE [17097]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17097] ","43.16","3.62","","13.62","","","","12.83","13.62","7.47","0.17","","1.13","2.26","0.69","","","","","","","","","","","","","","","","5.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","293","296","","","59","180","51","108","24","","","","","21","984","28","697","64","","","","","","","","","","","","1.4","3173","38.1","78.1","9","38.1","8.1","2.7","7.4","1.1","5.5","1","2.6","0.3","2","0.3","12.6","3.4","","","","","","","","","","","3.4","1.2","0.512889","","","0.7038","","","","","","","","","","","","","","","","","","","","","674511",
"[17097]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","KAF EL KHALEF","32.17","32.17","13.02","13.02","SUBAERIAL","","","s L37 [17097]","HAWAIITE [17097]","","","","NEOGENE [17097]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17097] ","46.05","3.35","","12.63","","","","10.34","14.77","5.29","0.2","","2.34","3","0.88","","","","","","","","","","","","","","","","8.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","210","125","","","23","64","37","66","27","","","","","48","1690","40","448","116","","","","","","","","","","","","0.9","929","93","179.5","19.5","73.4","14.3","4.4","11.7","1.7","8","1.4","3.6","0.5","2.8","0.4","9.5","7.4","","","","","","","","","","","8.9","3.3","0.512829","","","0.703787","","","","","","","","","","","","","","","","","","","","","674512",
"[17097]","INTRAPLATE VOLCANICS","LIBYA / SIRTE BASIN / GHARYAN VOLCANIC FIELD","KAF EL KHALEF","32.17","32.17","13.02","13.02","SUBAERIAL","","","s LY 2B [17097]","BASALT, ALKALINE [17097]","","","","NEOGENE [17097]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17097] ","47.68","1.89","","12.69","","","","10.67","9.59","11.25","0.16","","1.01","3.33","0.53","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","172","396","","","48","282","99","116","17","","","","","16","509","20","121","44","","","","","","","","","","","","0.2","343","31.4","55.2","6.5","25.4","5.8","1.9","5.3","0.8","4.3","0.7","2.1","0.3","1.7","0.2","3.3","2.2","","","","","","","","","5.8","","3.7","1.1","0.512872","","","0.703365","","","","","","","","","","","","","","","","","","","","","674513",
