"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A503 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","53.03","0.96","","20.42","","1.02","6.11","","9.2","3","0.15","","1.79","3.01","0.25","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","14","","","22","10","","","","","","","","45","401","27","101","9","","","","","","","","","","","","","303","18","38","","","","","","","","","","","","","","","","","","","","","","","","","3","17","","","","","","","","","","","","","","","","","","","","","","","","","1072822",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A504 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","54.8","1.18","","18.68","","1.18","7.13","","6.41","3.74","0.13","","0.68","3","0.26","","","","","","","","","","","","","","","","7.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292","37","","","20","10","","","","","","","","18","299","31","131","8","","","","","","","","","","","","","390","23","34","","","","","","","","","","","","","","","","","","","","","","","","","4","24","","","","","","","","","","","","","","","","","","","","","","","","","1072823",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A540 [19842]","ANDESITE [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","61.61","0.74","","16.29","","0.92","5.54","","5.1","2.35","0.2","","3.12","2.43","0.21","","","","","","","","","","","","","","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181","47","","","15","16","","","","","","","","126","253","26","107","9","","","","","","","","","","","","","373","23","51","","","","","","","","","","","","","","","","","","","","","","","","","5","102","","","","","","","","","","","","","","","","","","","","","","","","","1072824",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A530 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","53.48","0.84","","20.18","","1.21","7.28","","9.52","3.57","0.17","","1.07","3.05","0.3","","","","","","","","","","","","","","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253","37","","","25","14","","","","","","","","26","325","20","75","6","","","","","","","","","","","","","203","11","29","","","","","","","","","","","","","","","","","","","","","","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","1072825",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A567 [19842]","ANDESITE [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","59.23","0.65","","17.16","","0.91","5.48","","7.09","3.32","0.12","","2.1","2.66","0.23","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141","26","","","15","14","","","","","","","","70","340","33","143","9","","","","","","","","","","","","","320","24","50","","","","","","","","","","","","","","","","","","","","","","","","","8","16","","","","","","","","","","","","","","","","","","","","","","","","","1072826",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A501 [19842]","BASALT [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","50.58","1.03","","17.9","","1.49","8.96","","10.34","5.52","0.19","","0.8","2.07","0.3","","","","","","","","","","","","","","","","1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316","48","","","30","15","","","","","","","","19","291","20","58","5","","","","","","","","","","","","","143","","26","","","","","","","","","","","","","","","","","","","","","","","","","3","8","","","","","","","","","","","","","","","","","","","","","","","","","1072827",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A519 [19842]","BASALT [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","47.88","0.9","","17.56","","1.56","9.36","","11.6","7.75","0.17","","0.67","1.88","0.28","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322","157","","","43","58","","","","","","","","20","375","19","48","5","","","","","","","","","","","","","103","8","17","","","","","","","","","","","","","","","","","","","","","","","","","4","6","","","","","","","","","","","","","","","","","","","","","","","","","1072828",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A521 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","53.03","1.07","","17.75","","1.35","8.09","","9.42","3.97","0.16","","1.11","2.34","0.25","","","","","","","","","","","","","","","","1.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","36","","","25","19","","","","","","","","24","326","32","64","8","","","","","","","","","","","","","221","10","23","","","","","","","","","","","","","","","","","","","","","","","","","4","9","","","","","","","","","","","","","","","","","","","","","","","","","1072829",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A577 [19842]","BASALT [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","50.96","0.86","","19.09","","1.32","7.91","","10.82","4.88","0.27","","0.72","2","0.18","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265","48","","","37","31","","","","","","","","26","309","24","60","8","","","","","","","","","","","","","180","9","14","","","","","","","","","","","","","","","","","","","","","","","","","3","16","","","","","","","","","","","","","","","","","","","","","","","","","1072830",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SUBAERIAL","","","s A578 [19842]","ANDESITE [19842]","","","","NEOGENE [19842]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19842] ","60.39","0.9","","17.74","","0.91","5.43","","6.94","3.4","0.14","","2.05","2.91","0.27","","","","","","","","","","","","","","","","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","28","","","17","14","","","","","","","","77","352","32","160","11","","","","","","","","","","","","","338","27","57","","","","","","","","","","","","","","","","","","","","","","","","","8","18","","","","","","","","","","","","","","","","","","","","","","","","","1072831",
