"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / LEYTE / PHILIPPINE SEA / PACIFIC OCEAN","","10","11.5","124.66","125.33","SUBAERIAL","","","s PH88-02A [4096]","GABBRO [4096]","","","","","","","","","PLUTONIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [4096] ","48.8","1.19","","15.08","","","","9.07","11.13","8.22","0.13","","0.15","2.77","0.05","","","","","","","","","","","","","","","","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","250","303","","","","105","","","","","","","","2.5","144","32","42","1.9","","","","","","","","","","","","","23","2.6","","","9","","1.1","","","4.8","","3.2","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103985",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","EAST MINDANAO","6","10","125","127","SUBAERIAL","","","s PH92-82 [4096]","ANDESITE, BASALTIC [4096]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [4096] ","53.4","0.89","","17.75","","","","10.89","7.3","3.23","0.06","","0.15","3.42","0.31","","","","","","","","","","","","","","","","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","265","3","","","5","3","","","","","","","","2.7","290","24","65","2.05","","","","","","","","","","","","","42","5","14","","12.5","","1.2","","","4.3","","2.6","","2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103987",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","EAST MINDANAO","6","10","125","127","SUBAERIAL","","","s PH93-82 [4096]","DIORITE [4096]","","","","","","","","","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [4096] ","62.8","0.44","","16.8","","","","4.95","6.3","2.38","0.12","","0.5","3.7","0.15","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","125","29","","","13","9","","","","","","","","8.9","339","16.3","15","1.6","","","","","","","","","","","","","100","6.1","15","","10","","0.7","","","2.7","","1.5","","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103988",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","CENTRAL MINDANAO","7","9","124","126","SUBAERIAL","","","s KL162 [4096]","ANDESITE [4096]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4096] ","56.2","0.73","","20.1","","","","4.46","6","1.72","0.13","","3.75","4.6","0.52","","","","","","","","","","","","","","","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","130","12","","","15","12","","","","","","","","89","664","20.2","146","8.2","","","","","","","","","","","","","680","16.6","35","","18.5","","1.1","","","3.4","","1.9","","1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103994",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","CENTRAL MINDANAO","7","9","124","126","SUBAERIAL","","","s KL143C [4096]","ADAKITE [4096]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4096] ","64.75","0.39","","16.8","","","","3.54","4.6","2.24","0.08","","1.71","4.28","0.17","","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","72","36","","","13","27","","","","","","","","43.6","565","10.3","50","3.8","","","","","","","","","","","","","327","10.3","22","","10","","0.65","","","1.7","","1.1","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103995",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PHILIPPINE SEA / PACIFIC OCEAN","DAGUMA-SARANGANI","5.6","7.2","124","126","SUBAERIAL","","","s PH92-107 [4096]","ANDESITE [4096]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4096] ","56","0.75","","17.5","","","","6.43","9.38","3.6","0.15","","0.33","2.09","0.22","","","","","","","","","","","","","","","","3.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","218","19","","","17","14","","","","","","","","8","575","26","87","2.5","","","","","","","","","","","","","103","10.45","23","","14","","1.2","","","3.9","","2.5","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103996",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PHILIPPINE SEA / PACIFIC OCEAN","DAGUMA-SARANGANI","5.6","7.2","124","126","SUBAERIAL","","","s PH92-105 [4096]","ADAKITE [4096]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4096] ","63.25","0.51","","17.15","","","","4.17","5","2.19","0.08","","1.36","4.7","0.19","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","104","8","","","11","11","","","","","","","","33.5","687","8.1","66","1.6","","","","","","","","","","","","","274","6.5","17","","8.5","","0.65","","","1.4","","0.7","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103998",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / LEYTE / PHILIPPINE SEA / PACIFIC OCEAN","","10","11.5","124.66","125.33","SUBAERIAL","","","s PH88-02B [4096]","GABBRO [4096]","","","","","","","","","PLUTONIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [4096] ","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","1.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104144",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","EAST MINDANAO","6","10","125","127","SUBAERIAL","","","s PH92-83 [4096]","DACITE, CALC-ALKALINE [4096]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [4096] ","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","2.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104162",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN","EAST MINDANAO","6","10","125","127","SUBAERIAL","","","s PH93-88 [4096]","BASALT, CALC-ALKALINE [4096]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [4096] ","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104164",
