"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61037 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","55.9","1.01","","14.6","","3.7","5.5","8.8","7.4","6.9","0.17","","2.4","2.4","0.1","2.5","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","320","790","","","32","87","32","89","12","","","","","","220","0","150","","","","","","0","","","0.72","","","","","460","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","276278",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 60990 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","52.4","1.32","","13.1","","6.7","3.9","9.9","5.9","9.8","0.15","","1.7","3.9","0.11","4.5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","","410","540","","","37","140","110","100","25","","","","","","95","0","170","","","","","","0.072","","","1.5","","","","","530","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","276279",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61112 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","54.7","2.05","","14.4","","5.3","5.4","10.2","5.9","7.1","0.24","","2.3","2.1","0.18","3","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","530","160","","","25","60","23","210","19","","","","","","320","47","410","","","","","","0","","","0.96","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","276280",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61074 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","59.1","1.96","","12.8","","9","1.8","9.9","3.7","4.7","0.15","","2","4","0.19","2","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","390","120","","","22","50","48","230","24","","","","","","210","41","350","","","","","","0.089","","","1.9","","","","","730","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","276281",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61093 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","49.3","2.05","","14.5","","7.7","6.4","13.3","7.8","6.9","0.26","","1.5","3.1","0.18","2.9","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","720","71","","","33","55","42","76","4.7","","","","","","250","49","370","","","","","","0.06","","","0.59","","","","","1200","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","276282",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61076 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","57.8","1.7","","12.5","","8.8","2.4","10.3","4.7","5.2","0.13","","3.1","2.5","0.14","2.6","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","","500","49","","","0","57","42","100","21","","","","","","220","34","290","","","","","","0.079","","","2.1","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","9.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","276283",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61130 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","54.4","2.2","","13.3","","4.3","7.9","11.8","2.1","9.6","0.16","","1.8","2.3","0.19","4.9","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","430","130","","","36","50","40","62","18","","","","","","130","32","250","","","","","","0.083","","","0.9","","","","","470","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","276284",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61131 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","56.7","2.09","","13.9","","4.5","6.9","11","3.7","5.9","0.16","","3.4","2.4","0.22","3.3","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","330","79","","","40","44","120","64","13","","","","","","370","0","200","","","","","","0.091","","","0.6","","","","","1300","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","276285",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61132 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","55.4","2.3","","14.4","","4.5","7.2","11.3","2.5","6.7","0.15","","3.4","2.7","0.2","4.1","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","440","73","","","35","39","54","46","8","","","","","","130","41","370","","","","","","0.062","","","0.46","","","","","920","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","276286",
"[8118]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / COPPERMINE CONTINENTAL FLOOD BASALT PROVINCE","","57.83","57.83","-102.7","-102.7","SUBAERIAL","","","s 61133 [8118]","BASALT [8118]","1200000000 [8118]","1200000000 [8118]","","PROTEROZOIC [8118]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8118] ","49","1.7","","9.9","","11.2","1.5","11.5","5.4","11.2","0.22","","3","0.5","0.16","4.5","","","","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","410","510","","","43","110","150","45","3.1","","","","","","51","35","240","","","","","","0.065","","","0.45","","","","","920","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","276287",
