"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY IRANJA ARCHIPELAGO","","-13.6","-13.6","47.8","47.8","SUBAERIAL","","","s RT-05AP-51A [20197]","TRACHYTE, QUARTZ [20197]","","","","CENOZOIC [20197]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20197] ","62.35","0.89","","19.23","","","","2.65","1.08","0.35","0.06","","6.54","5.72","0.22","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","","","","0","","59","","","","","","86","479","21","264","64","","","","","","","","","","","","","2058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028030",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY IRANJA ARCHIPELAGO","","-13.6","-13.6","47.8","47.8","SUBAERIAL","","","s RT-05AP-51B [20197]","SYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","61.54","0.5","","15.26","","","","6.88","0.76","0.46","0.19","","5.5","7.17","0.02","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","7","","172","","","","","","190","6","45","1336","249","","","","","","","","","","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028031",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-18 [20197]","GRANITE, ALKALINE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","73.42","0.18","","13.36","","","","2.02","0.27","0.08","0.08","","5.24","3.89","0.04","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","10","","70","","","","","","195","23","43","259","67","","","","","","","","","","","","","154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028032",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-19 [20197]","GRANITE, ALKALINE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","72.72","0.22","","13.81","","","","1.98","0.62","0.09","0.1","","5.38","4.25","0.04","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","5","","76","","","","","","207","51","39","279","62","","","","","","","","","","","","","288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028033",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-24 [20197]","MONZOSYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","52.79","1.27","","19.04","","","","6.94","4.92","2.21","0.18","","3.67","6.81","0.52","","","","","","","","","","","","","","","","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","0","","","","14","","86","","","","","","107","596","26","375","97","","","","","","","","","","","","","934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028034",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-23A [20197]","SYENITE, QUARTZ [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","62.4","0.54","","17.7","","","","4.26","2.42","0.58","0.09","","5.97","5.05","0.12","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","","","","7","","72","","","","","","164","218","27","563","58","","","","","","","","","","","","","869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028035",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s M200 [20197]","SYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","59.39","0.78","","17.04","","","","6.64","2.12","0.67","0.21","","5.43","5.38","0.22","","","","","","","","","","","","","","","","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","33","1","","","","1","","109","","","","","","175","259","43","282","63","","","","","","","","","","","","","1543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028036",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-22 [20197]","SYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","59.91","0.72","","17.87","","","","5.72","2.39","0.69","0.26","","5.43","5.25","0.23","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0","","","","0","","184","","","","","","146","287","35","269","69","","","","","","","","","","","","","1635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028037",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-23B [20197]","SYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","57.23","1.03","","17.46","","","","5.81","4.57","2.38","0.13","","4.18","5.63","0.39","","","","","","","","","","","","","","","","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","53","","","","21","","84","","","","","","123","525","23","268","63","","","","","","","","","","","","","1113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028038",
"[20197]","INTRAPLATE VOLCANICS","MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO","","-13.25","-13.5","48.27","48.27","SUBAERIAL","","","s RT-05NB-23C1 [20197]","SYENITE [20197]","","","","CENOZOIC [20197]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20197] ","56.3","1.24","","16.29","","","","8.58","3.01","1.41","0.18","","5.54","4.64","0.33","","","","","","","","","","","","","","","","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","0","","","","15","","144","","","","","","181","197","24","292","71","","","","","","","","","","","","","962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028039",
