"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7897][17053]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M420 [7897]","BASALT [7897] / BASALT, THOLEIITIC [17053]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","49.6","1.25","","14.59","","","","10.53","11.18","8.07","0.23","","0.35","2.86","0.17","","","","","","","","","","","","","","","","1.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","316","255","","","","92","","","","","","","","4","178","224","21","91","","","","","","","","","","","","","3.6","6.05","15.11","2.17","10.57","3.14","1.17","3.55","0.59","3.7","0.78","2.04","0.31","2","0.3","2.33","","","","","","","","","","","","0.49","0.09","","","","","","16.325","","15.269","","36.547","","","","","","","","","","","","","","","14447-M420",
"[7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M421 [7897]","BASALT [7897]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","54.67","2.07","","13.23","","","","12.96","7.33","3.29","0.22","","0.9","3.62","0.27","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","486","25","","","","16","","","","","","","","21","561","329","36","200","","","","","","","","","","","","","9.1","20.11","45.2","5.94","26.22","6.03","1.82","5.92","0.93","5.33","1.16","2.98","0.43","3.03","0.49","4.92","","","","","","","","","","","","2.34","0.48","","","","","","","","","","","","","","","","","","","","","","","","","14447-M421",
"[7897][17053]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M422 [7897]","BASALT [7897] / BASALT, PICRITIC [17053]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","46.52","1.25","","13.44","","","","12.04","9.36","13.17","0.18","","0.17","2.4","0.15","","","","","","","","","","","","","","","","3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","267","541","","","","461","","","","","","","","2","123","200","25","82","","","","","","","","","","","","","3.1","4.1","10.34","1.67","8.98","2.69","1.08","3.13","0.59","3.89","0.85","2.15","0.32","1.98","0.29","1.97","","","0.000009","0.8","","","","","","","","0.17","0.24","","","","","","15.871","","15.126","","35.857","","","","","0.1409","","0.1","","","","","","","","14447-M422",
"[1834][7897][17053]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M78 [1834]","ANDESITE, BASALTIC [1834]","","","UPPER [1834]","CRETACEOUS [1834]","","","","INTERGRANULAR [1834] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1834] ","56.18","1.18","","14.54","","","","9.35","8.45","4.7","0.18","","0.81","3.38","0.19","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","229","56","","","","41","98","89","","","","","","13","274","27","126","5.9","","","","","","","","","","","","","628","12.7","27.1","3.6","15.6","4.14","1.4","4","0.68","4.17","0.94","2.28","0.35","2.25","0.33","","","","","","","","","","","","","","","0.51216","","","","0.70707","15.283","","15.061","","35.684","","","","","","","","","","","","","","","14447-M78",
"[1834][7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M83 [1834]","ANDESITE, BASALTIC [1834]","","","UPPER [1834]","CRETACEOUS [1834]","","","","INTERGRANULAR [1834] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1834] ","53.46","1.21","","14.64","","","","11.06","9.56","5.04","0.17","","0.31","3.12","0.21","","","","","","","","","","","","","","","","2.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","272","53","","","","40","100","84","","","","","","7","371","20","93","4.9","","","","","","","","","","","","","298","8.5","18.8","2.6","11.8","3.35","1.19","3.33","0.55","3.39","0.77","1.93","0.26","1.79","0.28","","","","","","","","","","","","","","","0.51206","","","","0.70842","","","","","","","","","","","","","","","","","","","","14447-M83",
"[1834][7897][17053]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS","-15","-16.5","46","47.5","SUBAERIAL","","","s M87 [1834]","ANDESITE, BASALTIC [1834] / BASALT [7897]","","","UPPER [1834]","CRETACEOUS [1834]","","","","INTERGRANULAR [1834] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1834] ","52.43","2.55","","12.84","","","","14","8.3","4.24","0.2","","0.45","3.06","0.37","","","","","","","","","","","","","","","","1.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","528","37","","","","34","49","125","","","","","","11","374","26","131","7.2","","","","","","","","","","","","","390","12.2","27.9","4","19.1","4.99","1.83","5","0.83","5.12","1.16","2.69","0.39","2.72","0.39","","","","","","","","","","","","","","","0.51213","","","","0.70757","15.32","","15.058","","","","","","","","","","","","","","","","","14447-M87",
"[1834][7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR","ANTANIMENA, BONGOLAVA AND MANASAMODY PLATEAUS, DIKES","-15","-16.5","46","47.5","SUBAERIAL","","","s M54 [1834]","ANDESITE, BASALTIC [1834] / BASALT [7897]","","","UPPER [1834]","CRETACEOUS [1834]","","","","INTERGRANULAR [1834] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1834] ","52.84","2.47","","13.27","","","","13.28","8.21","4.23","0.2","","0.52","3.07","0.43","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","520","35","","","","23","56","114","","","","","","10","374","28","130","5.9","","","","","","","","","","","","","401","12.6","28.8","4.1","19.3","5.07","1.77","4.89","0.86","5.25","1.17","2.76","0.4","2.68","0.4","","","","","","","","","","","","","","","0.51213","","","","0.7076","","","","","","","","","","","","","","","","","","","","14448-M54",
"[7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / EASTERN MADAGASCAR","SANTE MARIE ISLAND","-20.8","-23.3","47.45","48.72","SUBAERIAL","","","s SM11 [7897]","BASALT [7897]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","51.33","3.51","","13","","","","13.85","8.17","3.83","0.23","","0.83","3.78","0.88","","","","","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","325","17","","","","21","","","","","","","","13","188","242","54","294","","","","","","","","","","","","","15","23","58","8.7","42","11.3","3.9","11.8","1.94","11.5","2.34","6.1","0.86","5.2","0.71","8","","","","","","","","","","","","1.77","0.54","","","","","","","","","","","","","","","","","","","","","","","","","200159",
"[7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / EASTERN MADAGASCAR","TAMPOKETSA KAMOREEN","-17.5","-17.5","47.5","47.5","SUBAERIAL","","","s M402 [7897]","BASALT [7897]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","49.96","4.74","","12.88","","","","12.48","9.2","5.42","0.17","","0.74","2.52","0.5","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","521","51","","","","72","","","","","","","","14","223","589","30","247","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200161",
"[7897]","CONTINENTAL FLOOD BASALT","MADAGASCAR FLOOD BASALT / EASTERN MADAGASCAR","TAMPOKETSA KAMOREEN","-17.5","-17.5","47.5","47.5","SUBAERIAL","","","s M405 [7897]","BASALT [7897]","","","UPPER [7897]","CRETACEOUS [7897]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7897] ","49.52","4.75","","12.61","","","","12.9","9.25","5.15","0.19","","0.71","2.91","0.57","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","502","49","","","","66","","","","","","","","13","207","606","33","246","","","","","","","","","","","","","23","23.26","57.87","8.17","37.99","9.78","3.2","8.85","1.22","6.4","1.2","2.74","0.41","2.31","0.39","6.26","","","","","","","","","","","","2.1","0.52","","","","","","","","","","","","","","","","","","","","","","","","","200162",
