"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","BEACH OUTCROPS ANSE CORAL","-4.8005","-4.8005","55.5106","55.5106","SUBAERIAL","","","s LA97M-11B [19831]","GRANITE, AMPHIBOLE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","75.72","0.24","","11.77","","","","2.24","0.49","0.02","0.09","","4.58","4.17","0.02","","","","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","34","","","","7.5","","4.3","0","","","68","0","0","69.4","20","","1","","","119.5","22.1","79.2","426.2","13.8","","","","","","","","","","","","","1213","64","132","16.4","62","12.1","2.1","12.3","","12.1","2.7","7.4","","7.7","1.21","11.4","1.5","324","","","","","","","","6","","15.6","2.8","0.512396","","","0.868072","","","","","","","","","","","","","","","","","","","","","111740-LA97M-11B",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","OUTCROPON BEACH AT ANSE AUX POULES BLEUES","-4.7413","-4.7413","55.48","55.48","SUBAERIAL","","","s LA97M-22 [19831]","GRANITE, HORNBLENDE-BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","PORPHYRITIC [19831] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","75.46","0.24","","12.34","","","","1.98","0.84","0.16","0.07","","4.61","4.08","0.02","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","93","","","","5.2","","7.8","0","","","150","0","0","66.8","17","","5","","","151.7","56.4","63.1","307.3","14.6","","","","","","","","","","","","","1083","48","100","12.1","45","8.7","1.37","8.7","","9","2.1","5.9","","6.2","0.93","10.2","2.4","869","","","","","","","","21","","19.3","3.8","0.512384","","","0.773969","","","","","","","","","","","","","","","","","","","","","111742-LA97M-22",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","ROADSIDE OUTCROPS 6 KM NW OF PORT GLAUDE","-4.6499","-4.6499","55.3984","55.3984","SUBAERIAL","","","s LA97M-23 [19831]","GRANODIORITE, HORNBLENDE-BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","PORPHYRITIC [19831] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","72.29","0.39","","13.81","","","","2.52","2.02","0.57","0.07","","3.61","4.27","0.09","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","22","","","","7.6","","26","0","","","96","0","0","49.6","16","","4","","","119.5","132.4","52","213.8","13.2","","","","","","","","","","","","","966","36","73","8.7","32","6.5","1.04","6.5","","6.9","1.6","4.6","","5.3","0.78","6.8","2.2","552","","","","","","","","18.3","","18.2","4.2","0.512434","","","0.73026","","","","","","","","","","","","","","","","","","","","","111743-LA97M-23",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","1 KM SE OF PORT GLAUDE","-4.6649","-4.6649","55.4187","55.4187","SUBAERIAL","","","s LA97M-24A [19831]","GRANITE, HORNBLENDE-BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","PORPHYRITIC [19831] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","73.84","0.32","","12.98","","","","2.27","1.29","0.29","0.07","","4.3","4.09","0.06","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","31","","","","8.1","","14.4","0","","","75","0","0","66","18","","3","","","127.5","91.1","58.3","266.4","12.2","","","","","","","","","","","","","1178","44","91","11","41","8","1.44","8.6","","8.6","1.98","5.5","","5.9","0.89","8.8","1.6","392","","","","","","","","18.7","","14.4","2.9","0.512401","","","0.743958","","","","","","","","","","","","","","","","","","","","","111744-LA97M-24A",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","BEACH OUTCROPS NEAR FSHERMAN^S COVE HOTEL, BEL OMBRE","-4.6159","-4.6159","55.4164","55.4164","SUBAERIAL","","","s LA97M-26A [19831]","DIORITE, QUARTZ-HORNBLENDE [19831]","","","","PROTEROZOIC [19831]","","","","PORPHYRITIC [19831] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","58.5","0.79","","18.46","","","","6.26","6.8","2","0.12","","1.11","4.94","0.38","","","","","","","","","","","","","","","","0.29","","","","","","","","","","","","","","","","","","","","","","","","280","","","","20.7","","66.3","0","","","49","0","0","81.1","20","","0","","","32.3","563.8","35.5","350.8","4.7","","","","","","","","","","","","","585","22.8","51.53","6.79","29.48","6.23","1.97","6.68","","5.56","1.23","3.3","","3.11","0.46","10","0.4","168","","","","","","","","8.3","","3.9","0.9","0.512327","","","0.705831","","","","","","","","","","","","","","","","","","","","","111746-LA97M-26A",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MAHE ISLAND","BEACH OUTCROPS NEAR FSHERMAN^S COVE HOTEL, BEL OMBRE","-4.6159","-4.6159","55.4164","55.4164","SUBAERIAL","","","s LA97M-26B [19831]","DIORITE, QUARTZ-HORNBLENDE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","57.4","0.8","","16.13","","","","7.96","7.17","3.87","0.18","","1.16","4.09","0.28","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","","","","","","","","","","","","612","","","","33.2","","171","0","","","75","0","0","101.2","19","","0","","","34.3","407.4","42.5","63","4.6","","","","","","","","","","","","","541","21","51","7.5","33","7","1.77","7.1","","6.5","1.46","3.9","","3.7","0.56","2.3","0.7","307","","","","","","","","7.1","","2","0.4","0.51235","","","0.706712","","","","","","","","","","","","","","","","","","","","","111746-LA97M-26B",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / STE ANNE ISLAND","NEAR ANSE CIMITIERE","-4.6089","-4.6089","55.5022","55.5022","SUBAERIAL","","","s LA97A-29 [19831]","GRANITE, AMPHIBOLE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","75.87","0.08","","12.53","","","","1.11","0.8","0.35","0.04","","5.2","3.74","0.02","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","","","","","","","115","","","","7.3","","1.9","2.1","","","182.8","1","0","75.3","27.8","","1.4","","","158.6","35.3","84.3","62.9","6.3","","","","","","","","","","","","","225","46.8","104.94","14.05","57.05","13.05","0.9","13.71","","13.23","2.85","6.95","","5.9","0.9","8.2","0.8","23","","","","","","","","25.1","","15","3.2","0.512517","","","0.852435","","","","","","","","","","","","","","","","","","","","","111749-LA97A-29",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / PRASLIN ISLAND","NEAR POINTE JOSEPHINE","-4.3224","-4.3224","55.7788","55.7788","SUBAERIAL","","","s RT97P-5 [19831]","GRANITE, HORNBLENDE-BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","73.9","0.21","","12.81","","","","2.07","1","0.07","0.04","","5.58","3.69","0.03","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","","","","","","","7","","","","3.7","","2.6","0","","","93","0","0","67","20","","10","","","277.1","36.5","92.2","335.7","21.8","","","","","","","","","","","","","119","81","167","20","72","14.3","1.3","14.2","","13.5","3","8.2","","8.1","1.16","11","2.8","563","","","","","","","","36","","38","6.1","0.512201","","","0.947814","","","","","","","","","","","","","","","","","","","","","111751-RT97P-5",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / PRASLIN ISLAND","QUARRY SE OF PRASLIN AIRPORT","-4.3","-4.3","55.7","55.7","SUBAERIAL","","","s LA97P-15 [19831]","GRANODIORITE, AMPHIBOLE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","73.32","0.31","","13.14","","","","2.55","1.37","0.36","0.1","","2.57","5.51","0.07","","","","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","113","","","","11.7","","10.2","0","","","71","0","0","67.9","17","","1","","","40.6","135.7","41.8","413.3","6.6","","","","","","","","","","","","","1770","44","89","11.2","43","8","1.97","7.8","","7","1.54","3.9","","3.8","0.59","11.2","1.1","394","","","","","","","","12.8","","7.2","1.3","0.512362","","","0.712197","","","","","","","","","","","","","","","","","","","","","111752-LA97P-15",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / LA DIGUE ISLAND","NEAR VILLAGE OF LA PASSE","-4.4","-4.4","55.8","55.8","SUBAERIAL","","","s LA97L-10 [19831]","GRANITE, HORNBLENDE-BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","75.55","0.25","","12.21","","","","1.84","0.85","0.19","0.04","","5.46","3.09","0.04","","","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","","","","","","","","","","","3","","","","3.6","","5.8","0","","","93","0","0","41.6","16","","14","","","352.5","35.2","74.1","201","15.6","","","","","","","","","","","","","230","72","142","15.9","53","10.2","0.6","9.5","","10.2","2.3","6.4","","6.6","0.97","7.4","2.5","508","","","","","","","","42","","61","10.2","0.512072","","","1.036489","","","","","","","","","","","","","","","","","","","","","111753-LA97L-10",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / MARIANNE ISLAND","EASTERN SIDE OF ISLAND","-4.345","-4.345","55.9229","55.9229","SUBAERIAL","","","s LA97M-9 [19831]","GRANITE, AMPHIBOLE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","68.01","0.49","","14.58","","","","4.29","2.41","0.39","0.1","","4.76","3.81","0.11","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","45","","","","15.6","","10.5","0","","","66","0","0","82.7","18","","6","","","133.6","163.6","47.8","481.5","13.9","","","","","","","","","","","","","1359","118","223","25","85","12.5","2.2","10.2","","8.1","1.69","4.3","","4.3","0.64","14","1.6","356","","","","","","","","24","","29","3.2","0.511912","","","0.732296","","","","","","","","","","","","","","","","","","","","","111754-LA97M-9",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / FREGATE ISLAND","300-400 M NORTH OF AIRSTRIP","-4.5787","-4.5787","55.9408","55.9408","SUBAERIAL","","","s LA97F-13C [19831]","GRANITE, AMPHIBOLE [19831]","","","","PROTEROZOIC [19831]","","","","PORPHYRITIC [19831] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","73.11","0.3","","13.22","","","","2.75","0.88","0.05","0.06","","5.45","3.42","0.03","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","91","","","","7.5","","1.1","0","","","105","0","0","72.4","21","","8","","","191.7","53.6","84.7","445.2","17.9","","","","","","","","","","","","","838","93","180","22","79","14.9","1.71","14.3","","13.2","2.9","7.6","","7.3","1.1","13","2.1","565","","","","","","","","31","","30","4.4","0.51208","","","0.805684","","","","","","","","","","","","","","","","","","","","","111755-LA97F-13C",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / FREGATE ISLAND","","-4.5839","-4.5839","55.9443","55.9443","SUBAERIAL","","","s LA97F-14 [19831]","GRANITE, BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19831] ","71.11","0.51","","14.3","","","","3","1.61","0.52","0.08","","4.22","4.22","0.13","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","140","","","","8.5","","21","0","","","91","0","0","86.5","21","","8","","","221.4","114.8","69.5","317.7","33.1","","","","","","","","","","","","","729","87","163","18","61","11.2","1.49","10.4","","10.6","2.4","6.7","","7","1.06","9.7","3.5","535","","","","","","","","30","","38","5.9","0.512069","","","0.763438","","","","","","","","","","","","","","","","","","","","","111756-LA97F-14",
"[19831]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / SEYCHELLES / RECIFS ISLAND","","-4.6","-4.6","55.9","55.9","SUBAERIAL","","","s LA97R-16 [19831]","GRANOPHYRE, BIOTITE [19831]","","","","PROTEROZOIC [19831]","","","","","VEIN","","","","","WHOLE_ROCK [19831] ","75.31","0.28","","12.42","","","","2.07","0.65","0.07","0.04","","5.88","3.14","0.03","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","29","","","","7.2","","3.3","0","","","181","0","0","74.4","20","","13","","","383.7","24.9","127.3","404.2","21.2","","","","","","","","","","","","","366","83","177","22","84","18.1","1.28","18.4","","19.2","4.3","11.7","","11.5","1.67","13.5","3.5","1048","","","","","","","","43","","46","6.5","0.512327","","","1.269553","","","","","","","","","","","","","","","","","","","","","111757-LA97R-16",
"[14422]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / MADAGASCAR / ANDRIAMENA AREA","BOREHOLE LAV-1","-22","-22","47","47","SUBAERIAL","","","s M6902 [14422]","DUNITE [14422]","","","NEO [14422]","PROTEROZOIC [14422]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [14422] ","37.4","0.04","","0.3","1.41","2.28","12.92","13.68","0.56","42.2","0.16","","0","0.3","0","","","","","","","","0.01","","","","","","","0.07","2.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959710",
"[14422]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / MADAGASCAR / ANDRIAMENA AREA","BOREHOLE LAV-1","-22","-22","47","47","SUBAERIAL","","","s M6905 [14422]","DUNITE [14422]","","","NEO [14422]","PROTEROZOIC [14422]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [14422] ","37.8","0.03","","0","0.62","2.12","12","12.71","0.21","43.9","0.16","","0.09","0.3","0","","","","","","","","0.02","","","","","","","0.08","3.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959711",
"[14422]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / MADAGASCAR / ANDRIAMENA AREA","BOREHOLE LAV-1","-22","-22","47","47","SUBAERIAL","","","s M6909 [14422]","HARZBURGITE [14422]","","","NEO [14422]","PROTEROZOIC [14422]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [14422] ","35.7","0.07","","0.5","0.93","2.85","16.15","17.1","1.2","34.9","0.16","","0.11","0.3","0","","","","","","","","0.02","","","","","","","3.36","3.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959713",
"[14422]","INTRAPLATE VOLCANICS","MADAGASCAR_SEYCHELLES_PROTEROZOIC / MADAGASCAR / ANDRIAMENA AREA","BOREHOLE LAV-1","-22","-22","47","47","SUBAERIAL","","","s M6910A [14422]","BASALT [14422]","","","NEO [14422]","PROTEROZOIC [14422]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14422] ","47.86","2.25","","14","","12.15","12.2","12.91","9.08","8.28","0.18","","0.85","2.44","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","959714",
