"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1211]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M191292-5 [1211]","BASANITE [1211]","","","","HOLOCENE [1211]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1211] ","","","","","","","","","","11.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000123","","","","","","","","","","","","","","","","","","","","","","","","0.1395","","","","","","","","","","10372",
"[1211]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M191292-6 [1211]","BASANITE [1211]","","","","HOLOCENE [1211]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1211] ","","","","","","","","","","13.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000246","","","","","","","","","","","","","","","","","","","","","","","","0.1444","","","","","","","","","","10373",
"[1211]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M191292-8 [1211]","BASANITE [1211]","","","","HOLOCENE [1211]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1211] ","","","","","","","","","","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000295","","","","","","","","","","","","","","","","","","","","","","","","0.139","","","","","","","","","","10374",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-19 [4872]","NOT GIVEN [4872]","2500000 [4872]","5200000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","43.4","2.73","","11.51","","","","11.75","11.25","13.22","0.19","","0.9","3.21","0.46","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","327","757","","","61","333","71","97","","","","","","19","517","24","214","51","","","","","","","","","","","","","294","27","63","","32","6.3","1.93","","0.8","","","","","1.33","0.2","4.9","2.8","","","","","","","","","","","2.6","0.7","","","","0.70268","","","","","","","","","","","","","","","","","","","","","104838",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-209 [4872]","NOT GIVEN [4872]","2500000 [4872]","5200000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","44.54","2.84","","14.53","","","","11.44","11.76","8.86","0.19","","0.92","2.13","0.89","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","335","271","","","44","212","62","91","","","","","","22","964","41","344","83","","","","","","","","","","","","0.8","429","70","120","","52","9.6","3","","1.4","","","","","2.02","0.31","6.4","3.7","","","","","","","","","","","6.7","1.7","0.512981","","","0.70287","","19.163","","15.548","","38.897","","","","","","","","","","","","","","","104840",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-378 [4872]","NOT GIVEN [4872]","2500000 [4872]","5200000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","43.88","3","","14.82","","","","12.69","10.23","9","0.2","","0.89","3.62","0.71","","","","","","","","","","","","","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","322","172","","","49","126","35","114","","","","","","23","694","32","275","48","","","","","","","","","","","","","200","35","77","","40","8","2.52","","1.2","","","","","1.87","0.27","5.9","2.2","","","","","","","","","","","3.4","1","","","","","","","","","","","","","","","","","","","","","","","","","104841",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-70 [4872]","NOT GIVEN [4872]","1000000 [4872]","2500000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","44.81","2.23","","13.27","","","","11.77","11.78","11.54","0.19","","0.47","2.7","0.52","","","","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","335","505","","","50","255","83","93","","","","","","9","620","27","213","70","","","","","","","","","","","","","486","36","72","","34","6","1.98","","0.8","","","","","1.58","0.26","4.8","4.3","","","","","","","","","","","3.8","1.3","","","","","","","","","","","","","","","","","","","","","","","","","104844",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-85 [4872]","NOT GIVEN [4872]","1000000 [4872]","2500000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","44.74","2.83","","13.68","","","","12.12","11.08","10.91","0.19","","1","2.04","0.51","","","","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","325","561","","","52","230","43","99","","","","","","21","589","32","198","46","","","","","","","","","","","","","267","31","65","","30","6.4","2.1","","1","","","","","1.69","0.26","4.8","2.6","","","","","","","","","","","2.7","0.6","","","","","","","","","","","","","","","","","","","","","","","","","104845",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s M-229 [4872]","NOT GIVEN [4872]","1000000 [4872]","2500000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","45.52","2.82","","15.15","","","","11.61","10.1","8.25","0.18","","1.02","3.43","0.78","","","","","","","","","","","","","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","291","230","","","43","142","40","96","","","","","","23","788","35","306","67","","","","","","","","","","","","0.4","401","56","100","","47","8.6","3.81","","1.2","","","","","1.85","0.29","6.2","3.2","","","","","","","","","","","5.5","1.8","","","","","","","","","","","","","","","","","","","","","","","","","104846",
"[4872]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN","","32.75","32.75","-17","-17","SUBAERIAL","","","s PM-7 [4872]","NOT GIVEN [4872]","1000000 [4872]","2500000 [4872]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4872] ","42.8","2.7","","11.4","","","","12.06","10.4","13.1","0.2","","0.92","1.53","0.52","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","782","","","59","360","57","100","","","","","","19","586","23","181","45","","","","","","","","","","","","","442","51","101","","46","9.2","3.18","7.2","","5.5","","2.5","","2.2","","4.9","2.8","","","","","","","","","","","4.3","1.1","0.51282","","","0.7029","","19.509","","15.569","","39.205","","","","","","","","","","","","","","","104847",
