"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340018 [10466]","DACITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","64.8","0.77","","15.5","","4.76","0.53","","2.52","0.79","0.1","","4.39","6.2","0.27","","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","10","","","","","452","","","","","","","","","","","67","","","","","34","","51","25","","","","","64","280","55","242","16","3","","","","","","","","","","","","764","45","103","","","","","","","","","","","","","","","","","","","","","","","11","","11","0","","","","","","","","","","","","","","","","","","","","","","","","","305058",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340022 [10466]","ANDESITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","60.2","0.52","","18.2","","2.79","2.66","","4.93","1.84","0.1","","3.92","4.64","0.29","","","","","","","","","","","","","","","","1.04","","","","","","","","","","","","","","26","","","","","700","","","","","","","","","","","74","","","","","16","","35","20","","","","","107","857","25","103","3","3","","","","","","","","","","","","1019","30","86","","","","","","","","","","","","","","","","","","","","","","","10","","6","2","","","","","","","","","","","","","","","","","","","","","","","","","305059",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340048 [10466]","DACITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","67","0.66","","13.1","","4.89","1.34","","0.8","2.2","0.04","","6.25","3.72","0.48","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","255","","","","","1528","","","","","","","","","","","44","","","","","56","","186","27","","","","","322","128","36","298","15","2","","","","","","","","","","","","450","44","82","","","","","","","","","","","","","","","","","","","","","","","26","","13","4","","","","","","","","","","","","","","","","","","","","","","","","","305060",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340004 [10466]","RHYOLITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","76.7","0.13","","11.6","","1.44","1.06","","0.19","0.12","0.02","","5.24","3.39","0.02","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","5","","","","","0","","","","","","","","","","","0","","","","","35","","22","25","","","","","78","63","67","370","26","2","","","","","","","","","","","","447","55","207","","","","","","","","","","","","","","","","","","","","","","","85","","19","3","","","","","","","","","","","","","","","","","","","","","","","","","305061",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340006 [10466]","RHYOLITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","75.3","0.24","","11.4","","3.35","0.49","","0.87","0.04","0.09","","4.87","3.5","0.01","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","6","","","","","0","","","","","","","","","","","14","","","","","50","","191","30","","","","","100","11","97","470","35","3","","","","","","","","","","","","99","86","270","","","","","","","","","","","","","","","","","","","","","","","14","","14","4","","","","","","","","","","","","","","","","","","","","","","","","","305062",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP","","55","55","-58","-58","SUBAERIAL","","","s 0340044 [10466]","RHYOLITE [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10466] ","76.4","0.17","","11.15","","2.17","1.13","","0.18","0.05","0.02","","5.51","3.12","0.02","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","8","","","","","73","","","","","","","","","","","12","","","","","75","","94","30","","","","","134","25","128","747","43","2","","","","","","","","","","","","51","96","181","","","","","","","","","","","","","","","","","","","","","","","44","","19","3","","","","","","","","","","","","","","","","","","","","","","","","","305063",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS","","54.5","55.25","-59","-60","SUBAERIAL","","","s 0340001 [10466]","NOT GIVEN [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [10466] ","72.3","0.37","","14.05","","0.88","1.3","","1","0.65","0.02","","4.4","4.38","0.07","","","","","","","","","","","","","","","","0.92","","","","","","","","","","","","","","10","","","","","304","","","","","","","","","","","33","","","","","32","","66","18","","","","","18","852","40","319","14","3","","","","","","","","","","","","825","25","161","","","","","","","","","","","","","","","","","","","","","","","31","","16","3","","","","","","","","","","","","","","","","","","","","","","","","","305064",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS","","54.5","55.25","-59","-60","SUBAERIAL","","","s 0340031 [10466]","NOT GIVEN [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [10466] ","71.4","0.43","","13.9","","0.9","1.4","","0.99","0.45","0.04","","5.5","3.9","0.07","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","12","","","","","360","","","","","","","","","","","20","","","","","46","","6","21","","","","","135","95","64","351","28","3","","","","","","","","","","","","553","81","162","","","","","","","","","","","","","","","","","","","","","","","19","","15","3","","","","","","","","","","","","","","","","","","","","","","","","","305065",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS","","54.5","55.25","-59","-60","SUBAERIAL","","","s 0340035 [10466]","NOT GIVEN [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [10466] ","69.6","0.56","","14.8","","1.44","1.57","","1.08","0.67","0.07","","5.59","4.75","0.13","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","14","","","","","1048","","","","","","","","","","","24","","","","","47","","43","28","","","","","97","169","70","344","38","3","","","","","","","","","","","","821","76","173","","","","","","","","","","","","","","","","","","","","","","","23","","11","4","","","","","","","","","","","","","","","","","","","","","","","","","305066",
"[10466]","INTRAPLATE VOLCANICS","MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / POSTKINEMATIC GRANITOID ROCKS","","54.5","55.25","-59","-60","SUBAERIAL","","","s 0340003 [10466]","NOT GIVEN [10466]","1660000000 [10466]","1800000000 [10466]","PALEO [10466]","PROTEROZOIC [10466]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [10466] ","74.3","0.19","","13.95","","0.88","0.88","","0.73","0.18","0.07","","4.99","4.26","0.03","","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","23","","","","","1160","","","","","","","","","","","0","","","","","36","","0","23","","","","","84","25","69","562","34","3","","","","","","","","","","","","225","21","144","","","","","","","","","","","","","","","","","","","","","","","8","","11","2","","","","","","","","","","","","","","","","","","","","","","","","","305067",
