"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 2 / PACIFIC OCEAN","","-9.25","-9.25","-164.32","-164.32","SUBAQUATIC","3746","3939","s D2-1 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [10583] ","50.7","0.57","","14.69","","13.02","","","11.23","7.57","0.18","","0.32","2","0.05","1.43","","","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","53","75","","","","","","","","3.981","60.87","8.7","19.2","6.08","","","","","","","","","","","","0.141","38.5","2.1","3.9","0.497","3.564","1.03","0.362","0.94","0.202","1.51","0.337","1.02","0.164","1.11","0.178","0.55","0.409","","","","","","","","","0.6528","","0.4973","0.1757","0.5129","","","0.70364","","19.144","","15.648","","38.877","","","","","","","","","","","","","","","314732",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 3 / PACIFIC OCEAN","","-8.45","-8.45","-163.84","-163.84","SUBAQUATIC","3986","4424","s D3-1 [10583]","TRACHYBASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [10583] ","48.5","2.65","","17.24","","8.49","","","10.35","1.52","0.08","","3.24","3.47","3.06","1.26","","","","","","","","","","","","","","","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455","","","19","57","","","","","","","","65.41","631.1","59","217","65.2","","","","","","","","","","","","2.36","490","83.9","78.1","16","43.35","8.581","4.18","13.5","2","11.4","2.09","5.48","0.776","4.86","0.708","5.17","6.53","","","","","","","","","2.73","","5.116","1.828","0.512831","","","0.7041","","19.769","","15.673","","39.472","","","","","","","","","","","","","","","314733",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 3 / PACIFIC OCEAN","","-8.45","-8.45","-163.84","-163.84","SUBAQUATIC","3986","4424","s D3-2 [10583]","TRACHYBASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [10583] ","49.7","2.65","","18.25","","7.28","","","9.82","1.19","0.07","","3.55","3.61","3.01","1.43","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353","","","12","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314734",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 3 / PACIFIC OCEAN","","-8.45","-8.45","-163.84","-163.84","SUBAQUATIC","3986","4424","s D3-4 [10583]","TRACHYBASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [10583] ","49.2","2.64","","18.06","","7.63","","","9.83","1.21","0.09","","3.51","3.56","3.03","1.57","","","","","","","","","","","","","","","1.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357","","","21","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314735",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 4 / PACIFIC OCEAN","","-6.71","-6.71","-162.76","-162.76","SUBAQUATIC","4795","5131","s D4-3 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [10583] ","49","0.88","","16.36","","15.89","","","4.36","8.26","0.1","","4.22","1.34","0.04","3.3","","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","","","45","191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314736",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 2 / PACIFIC OCEAN","","-9.25","-9.25","-164.32","-164.32","SUBAQUATIC","3746","3939","s D2-2 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [10583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.722","72.09","13.7","29.9","9.94","","","","","","","","","","","","0.11","42.9","3.51","6.3","0.833","5.563","1.535","0.499","1.52","0.316","2.29","0.534","1.54","0.253","1.71","0.273","0.836","0.671","","","","","","","","","1.378","","0.729","0.5016","0.512915","","","0.70367","","19.131","","15.657","","38.691","","","","","","","","","","","","","","","314737",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 2 / PACIFIC OCEAN","","-9.25","-9.25","-164.32","-164.32","SUBAQUATIC","3746","3939","s D2-3 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [10583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","71.9","19.9","24.7","8.44","","","","","","","","","","","","0.592","47.9","6.56","7.53","1.215","5.22","1.37","0.549","1.96","0.399","2.8","0.66","1.93","0.31","2.08","0.323","0.745","0.576","","","","","","","","","0.717","","0.628","0.65","","","","","","","","","","","","","","","","","","","","","","","","","314738",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 2 / PACIFIC OCEAN","","-9.25","-9.25","-164.32","-164.32","SUBAQUATIC","3746","3939","s D2-6 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [10583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7","68.5","39.6","21.2","5.78","","","","","","","","","","","","0.617","37.3","9.16","5.13","1.249","5.39","1.46","0.586","2.5","0.536","4.22","1.11","3.44","0.566","3.9","0.639","0.581","0.391","","","","","","","","","0.583","","0.446","0.872","","","","","","","","","","","","","","","","","","","","","","","","","314739",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 2 / PACIFIC OCEAN","","-9.25","-9.25","-164.32","-164.32","SUBAQUATIC","3746","3939","s D2-8 [10583]","BASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [10583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05","62.3","18.2","23.7","7.97","","","","","","","","","","","","0.163","23.6","4.36","9.91","1.091","4.82","1.44","0.59","2.01","0.42","3.1","0.692","1.99","0.325","2.18","0.348","0.73","0.55","","","","","","","","","0.333","","0.608","0.234","","","","","","","","","","","","","","","","","","","","","","","","","314740",
"[10583]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 3 / PACIFIC OCEAN","","-8.45","-8.45","-163.84","-163.84","SUBAQUATIC","3986","4424","s D3-2 [10583]","TRACHYBASALT [10583]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [10583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1","483","40.9","202","71.3","","","","","","","","","","","","1.28","516","50.3","53.2","9.65","38.4","7.69","2.65","8.48","1.23","7.33","1.38","3.64","0.53","3.35","0.499","4.74","9.41","","","","","","","","","2.58","","4.29","0.886","","","","","","","","","","","","","","","","","","","","","","","","","314741",
