"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 2-1 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","49.6","1.72","","12.7","","","","13.86","9.18","5.43","0.24","","0.64","2.46","0.24","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096907",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 2-2 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","49.8","1.78","","12.6","","","","13.59","8.46","5.35","0.21","","0.89","2.67","0.25","","","","","","","","","","","","","","","","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096908",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 3-1 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","49.1","2.78","","12.1","","","","16.11","8.1","4.07","0.22","","1.33","2.14","0.47","","","","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096909",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 3-2 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","49.2","2.8","","12.1","","","","16.2","8.17","6.99","0.22","","1.29","2.23","0.48","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096910",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 5-1 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","51.3","1.65","","19.2","","","","13.95","9.5","5.14","0.2","","0.88","2.31","0.19","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096911",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 5-2 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","50.8","1.63","","13.2","","","","13.5","8.83","5.19","0.22","","0.84","2.14","0.19","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096912",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 5-3 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","50.3","1.82","","19.1","","","","13.5","8.99","5.07","0.17","","1.23","2.36","0.19","","","","","","","","","","","","","","","","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096913",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 6-1 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","50.5","1.7","","13.1","","","","12.24","10.8","4.8","0.25","","0.77","2.26","0.2","","","","","","","","","","","","","","","","1.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096914",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 7-1 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","50.5","1.73","","13.9","","","","11.61","8.4","5.24","0.31","","0.87","2.69","0.2","","","","","","","","","","","","","","","","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096915",
"[16949]","CONTINENTAL FLOOD BASALT","MARATHON LARGE IGNEOUS PROVINCE / MARATHON DIKE SWARM","PALEOMAGNETIC SITE 22","50","50","-88","-88","SUBAERIAL","","","s 7-2 [16949]","DOLERITE [16949]","","","PALEO [16949]","PROTEROZOIC [16949]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16949] ","50.9","1.64","","14.1","","","","13.05","9.42","4.91","0.22","","0.81","2.16","0.19","","","","","","","","","","","","","","","","1.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096916",
