"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2390][2409]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION / PACIFIC OCEAN","ABOUT 1,240M DUE EAST OF PUNTAN FLORES, NORTHWEST OF ISLAND","15.2","15.2","145.72","145.72","SUBAERIAL","","","s MSS-135 [2390]","ANDESITE [2390]","40000000 [2409]","40000000 [2409]","UPPER [2390]","EOCENE [2390]","","","","PORPHYRITIC PILOTAXITIC [2409] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2390] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.08","","9.74","2.89","0.87","3.34","","4.08","","2.67","","2.69","","","","","","","","","","","","2.96","","0.94","0.32","","","","0.70357","","18.302","","15.477","","37.889","","","","","","","","","","","","","","","10003-MSS-135",
"[2409]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE SC 35 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 1","20.9083","20.9083","142.5667","142.5667","SUBAQUATIC","-1790","-2355","s SC-35-D [2409]","DACITE [2409]","","","","NEOGENE [2409]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2409] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.874","","15.565","","38.383","","","","","","","","","","","","","","","10040-SC 35-D",
"[2388]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE MARA-52 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 6","17.91","17.93","147.67","147.76","SUBAQUATIC","","","s D52 [2388]","BASALT [2388] / BASALT, ALKALINE [2388]","","","","","","","","VARIOLITIC [2388] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2388] ","51.08","3.1","","14.88","","10.95","6.61","","12.98","9.37","0.15","","0.27","1.51","1.47","","1.05","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","167","","","","83","","","","","","","","60","774","9","307","110","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10095-D52",
"[2388]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE MARA-36 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 7","17.88","17.89","147.67","147.69","SUBAQUATIC","","","s D36/52 [2388]","ANDESITE [2388] / DACITE [2388]","","","","","","","","VESICULAR, COMMONLY PILOTAXITIC [2388] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [2388] ","55.48","0.78","","14.49","","3.63","5.29","","4.09","1.45","0.22","","0.76","3.98","0.18","","3.85","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","21","","","","28","","","","","","","","14","79","23","58","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10096-D36/52",
"[2388]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE MARA-51 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 11","16.41","16.43","147.71","147.72","SUBAQUATIC","","","s D51 [2388]","BASALT, ALKALINE [2388] / ANDESITE [2388]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2388] ","55.22","0.4","","15.34","","1.81","4.09","","7.53","7.2","0.12","","1.06","2.6","0.09","","3.53","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","313","","","","134","","","","","","","","5","123","13","44","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10098-D51",
"[2388]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE MARA-51 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 12","15.71","15.78","147.6","147.63","SUBAQUATIC","","","s D50 [2388]","BASALT [2388] / BASALT, ALKALINE [2388]","","","","","","","","VARIOLITIC [2388] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [2388] ","49.86","0.19","","10.84","","4.62","6.18","","6.99","15.24","0.15","","1.26","0.84","0.05","","4.28","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158","915","","","","143","","","","","","","","12","86","6","35","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10099-D50",
"[2395]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 6, HOLE 454","18.013","18.013","144.532","144.532","SUBAQUATIC","-3819","-3819","s 60-M454-14-1 [2395]","BASALT [2395]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","VOLCANIC GLASS [2395] ","52.79","1.15","","17.01","","","","7.89","10.99","7.18","","","0.24","2.67","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10223-M454-14-1",
"[3178]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 6, CORE 46KL","18.0442","18.0442","144.7805","144.7805","SUBAQUATIC","-4700","-4700","s 4646-D30 [3178]","ANDESITE, BASALTIC [3178]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [3178] ","56.1","1.3","","14.1","","","","9.3","5.9","2.1","0.23","","2.3","2.9","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10251-4646-D30",
"[2916][8514]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE DS / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 12","16.18","16.18","144.79","144.79","SUBAQUATIC","-3838","-4052","s DS18-1-6 [2916]","BASALT [2916]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [2916] ","","","","","","","","","","","","","","","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","35.4","","244","238","","","33.9","75","69","","14.6","","","","","5","210","23.2","56.1","2.38","","","","","","","","","","","","0.1","66","3.94","9.44","1.53","7.51","2.45","0.9","3.11","0.56","3.82","0.78","2.33","0.35","2.2","0.34","1.57","0.152","","","","","","","","","0.7","","0.415","0.144","","","","","","","","","","","","","","","","","","","","","","","","","10323-DS18-1-6",
"[2916][8514]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TROUGH / DREDGE DS / PACIFIC OCEAN","CENTRAL MARIANA TROUGH, SEGMENT 8","16.96","16.96","144.78","144.78","SUBAQUATIC","-3055","-3287","s DS22-2-2 [2916]","BASALT [2916]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [2916] ","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","","","","","","","","","","32.2","","171","222","","","44.3","120","102","","16","","","","","1.4","269","25","98.2","4.38","","","","","","","","","","","","0.01","17","4.71","11.84","1.78","8.4","2.57","1.06","3.3","0.59","3.97","0.84","2.43","0.36","2.39","0.37","2.26","0.292","","","","","","","","","0.5","","0.236","0.096","","","","","","","","","","","","","","","","","","","","","","","","","10324-DS22-2-2",
