"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD1-1 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","48.9","1.63","","13","","","","13.95","11.1","6.12","0.218","","0.166","1.99","0.116","","","","","","","","","","","","","","","","0.565","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","9774","376","59.8","1764","","54.3","76.9","193","112","19","1.95","","","","6.79","142","26","92","5.9","","","","","","","","","","","","0.201","37.7","6.12","16.3","2.47","12.4","3.51","1.26","4.56","0.786","5.12","1.09","2.92","0.434","2.57","0.416","2.46","0.393","","","","","","","","","0.396","","0.508","0.135","","","","","","","","","","","","","","","","","","","","","","","","","784498",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD1-2 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","48.9","1.26","","12.5","","","","12.51","12","7.96","0.203","","0.174","1.71","0.0683","","","","","","","","","","","","","","","","0.614","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","7629","329","134","1640","","55.2","109","172","91.7","15.8","1.79","","","","8.52","125","17.5","61","3.65","","","","","","","","","","","","0.195","29.9","3.81","10.2","1.56","8.17","2.37","0.882","3.12","0.552","3.56","0.759","1.98","0.308","1.86","0.307","1.65","0.331","","","","","","","","","0.729","","0.356","0.082","0.512755","","","","","","","","","","","","","","","","","","","","","","","","784499",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD1-3 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","49.2","1.21","","13","","","","12.24","12","7.57","0.196","","0.16","1.83","0.0752","","","","","","","","","","","","","","","","0.572","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3","6999","322","143","1624","","53.9","106","164","92.2","16.5","1.88","","","","8.84","134","19.2","61.3","3.9","","","","","","","","","","","","0.245","30","4.2","11.3","1.73","8.8","2.53","0.958","3.25","0.564","3.88","0.832","2.16","0.323","1.95","0.313","1.7","0.252","","","","","","","","","0.641","","0.368","0.092","0.512814","","","","","","","","","","","","","","","","","","","","","","","","784500",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD1-4 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","49.3","1.2","","13.6","","","","12.24","11.8","6.97","0.2","","0.137","1.93","0.0732","","","","","","","","","","","","","","","","0.564","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3","7002","327","73.4","1624","","54.4","94.5","198","90.8","17","1.84","","","","5.33","144","18.2","61","3.84","","","","","","","","","","","","0.217","28.2","3.98","10.6","1.64","8.26","2.44","0.949","3.07","0.556","3.65","0.767","2.06","0.313","1.86","0.3","1.63","0.246","","","","","","","","","0.844","","0.364","0.087","","","","","","","","","","","","","","","","","","","","","","","","","784501",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD3-1 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","48.8","1.34","","13.2","","","","12.96","11.4","6.86","0.209","","0.483","1.96","0.09","","","","","","","","","","","","","","","","0.568","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","8108","343","89.9","1717","","56","95.6","168","108","17","1.88","","","","24.6","131","21.7","78.3","4.58","","","","","","","","","","","","0.403","70.6","5.35","14.1","2.1","10.5","2.99","1.09","3.78","0.671","4.31","0.925","2.52","0.379","2.29","0.372","2.1","0.306","","","","","","","","","2.54","","0.591","0.149","0.512703","","","","","","","","","","","","","","","","","","","","","","","","784502",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD3-2 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","49","1.18","","13.3","","","","12.06","11.8","7.63","0.19","","0.41","1.72","0.0787","","","","","","","","","","","","","","","","0.623","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9","6816","314","158","1594","","53.8","114","142","90.8","16","1.76","","","","22.1","127","18.9","66.6","3.96","","","","","","","","","","","","0.344","58.9","4.44","11.8","1.76","8.83","2.45","0.927","3.25","0.576","3.6","0.778","2.12","0.328","1.94","0.329","1.82","0.267","","","","","","","","","1.36","","0.543","0.129","","","","","","","","","","","","","","","","","","","","","","","","","784503",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD3-3 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","49.1","1.06","","13.4","","","","11.7","12.1","7.91","0.191","","0.283","1.65","0.0637","","","","","","","","","","","","","","","","0.617","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1","6291","309","122","1561","","55.5","117","156","86.4","15.6","1.69","","","","17.2","127","16.5","56.6","3.21","","","","","","","","","","","","0.34","45.1","3.72","9.83","1.47","7.26","2.19","0.808","2.82","0.482","3.26","0.708","1.91","0.285","1.74","0.286","1.46","0.24","","","","","","","","","0.822","","0.447","0.115","0.512715","","","","","","","","","","","","","","","","","","","","","","","","784504",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD5-3 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","47.3","2.36","","12.6","","","","14.31","11.3","6.34","0.216","","0.268","2.21","0.144","","","","","","","","","","","","","","","","0.607","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","12620","513","148","1645","","52.1","94.6","234","113","20","1.85","","","","7.06","185","26.8","115","7.77","","","","","","","","","","","","0.25","75.7","7.61","19.6","2.99","15","4.12","1.46","5.34","0.918","5.46","1.13","3.08","0.45","2.84","0.41","2.85","0.5","","","","","","","","","0.93","","0.814","0.216","0.51265","","","","","","","","","","","","","","","","","","","","","","","","784505",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD5-5 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","47.4","2.34","","12.6","","","","14.22","11.3","6.45","0.216","","0.263","2.09","0.142","","","","","","","","","","","","","","","","0.594","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3","12959","510","159","1727","","53.2","96.4","238","115","19.8","1.92","","","","7.38","184","26.8","116","7.88","","","","","","","","","","","","0.236","78.2","7.7","19.4","3","15","4.09","1.5","5.2","0.879","5.48","1.06","2.98","0.454","2.73","0.399","2.8","0.563","","","","","","","","","0.904","","0.899","0.237","","","","","","","","","","","","","","","","","","","","","","","","","784506",
"[18195]","CONTINENTAL FLOOD BASALT","MARNDA MOORN LARGE IGNEOUS PROVINCE / GNOWANGERUP-FRASER DIKE SUITE / RAVENSTHORPE DIKES","","-33","-34","119","120","SUBAERIAL","","","s RD6-1 [18195]","DOLERITE [18195]","1210000000 [18195]","1210000000 [18195]","MESO [18195]","PROTEROZOIC [18195]","","","","MEDIUM- TO COARSE-GRAINED [18195] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18195] ","49.3","1.69","","13.6","","","","12.96","11.1","5.96","0.202","","0.37","2.06","0.111","","","","","","","","","","","","","","","","0.582","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8","9558","352","72","1632","","49.2","73.4","188","110","19.3","1.81","","","","12.8","166","24.7","95.8","6.26","","","","","","","","","","","","0.328","83.6","6.29","16.1","2.46","12.1","3.43","1.28","4.4","0.809","4.87","1.03","2.75","0.406","2.46","0.374","2.37","0.419","","","","","","","","","0.892","","0.633","0.166","0.512716","","","","","","","","","","","","","","","","","","","","","","","","784507",
