"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-01 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","45.05","3.73","","15.88","","","","10.74","9.68","5.53","0.19","","1.03","3.36","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","42","1017","29","317","64","","","","","","","","","","","","","706","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","8.7","","","","","","","","","","","","","","","","","","","","","","","","","","19066",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-02 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","42.2","4.15","","13.53","","","","12.44","10.59","8.12","0.19","","0.67","3.5","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","80","917","28","323","59","","","","","","","","","","","","","623","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","19067",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-101 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","42.44","4.13","","13.57","","","","12.44","10.58","8.03","0.19","","0.64","3.59","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","","","","","","","","72","921","28","325","59","","","","","","","","","","","","","621","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","8.3","","","","","","","","","","","","","","","","","","","","","","","","","","19068",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-117 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","43.4","4.05","","13.99","","","","11.97","10.28","7.8","0.16","","0.94","2.75","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","","","","","","","","80","844","27","320","59","","","","","","","","","","","","","671","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","7.8","","","","","","","","","","","","","","","","","","","","","","","","","","19069",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-150 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","43.89","3.91","","15.02","","","","11.77","10.08","5.34","0.18","","1","3.99","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","101","1091","30","381","74","","","","","","","","","","","","","695","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","19070",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-167 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","43.38","4.11","","14.47","","","","12.17","10.76","7.51","0.2","","1.01","2.39","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","","","","","","50","879","39","313","58","","","","","","","","","","","","","611","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","19071",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-172 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","43.55","4.13","","14.48","","","","12.28","10.54","7.08","0.17","","0.57","3.65","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","","","","","","61","885","27","317","58","","","","","","","","","","","","","581","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","7.4","","","","","","","","","","","","","","","","","","","","","","","","","","19072",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-185 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","43.16","3.28","","14.35","","","","12.35","10.76","8.3","0.18","","1.64","2.78","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","","","","","","","73","834","23","221","50","","","","","","","","","","","","","564","47.5","95.63","10.27","36.1","7.02","2.31","6.55","","4.51","0.9","2.03","","1.65","0.25","","","","","","","","","","","3.3","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","19073",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-211 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","44.19","2.82","","13.29","","","","11.47","10.52","10.55","0.18","","1.37","3.05","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217","","","","","","","","42","728","21","228","47","","","","","","","","","","","","","525","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","19074",
"[1350]","OCEAN ISLAND","MARQUESAS / UA POU / PACIFIC OCEAN","","-9.42","-9.42","-140","-140","SUBAERIAL","","","s UAP-302 [1350]","BASALT, ALKALINE [1350]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1350] ","45.67","3.74","","16.23","","","","10.8","9.69","5.55","0.19","","1.15","3.81","0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","44","1045","32","312","64","","","","","","","","","","","","","680","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","19076",
