"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 01110/1 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","50.4","0.585","","11.4","","","","10.26","8.8","14.7","0.175","","0.75","1.63","0.07","","","","","","","","","","","","","","","","2.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","1475","","","67","415","","","","","","","","","","","","","","0.00245","","0.012","","","","","","","","","","","","","","","","","","","","","","","","","","0.0593","0.00045","0.0001963","0.000514","0.0127","","","","","","","","","","","","","","","","","","","","","","0.59158","","11.72","","","","","","","","1027162",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12110/1 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","49.8","0.58","","11.5","","","","10.53","8.87","14.6","0.19","","0.72","1.65","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","","194","1349","","","51","366","87.3","","12.2","","","","","","","12.5","49.7","2.1","","","","","","","","","","","","","","6.73","14.5","1.93","8.22","1.96","0.663","2.2","0.353","2.28","0.478","1.4","0.203","1.35","0.2","1.45","","","","","","","","","","","","1.03","0.222","","","","","","","","","","","","","","","","","","","","","","","","","1027163",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 1110 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","50.7","0.595","","11.6","","","","10.26","9.11","13.9","0.175","","0.34","1.83","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194","1380","","","63","374","","","","","","","","","","","","","","0.00244","","0.0127","","","","","","","","","","","","","","","","","","","","","","","","","","0.0667","0.000467","0.0001985","0.000457","0.013","","","","","","","","","","","","","","","","","","","","","","0.60509","","12.05","","","","","","","","1027164",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 1111 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","51.1","0.602","","11.8","","","","10.44","9.16","13.5","0.184","","0.14","1.43","0.07","","","","","","","","","","","","","","","","2.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","1478","","","62","340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027166",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12111 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","50.3","0.6","","11.9","","","","10.71","9.18","13.6","0.2","","0.12","1.42","0.07","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199","1374","","","46","351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027167",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 1117 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","50.8","0.664","","12.9","","","","10.62","10.4","10","0.211","","0.11","2.02","0.08","","","","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","788","","","71","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027169",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 1101 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","52","0.687","","13.3","","","","10.17","10.8","8.79","0.212","","0.46","1.71","0.1","","","","","","","","","","","","","","","","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","536","","","63","131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027171",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12101 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","51","0.67","","13.3","","","","10.53","10.4","10.1","0.2","","0.36","1.92","0.09","","","","","","","","","","","","","","","","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1","","216","607","","","54","241","99.7","","13.8","","","","","","","14.2","56.9","2.38","","0.000647","","0.0121","","","","","","","","","","7.73","16.7","2.24","9.617","2.248","0.743","2.6","0.411","2.62","0.546","1.6","0.232","1.58","0.229","1.59","","","0.000526","0.00002723","0.0000513","0.0119","","","","","","1.17","0.253","0.511733","","","","","","","","","","","","","","7.4768","","180","","","","","","","","1027172",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12107 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","52.7","0.67","","14.1","","","","9.81","11.6","7.77","0.19","","0.25","1.84","0.09","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232","479","","","40","186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24","1.94","","","","","","","","","","","","0.0648","","","","","","","","","","","","0.511733","","","","","","","","","","","","","","","","","","","","","","","","1027174",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12108 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","52.8","0.7","","14.1","","","","9.81","11.3","7.47","0.18","","0.33","1.84","0.09","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","438","","","29","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027175",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s 12109 [20191]","BASALT, KOMATIITIC [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20191] ","52.7","0.69","","14.2","","","","9.81","11.4","7.46","0.19","","0.26","1.92","0.09","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243","437","","","40","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0689","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027176",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K04 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","67.4","0.27","","17.9","","","","2.47","4.06","1.5","0.04","","0.72","5.34","0.08","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82","","48","37","","","0","12","24.9","","21","","","","","","","2.82","100","1.92","","0.0000042","","0.0000236","","","","","","","","","","18","31.3","3.38","11.37","1.605","0.741","1.2","0.13","0.639","0.114","0.296","0.0391","0.27","0.04255","2.73","","0.0786","0.0000219","0.000002976","0.00000298","0.0000683","","","","","","2.65","0.164","0.510387","","","","","","","","","","","","","","3.0763","","47.42","0.28089","","","","","","","1027199",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K10 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","70.7","0.35","","16.1","","","","2.61","3.32","1.04","0.04","","1","4.48","0.1","","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09","","62","17","","","0","7","10","","18.6","","","","","","","4.09","186","3.25","","0.00000924","","0.0000149","","","","","","","","","","32.2","55.4","5.72","18.68","2.402","0.812","1.72","0.181","0.894","0.161","0.423","0.0557","0.364","0.0588","4.47","","0.0788","0.0000118","0.000005647","0.00000298","0.000208","","","","","","4.1","0.26","0.510226","","","","","","","","","","","","","","0.9694","","11.11","0.280953","","","","","","","1027200",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K13 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","68.5","0.37","","16.6","","","","3.26","3.94","1.32","0.05","","1.01","4.74","0.12","","","","","","","","","","","","","","","","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.92","","58","15","","","0","5","20.1","","20.2","","","","","","","6.92","151","4.1","","0.0000107","","0.0000959","","","","","","","","","","23.7","39.4","4.65","16.23","2.409","0.811","1.97","0.242","1.34","0.26","0.739","0.106","0.695","0.105","4.234","","0.169","0.0000476","0.00000565","0.00000381","0.000125","","","","","","2.8","0.256","0.510464","","","","","","","","","","","","","","3.6195","","57.76","0.280957","","","","","","","1027201",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K14 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","66.1","0.35","","17.8","","","","3.47","4.73","1.54","0.06","","0.9","4.87","0.14","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","","68","10","","","0","2","45.6","","21.3","","","","","","","12.4","163","2.97","","","","","","","","","","","","","","26.2","58.6","6.19","22.66","3.86","0.889","3.17","0.42","2.43","0.474","1.36","0.195","1.28","0.1873","3.843","","0.0536","","","","","","","","","","4.48","0.393","0.510696","","","","","","","","","","","","","","","","","0.281194","","","","","","","1027202",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K04 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510391","","","","","","","","","","","","","","","","","","","","","","","","1027214",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K10 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510232","","","","","","","","","","","","","","","","","","","","","","","","1027215",
"[20191]","CONTINENTAL FLOOD BASALT","MATACHEWAN LARGE IGNEOUS PROVINCE / VETRENY GREENSTONE BELT","VICTORIA^S LAVA LAKE","63.6","64.6","34.8","37.8","SUBAERIAL","","","s K13 [20191]","TONALITE [20191]","2400000000 [20191]","2400000000 [20191]","","PROTEROZOIC [20191]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20191] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.510465","","","","","","","","","","","","","","","","","","","","","","","","1027216",
