"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-3A [2174]","ANDESITE, BASALTIC [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","53.72","1.83","","14.08","0.01","","0","11.85","7.21","3.53","0.16","","0.66","5.29","0.21","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","199","110","","","39","93","","","","","","","","10","126","29","146","13","","","","","","","","","","","","","133","13.32","32.12","","18.5","4.56","1.33","","0.83","","","","","2.69","0.37","3.64","0.72","","","","","","","","","","","1.9","0.35","0.512207","","","","","","","","","","","","","","","","","","","","","","","","104458",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-4C [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.11","2.07","","14.45","0.02","","0","13.11","7.99","5.78","0.18","","0.98","3.08","0.23","","","","","","","","","","","","","","","","2.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","277","130","","","55","99","","","","","","","","19","165","31","148","12","","","","","","","","","","","","","300","15.34","35.5","","20.09","4.89","1.52","","0.91","","","","","2.87","0.39","3.78","0.68","","","","","","","","","","","2.06","0.56","0.512151","","","","","","","","","","","","","","","","","","","","","","","","104459",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-1B [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","47.6","1.69","","15.57","0.02","","0","12","8.14","7.48","0.19","","1.13","2.38","0.16","","","","","","","","","","","","","","","","3.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","248","165","","","59","185","","","","","","","","42","137","23","108","11","","","","","","","","","","","","","206","9.58","22.48","","13.65","3.5","1.14","","0.69","","","","","2.15","0.3","2.65","0.48","","","","","","","","","","","1.03","0.21","0.51234","","","","","","","","","","","","","","","","","","","","","","","","104460",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-6A [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.39","1.91","","15.04","0.02","","0","12.76","8.98","6.32","0.19","","0.71","2.67","0.21","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","275","127","","","56","125","","","","","","","","17","214","29","135","12","","","","","","","","","","","","","216","14.28","33.39","","19.08","4.68","1.49","","0.87","","","","","2.61","0.37","3.52","0.68","","","","","","","","","","","1.7","0.63","0.512208","","","","","","","","","","","","","","","","","","","","","","","","104461",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-12 [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","46.53","1.93","","15.92","0.02","","0","12.48","9.31","6.86","0.19","","0.25","2","0.21","","","","","","","","","","","","","","","","3.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","271","128","","","55","118","","","","","","","","6","178","29","140","12","","","","","","","","","","","","","87","14.62","32.88","","19.45","4.77","1.57","","0.89","","","","","2.67","0.38","3.54","0.62","","","","","","","","","","","1.61","0.55","0.512204","","","","","","","","","","","","","","","","","","","","","","","","104462",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-22B [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.5","2.08","","14.55","0.01","","0","13.52","6.2","5.65","0.22","","1.25","4.04","0.35","","","","","","","","","","","","","","","","2.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","250","74","","","50","81","","","","","","","","27","194","35","171","15","","","","","","","","","","","","","362","22.07","51.08","","31.72","7.26","1.77","","1.08","","","","","3.16","0.44","4.62","0.87","","","","","","","","","","","2.68","0.8","0.511989","","","","","","","","","","","","","","","","","","","","","","","","104463",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KB-81A [2174]","BASALT, THOLEIITIC [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","48.84","1.88","","15.65","0.02","","0","12.89","8.85","6.26","0.19","","0.7","2.54","0.21","","","","","","","","","","","","","","","","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","148","","","","137","","","","","","","","18","222","28","133","10","","","","","","","","","","","","","356","","","","34.17","8","","","","","","","","","","","","","","","","","","","","","","","","0.512089","","","","","","","","","","","","","","","","","","","","","","","","104464",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-25 [2174]","BASALT, ALKALINE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","47.49","1.91","","14.53","0.01","","0","12.91","9.59","5.76","0.21","","0.81","3.73","0.22","","","","","","","","","","","","","","","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","240","93","","","57","146","","","","","","","","15","284","29","133","12","","","","","","","","","","","","","226","13.84","32.63","","18.92","4.61","1.47","","0.79","","","","","2.59","0.37","3.43","0.65","","","","","","","","","","","1.65","0.53","0.5122","","","","","","","","","","","","","","","","","","","","","","","","104465",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-26B [2174]","BASALT, THOLEIITIC [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.64","2.76","","13.3","0.01","","0","14.74","7.69","4.62","0.2","","1.83","2.61","0.35","","","","","","","","","","","","","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","324","92","","","50","52","","","","","","","","60","175","43","214","17","","","","","","","","","","","","","355","25.83","57.74","","33.03","7.69","2.1","","1.26","","","","","3.85","0.57","5.86","1.14","","","","","","","","","","","3.69","1.07","0.512125","","","","","","","","","","","","","","","","","","","","","","","","104466",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-28C [2174]","BASALT, THOLEIITIC [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.41","2.72","","13.48","0.01","","0","14.23","8.71","4.44","0.21","","1.33","2.28","0.33","","","","","","","","","","","","","","","","1.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","306","101","","","49","55","","","","","","","","45","206","42","212","16","","","","","","","","","","","","","283","24.67","55.53","","31.41","7.38","2.02","","1.22","","","","","3.85","0.56","5.8","1.14","","","","","","","","","","","3.57","1.08","0.512143","","","","","","","","","","","","","","","","","","","","","","","","104467",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-70 [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","48.13","2.64","","14.07","0.02","","0","14.76","8.41","5.17","0.21","","1.43","2.45","0.31","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318","128","","","","82","","","","","","","","48","186","42","209","13","","","","","","","","","","","","","546","","","","29.17","6.94","","","","","","","","","","","","","","","","","","","","","","","","0.512169","","","","","","","","","","","","","","","","","","","","","","","","104468",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-106A [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","49.01","2.8","","13.32","0.02","","0","14.86","7.79","4.37","0.2","","1.76","2.03","0.34","","","","","","","","","","","","","","","","1.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338","106","","","","45","","","","","","","","62","165","42","221","17","","","","","","","","","","","","","554","","","","33.06","7.76","","","","","","","","","","","","","","","","","","","","","","","","0.512136","","","","","","","","","","","","","","","","","","","","","","","","104469",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-6B [2174]","THOLEIITE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512181","","","","","","","","","","","","","","","","","","","","","","","","104470",
"[2174]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS","","40.33","40.42","-92.63","-92.68","SUBAERIAL","","","s KC-2H [2174]","BASALT, ALKALINE, OLIVINE [2174]","1100000000 [2174]","1100000000 [2174]","MESO [2174]","PROTEROZOIC [2174]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2174] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512313","","","","","","","","","","","","","","","","","","","","","","","","104471",
"[2175]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / NORTH SHORE VOLCANIC GROUP / 42ND AVENUE EAST FLOW","","46.75","48","-89.7","-92.1","SUBAERIAL","","","s D-195 [2175]","RHYOLITE [2175]","","","MESO [2175]","PROTEROZOIC [2175]","","","","SPARSELY PORPHYRITIC [2175] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2175] ","67.5","0.95","","13.2","","","","0.92","5.35","0.35","0.14","","4.37","2.85","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","22","","","3.6","9","","57","","","","","","170","90","95","600","51","","","","","","","","","","","","2.7","750","101","198","","96.02","20.14","3.7","","3","","","","","8.4","1.21","17","3.5","","","","","","","","","","","19","","0.512017","","","","","","","","","","","","","","","","","","","","","","","","104473",
