"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s SB11 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","36.4","","","","","","","","","50","3150","","","","","","","","","","","","","","","2.13","9550","364","803","","329","36.7","7.8","","1.96","","","","","1.87","0.23","44.9","5.91","","","","","","","","","12.45","","6.66","1.4","0.51137","","","0.70592","","16.145","","15.193","","36.27","","","","","","","","","","","","","","","1019914",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s SB35 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","","","","","","37.7","","","","","","","","","140","2928","","","","","","","","","","","","","","","","11030","410","874","","361","40.8","8.77","","2.09","","","","","2.21","0.28","50.9","6.79","","","","","","","","","14.94","","7.76","1.9","0.51137","","","0.705117","","16.469","","15.527","","36.58","","","","","","","","","","","","","","","1019915",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s SB45 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","","","","","","27","","","","","","","","","122","2332","","","","","","","","","","","","","","","","9020","366","821","","328","37","7.79","","1.91","","","","","1.9","0.22","46.1","5.64","","","","","","","","","12.54","","6.41","1.4","0.51143","","","0.70603","","16.146","","15.218","","36.37","","","","","","","","","","","","","","","1019916",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s S859 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","30.2","","","","","","","","","69","2686","","","","","","","","","","","","","","","2.55","9340","332","716","","292","32.6","6.84","","1.69","","","","","1.73","0.18","41.6","5.011","","","","","","","","","10.5","","5.29","1.1","0.51137","","","0.70633","","16.037","","15.209","","36.25","","","","","","","","","","","","","","","1019917",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s S866 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","","31.2","","","","","","","","","85","2915","","","","","","","","","","","","","","","0.34","8709","337","746","","300","33.5","7.02","","1.76","","","","","1.69","0.19","42.5","5.23","","","","","","","","","17.22","","5.26","1.3","0.51128","","","0.70628","","16.025","","15.19","","36.195","","","","","","","","","","","","","","","1019918",
"[17983]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / MONTANA / SMOKY BUTTE","","48.3","48.3","-115.4","-115.4","SUBAERIAL","","","s SB70 [17983]","LAMPROITE [17983]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17983] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4","","","","","","20.3","","","","","","","","","112","2226","","","","","","","","","","","","","","","0.39","20000","437","930","","379","43.1","9.5","","2.59","","","","","3.19","0.41","53.8","6.22","","","","","","","","","14.53","","7.33","4","0.51151","","","0.7063","","16.643","","15.277","","36.68","","","","","","","","","","","","","","","1019919",
"[18765]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / ARKANSAS / BOSTON MOUNTAINS / DARE MINE KNOB","","35.62674","35.62674","-93.09406","-93.09406","SUBAERIAL","","","s DMK2 [18765]","LAMPROITE [18765]","","","","CRETACEOUS [18765]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18765] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344","1350","","","","","","","","","","","","","","","","15512.87","","","","314","39.8","","","","","","","","","0.39","28.8","","","","","","","","","","43.3","","83.4","7.86","0.511572","","","0.709443","","17.006","","15.352","","38.717","","","","","","","","0.282135","","","","","","","104485-DMK2",
"[18948]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / ARKANSAS / PRAIRIE CREEK LAMPROITE PROVINCE","","34.03333","34.03333","-93.6725","-93.6725","SUBAERIAL","","","s MH-1 [18948]","LAMPROITE [18948]","","","","CRETACEOUS [18948]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18948] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1","","29.6","1440","","","62.4","1050","52.4","","","","","","","159","945","14.2","704","95.8","","","","","","","","","","","","0.66","1440","145","288","31","102.1","12.3","2.94","9.58","0.89","2.82","0.44","1.15","0.12","0.79","0.11","14.7","5.04","","0.0573","1.324","","","","","","17.5","","9.44","1.97","0.512032","","","","","","","","","","","","","","0.12324","","0.2086","","","","","","","","1076717",
"[18948]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / ARKANSAS / PRAIRIE CREEK LAMPROITE PROVINCE","","34.03333","34.03333","-93.6725","-93.6725","SUBAERIAL","","","s PC-3 [18948]","LAMPROITE [18948]","","","","CRETACEOUS [18948]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18948] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","","43.4","1230","","","64.9","1120","55.1","","","","","","","162","839","11.8","656","100","","","","","","","","","","","","0.67","1504","147","293","31.6","101.9","12.3","3.35","10.9","1.06","3.36","0.52","1.33","0.13","0.87","0.11","18.2","6.74","","0.0283","1.755","","","","","","20.5","","12.7","255","0.512044","","","","","","","","","","","","","","0.12255","","0.007742","","","","","","","","1076718",
"[18811]","INTRAPLATE VOLCANICS","MIDCONTINENT US KIMBERLITE-CARBONATITE PROVINCE / ARKANSAS / PRAIRIE CREEK LAMPROITE PROVINCE","","34.03333","34.03333","-93.6725","-93.6725","SUBAERIAL","","","s AK1 [18811]","KIMBERLITE [18811]","","","LOWER [18811]","CRETACEOUS [18811]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18811] ","39.12","3.14","","4.04","","6.54","1.99","","5.13","26.93","0.12","","2.23","0.46","0.43","","7.11","2.45","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093404",
