"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6969]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 495 / PACIFIC OCEAN","HOLE 495","12.4963","12.4963","-91.0377","-91.0377","SUBAQUATIC","-4140","-4140","s 67-495-9-5-1941 [6969]","NOT GIVEN [6969]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [6969] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51274","","","0.70763","","18.78","","15.631","","38.673","","","","","","","","","","","","","","","170648",
"[6969]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 495 / PACIFIC OCEAN","HOLE 495","12.4963","12.4963","-91.0377","-91.0377","SUBAQUATIC","-4140","-4140","s 67-495-27-5-113 [6969]","NOT GIVEN [6969]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [6969] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51243","","","0.70862","","18.5","","15.578","","38.299","","","","","","","","","","","","","","","170649",
"[6969]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - SEAWARD / SITE 495 / PACIFIC OCEAN","HOLE 495","12.4963","12.4963","-91.0377","-91.0377","SUBAQUATIC","-4140","-4140","s 67-495-33-5-41 [6969]","NOT GIVEN [6969]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [6969] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5124","","","0.70854","","18.47","","15.534","","38.144","","","","","","","","","","","","","","","170650",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - LANDWARD / SITE 494 / PACIFIC OCEAN","HOLE 494A","12.7168","12.7168","-90.9328","-90.9328","SUBAQUATIC","-5529","-5529","s 67-494A-31CC, 19-20 [12753]","BASALT [12753]","112000000 [12753]","112000000 [12753]","","CRETACEOUS [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","50.7","0.54","","15.1","","","","7.83","8.17","9.82","0.17","","1.5","1.81","0.04","4.04","","","","0.25","","","","","","","","","","","4.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8","","248","157","","","40","83","67.2","84.5","14.5","","","","","18.3","63","11.5","30","0.38","","","","","","","","","","","","0.74","110","0.73","2.23","0.41","2.51","1.06","0.5","1.68","0.33","2.26","0.53","1.57","0.23","1.45","0.21","0.85","0.02","","","","","","","","0.04","0.43","","0.11","0.1","0.513211","","","0.704906","","18.578","","15.525","","37.919","","","","","","","","","","","","","","","379288",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - LANDWARD / SITE 494 / PACIFIC OCEAN","HOLE 494A","12.7168","12.7168","-90.9328","-90.9328","SUBAQUATIC","-5529","-5529","s 67-494A-31CC, 0-1 [12753]","BASALT [12753]","112000000 [12753]","112000000 [12753]","","CRETACEOUS [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","50.9","0.54","","15.3","","","","7.95","8.32","9.82","0.17","","1.34","1.82","0.05","4.04","","","","0.14","","","","","","","","","","","4.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6","","260","149","","","42","93","48.6","62.9","13.7","","","","","13.7","66","11","31","0.16","","","","","","","","","","","","0.43","80.86","0.54","1.83","0.36","2.21","0.96","0.44","1.57","0.3","2.12","0.49","1.45","0.21","1.37","0.21","0.76","0.02","","","","","","","","0.03","0.26","","0.04","0.09","0.513198","","","0.704728","","18.509","","15.515","","37.864","","","","","","","","0.283212","","","","","","","379289",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - LANDWARD / SITE 494 / PACIFIC OCEAN","HOLE 494A","12.7168","12.7168","-90.9328","-90.9328","SUBAQUATIC","-5529","-5529","s 67-494A-31CC, 3-4 [12753]","BASALT [12753]","112000000 [12753]","112000000 [12753]","","CRETACEOUS [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","55.4","0.87","","15","","","","8.97","5.15","5.06","0.16","","0.22","4.89","0.07","3.02","","","","0.08","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7","","350","25","","","30","23","22.6","99.9","14.9","","","","","2.35","50","19.4","51","0.4","","","","","","","","","","","","0.03","6.99","1.34","4.26","0.79","4.62","1.89","0.7","2.86","0.54","3.74","0.85","2.52","0.36","2.47","0.37","1.4","0.03","","","","","","","","0.01","0.4","","0.09","0.06","0.513172","","","0.704588","","18.455","","15.508","","37.927","","","","","","","","0.283213","","","","","","","379290",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - LANDWARD / SITE 494 / PACIFIC OCEAN","HOLE 494A","12.7168","12.7168","-90.9328","-90.9328","SUBAQUATIC","-5529","-5529","s 67-494A-33CC, 40-41 [12753]","BASALT [12753]","112000000 [12753]","112000000 [12753]","","CRETACEOUS [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","53.6","0.47","","16.2","","","","7.46","3.84","8.35","0.13","","0.73","4.7","0.04","4.42","","","","0.1","","","","","","","","","","","4.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","","153","213","","","31","71","16.3","84.2","10.9","","","","","3.43","50","7.52","34","0.21","","","","","","","","","","","","0.01","13.7","0.37","1.29","0.24","1.44","0.61","0.19","1.08","0.22","1.57","0.34","1.08","0.17","1.06","0.15","0.82","0.02","","","","","","","","0","1.05","","0.07","0.06","0.513166","","","0.704705","","18.541","","15.533","","37.984","","","","","","","","0.283199","","","","","","","379291",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - LANDWARD / SITE 494 / PACIFIC OCEAN","HOLE 494A","12.7168","12.7168","-90.9328","-90.9328","SUBAQUATIC","-5529","-5529","s 67-494A-35-01, 130-131 [12753]","BASALT [12753]","112000000 [12753]","112000000 [12753]","","CRETACEOUS [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","50.5","0.59","","15.6","","","","8.07","5.36","8.96","0.15","","0.53","4.23","0.06","4.53","","","","0.36","","","","","","","","","","","4.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","","241","242","","","33","96","41.5","71","12.6","","","","","2.68","93","12.7","39","0.16","","","","","","","","","","","","0.01","10.2","0.72","2.56","0.49","2.98","1.23","0.48","1.84","0.34","2.41","0.55","1.7","0.24","1.58","0.24","0.96","0.02","","","","","","","","0","0.38","","0.05","0.13","0.513174","","","0.704828","","18.681","","15.514","","37.844","","","","","","","","","","","","","","","379292",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - TRENCH AXIS / SITE 499 / PACIFIC OCEAN","HOLE 499B","12.6705","12.6705","-90.9447","-90.9447","SUBAQUATIC","-6127","-6127","s 67-499B-10-01, 40-47 [12753]","BASALT [12753]","24000000 [12753]","24000000 [12753]","","OLIGOCENE [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","49.9","0.96","","15.6","","","","8.12","12","8.53","0.14","","0.1","2.35","0.08","1.18","","","","0.03","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1","","240","386","","","42","107","56.1","46.7","14.5","","","","","0.73","89","21.2","59","0.54","","","","","","","","","","","","0.04","2.76","1.38","4.93","0.91","5.44","2.21","0.87","3.22","0.61","4.04","0.9","2.6","0.39","2.53","0.35","1.09","0.05","","","","","","","","0.01","0.19","","0.03","0.32","0.513205","","","0.702806","","18.367","","15.461","","37.55","","","","","","","","0.283296","","","","","","","379293",
"[12753]","CONVERGENT MARGIN","MIDDLE AMERICA TRENCH - GUATEMALA TRENCH / MIDDLE AMERICA TRENCH (GUATEMALA TRENCH) - TRENCH AXIS / SITE 500 / PACIFIC OCEAN","HOLE 500B","12.6825","12.6825","-90.9437","-90.9437","SUBAQUATIC","-6127","-6127","s 67-500B-03-01, 70-76 [12753]","BASALT [12753]","24000000 [12753]","24000000 [12753]","","OLIGOCENE [12753]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12753] ","49","1.04","","15.1","","","","8.49","10.9","9.61","0.18","","0.07","2.47","0.08","2.32","","","","0.08","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","","257","387","","","42","99","13.8","56.9","15.2","","","","","0.62","87","23.9","67","0.7","","","","","","","","","","","","0.02","3.79","1.77","5.93","1.08","6.45","2.41","1.01","3.57","0.67","4.19","0.92","2.76","0.39","2.59","0.38","1.53","0.11","","","","","","","","0","0.19","","0.04","0.03","0.513201","","","0.702932","","","","","","","","","","","","","","","","","","","","","379294",
