"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18146]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA / CAHERMORE PIPE","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 1P3 [18146]","CARBONATITE, SILICO, DOLOMITE [18146]","","","","CARBONIFEROUS [18146]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18146] ","31.8","2","","6.36","","","","11.24","10.26","14.3","0.36","","0.16","0.15","1.18","","","","","","","","","","","","","","","","19.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","209.77","847.24","","","59.65","610.79","","","","","","","","1.35","1043.12","22.37","154.76","92.8","","","","","","","","","","","","","49.44","68.79","130.04","14.82","56.94","10.38","2.97","9.2","1.22","5.41","0.92","2.32","0.27","1.46","0.2","4.23","4.52","","","","","","","","","12.07","","10.55","2.63","","","","","","","","","","","","","","","","","","","","","","","","","783914",
"[18146]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA / CAHERMORE PIPE","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 1P3B [18146]","CARBONATITE, SILICO, DOLOMITE [18146]","","","","CARBONIFEROUS [18146]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18146] ","48.32","1.81","","10.54","","","","7.1","6.51","9.5","1.36","","0.04","2.53","0.55","","","","","","","","","","","","","","","","12.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","142.9","345.81","","","","","","","","","","","","0","381.3","28","215","58.2","","","","","","","","","","","","","25.1","51.1","86.5","9.9","38.5","7.7","2.2","7","1","5.4","1","2.7","0.4","2.3","0.3","5","3.1","","","","","","","","","","","8.2","2.1","","","","","","","","","","","","","","","","","","","","","","","","","783915",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 90-27 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","45.45","4.26","","14.34","","","","15.48","8.84","4.04","0.26","","0.37","3.13","0.82","","","","","","","","","","","","","","","","4.86","","","","","","","","","","","","","","","","","","","","","","","","","","3063","","32","25527","348","","","","","45","","231","31","","","","","9","230","68","386","38","","","","","","","","","","","","","144","31","86","","","","","","","","","","","","","","","","","","","","","","","16","","5","0","","","","","","","","","","","","","","","","","","","","","","","","","801606",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-75/1 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","44.34","3.61","","15.97","","","","15.45","6.44","4.64","0.27","","0.14","5.14","0.87","","","","","","","","","","","","","","","","3.56","","","","","","","","","","","","","","","","","","","","","","","","","","1179","","36","21678","456","","","","","43","","411","26","","","","","3","90","61","320","32","","","","","","","","","","","","","123","30","85","","","","","","","","","","","","","","","","","","","","","","","11","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","801607",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 90-25 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","45.31","2.94","","14.53","","","","16.54","3.67","8.1","0.23","","0.09","3.66","0.39","","","","","","","","","","","","","","","","5.93","","","","","","","","","","","","","","","","","","","","","","","","","","747","","32","17625","360","","","","","59","","253","25","","","","","1","59","38","207","20","","","","","","","","","","","","","49","14","37","","","","","","","","","","","","","","","","","","","","","","","8","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","801608",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-166 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","49.28","2.43","","14.64","","","","13.78","16.76","2.26","0.14","","0.01","0.28","0.31","","","","","","","","","","","","","","","","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","75","","42","14544","367","","","","","34","","40","31","","","","","0","4153","36","286","15","","","","","","","","","","","","","47","14","61","","","","","","","","","","","","","","","","","","","","","","","37","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","801609",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-81/1 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","44.95","2.99","","14.84","","","","15.02","4.16","8.42","0.26","","0.05","3.41","0.41","","","","","","","","","","","","","","","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","423","","32","17973","342","","","","","59","","254","24","","","","","1","59","40","210","21","","","","","","","","","","","","","61","18","52","","","","","","","","","","","","","","","","","","","","","","","11","","4","0","","","","","","","","","","","","","","","","","","","","","","","","","801610",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-78/1 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","49.37","2.89","","15.51","","","","15.17","3.04","7.01","0.21","","0.14","6.06","0.39","","","","","","","","","","","","","","","","1.88","","","","","","","","","","","","","","","","","","","","","","","","","","1129","","31","17308","310","","","","","60","","186","28","","","","","1","143","39","214","21","","","","","","","","","","","","","90","15","43","","","","","","","","","","","","","","","","","","","","","","","7","","5","0","","","","","","","","","","","","","","","","","","","","","","","","","801611",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-77/1 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","48.49","2.58","","13.57","","","","15.13","18.45","2.32","0.15","","0.03","0.15","0.28","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","266","","48","15467","312","","","","","30","","36","29","","","","","0","1880","30","226","16","","","","","","","","","","","","","74","14","40","","","","","","","","","","","","","","","","","","","","","","","15","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","801612",
"[18284]","INTRAPLATE VOLCANICS","MUNSTER BASIN / SOUTHERN MUNSTER BASIN / BEARA PENINSULA","","51.6017","51.6019","-10.0578","-10.0586","SUBAERIAL","","","s 91-79 [18284]","BASALT [18284]","","","","CARBONIFEROUS [18284]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18284] ","46.6","3.01","","15.02","","","","15.75","6.25","6.99","0.23","","0.04","3.74","0.4","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","332","","30","18027","321","","","","","64","","149","25","","","","","0","274","40","206","20","","","","","","","","","","","","","45","18","59","","","","","","","","","","","","","","","","","","","","","","","25","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","801613",
