"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10666]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / GAMOEP KIMBERLITE GROUP","","-33.64","-33.64","21.01","21.01","SUBAERIAL","","","s BKA-2 [10666]","MELILITITE, OLIVINE [10666]","66000000 [10666]","77000000 [10666]","UPPER [10666]","CRETACEOUS [10666]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10666] ","36.29","6.41","","5.4","","","","15.53","10.78","18.43","0.21","","1.18","1.55","0.61","0.18","","","","","","","","","","","","","","","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308","854","","","","1168","","","","","","","","31","720","21","290","117","","","","","","","","","","","","","643","63.5","147","","69.2","11.6","3.54","","1.27","","","","","1.45","0.18","8.61","9.11","","","","","","","","","1.7","","9.92","2.6","0.51273","","","0.70501","","19.71","","15.69","","39.78","","","","","","","","","","","","","","","100301-BKA-2",
"[19549]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / MONTELEO DIKE","","-30.5","-30.5","23.5","23.5","SUBAERIAL","","","s 1100 [19549]","KIMBERLITE [19549]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19549] ","39.28","1.59","","4.71","","6.38","3.11","","6.58","19.96","0.42","","4.56","0.32","1.24","","4.89","2.52","","4.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108943-BD 1100",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / GANSFONTEIN KIMBERLITE","","-31.77808","-31.77808","22.56479","22.56479","SUBAERIAL","1510","1510","s SA11-31A [20698]","KIMBERLITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110683",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / GANSFONTEIN KIMBERLITE","","-31.77808","-31.77808","22.56479","22.56479","SUBAERIAL","1510","1510","s SA11-31A [20698]","KIMBERLITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000001161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110684",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / GANSFONTEIN KIMBERLITE","","-31.77808","-31.77808","22.56479","22.56479","SUBAERIAL","1510","1510","s SA11-31A [20698]","KIMBERLITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110685",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / GANSFONTEIN KIMBERLITE","","-31.77808","-31.77808","22.56479","22.56479","SUBAERIAL","1510","1510","s SA11-31A [20698]","KIMBERLITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110686",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / GANSFONTEIN KIMBERLITE","","-31.77808","-31.77808","22.56479","22.56479","SUBAERIAL","1510","1510","s SA11-31A [20698]","KIMBERLITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000001251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110687",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / MELTON WOLD KIMBERLITE","","-31.49735","-31.49735","22.74579","22.74579","SUBAERIAL","1331","1331","s SA11-33A [20698]","KIMBERLITE [20698]","","","LOWER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000001411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110693",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / MELTON WOLD KIMBERLITE","","-31.49735","-31.49735","22.74579","22.74579","SUBAERIAL","1331","1331","s SA11-33A [20698]","KIMBERLITE [20698]","","","LOWER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110694",
"[20698]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / PRIESKA KIMBERLITE PROVINCE / MELTON WOLD KIMBERLITE","","-31.49735","-31.49735","22.74579","22.74579","SUBAERIAL","1331","1331","s SA11-33A [20698]","KIMBERLITE [20698]","","","LOWER [20698]","CRETACEOUS [20698]","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MINERAL / COMPONENT (INCL. GROUNDMASS) [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110695",
