"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1180 [15212]","HARZBURGITE, SPINEL-GARNET, XENOLITH [15212] / LHERZOLITE, GARNET, XENOLITH [15322]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","42.22","0.02","","0.48","","3.33","3.78","","0.37","41.6","0.11","","0.02","0.07","0","","","","","","","","","","","","","","","","7.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","23","2338","","","111","2360","","","","","","","","2","2","0","9","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","0.000134","0.0027","","","","","","","","","","","","","","","","","","","","","","","","0.1216","","0.239","","","","","","","","100193-FRB1180",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1181 [15212]","LHERZOLITE, GARNET, XENOLITH [15212]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","40.34","0.02","","0.81","","4.66","2.94","","0.54","41.27","0.1","","0","0.05","0","","","","","","","","","","","","","","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","26","1872","","","102","2446","","","","","","","","2","17","1.5","25","","","0.01002","","0.00156","","","","","","","","","27","","","","","","","","","","","","","","","","","","0.000058","0.00511","0.00496","0.0059","","","","","","","","","","","","","","","","","","","","","","0.1136","","0.076","","","","","","","","100193-FRB1181",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1183 [15212]","LHERZOLITE, GARNET, XENOLITH [15212]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","40.01","0.01","","0.58","","4.65","3.65","","0.38","42.3","0.09","","0.01","0.07","0","","","","","","","","","","","","","","","","8.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","14","1109","","","119","2744","","","","","","","","2","9","0.4","6","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","0.000179","0.01037","","","","","","","","","","","","","","","","","","","","","","","","0.1139","","0.083","","","","","","","","100193-FRB1183",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1625 [15212]","LHERZOLITE, GARNET, XENOLITH [15212]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","40.41","0.03","","0.57","","4.1","3.53","","0.25","43.05","0.11","","0","0","0.02","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","14","1920","","","104","2293","6","44","1.2","","","","","0","6","2.2","10","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","0.000456","0.00389","","","","","","","","","","","","","","","","","","","","","","","","0.1166","","0.563","","","","","","","","100193-FRB1625",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1650 [15212]","LHERZOLITE, SPINEL-GARNET, XENOLITH [15212] / LHERZOLITE, GARNET, XENOLITH [15322]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","41.36","0.05","","0.57","","3.6","3.92","","0.53","43.31","0.11","","0.02","0.01","0.02","","","","","","","","","","","","","","","","6.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","","22","2203","","","104","2353","6","45","1.3","","","","","1","13","2.2","12","","","0.00979","","0.00092","","","","","","","","","31","","","","","","","","","","","","","","","","","","0.000049","0.00249","0.00325","0.00314","","","","","","","","","","","","","","","","","","","","","","0.1135","","0.095","","","","","","","","100193-FRB1650",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1651 [15212]","LHERZOLITE, GARNET, XENOLITH [15212]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","40.15","0.03","","0.63","","4.54","3.1","","0.4","42.25","0.11","","0","0","0.02","","","","","","","","","","","","","","","","8.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","30","1904","","","105","2240","8","43","0.7","","","","","1","14","1.9","11","","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","","0.000369","0.00764","","","","","","","","","","","","","","","","","","","","","","","","0.1158","","0.232","","","","","","","","100193-FRB1651",
"[15212][15322]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / NAMIBIA / GIBEON KIMBERLITE FIELD / LOUWRENSIA KIMBERLITE PIPE","","-25.311","-25.311","17.815","17.815","SUBAERIAL","","","s FRB1652 [15212]","LHERZOLITE, GARNET, XENOLITH [15212]","","","","","","","","COARSE [15212] ","MANTLE XENOLITH","","","","","WHOLE_ROCK [15212] ","40.81","0.02","","0.63","","4.11","3.88","","0.47","42.8","0.11","","0.01","0.01","0.02","","","","","","","","","","","","","","","","7.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","31","1493","","","114","2460","5","46","1.2","","","","","0","10","2.3","11","","","0.00938","","0.00118","","","","","","","","","45","","","","","","","","","","","","","","","","","","0.000029","0.00247","0.00254","0.00354","","","","","","","","","","","","","","","","","","","","","","0.1168","","0.056","","","","","","","","100193-FRB1652",
"[10888]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / SOUTH AFRICA","WOLFKRAAL","-30.4","-33.33","18.01","20.2","SUBAERIAL","","","s WK-1 [10888]","MELILITITE, OLIVINE [10888]","72000000 [10888]","80000000 [10888]","","CRETACEOUS [10888]","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [10888]","MINERAL / COMPONENT (INCL. GROUNDMASS) [10888] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16","","","","","104014-WK-1",
"[10888]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / SOUTH AFRICA","HOEDKOP","-29","-29","18","18","SUBAERIAL","","","s HO-5 [10888]","MELILITITE, OLIVINE [10888]","72000000 [10888]","80000000 [10888]","","CRETACEOUS [10888]","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [10888]","MINERAL / COMPONENT (INCL. GROUNDMASS) [10888] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27","","","","","104015-HO-5",
"[10888]","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_PROTEROZOIC / SOUTH AFRICA","SPIOENKOP","-29.5","-29.5","18","18","SUBAERIAL","","","s SP-4 [10888]","MELILITITE, OLIVINE [10888]","72000000 [10888]","80000000 [10888]","","CRETACEOUS [10888]","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [10888]","MINERAL / COMPONENT (INCL. GROUNDMASS) [10888] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.85","","","","","104016-SP-4",
