"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s TUK-1 [19944]","BASALT [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","47.41","0.7","","13.51","","","","11.71","13.31","9.45","0.21","","0.64","1.56","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.07","4430.94","392.4","328.21","","","47.63","74.47","","63.82","12.83","","","","","7.08","390.98","10.12","19.71","0.26","","","","","","","","","","","","0.09","149.12","3.07","7.15","1.06","5.74","1.58","0.57","1.78","0.3","1.85","0.38","1.17","0.18","1.09","0.16","0.57","0.01","","","","","","","","","2.8","","0.39","0.22","","","","","","","","","","","","","","","","","","","","","","","","","1011887",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s TUK-2 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","54.85","0.69","","17.6","","","","7.96","7.86","2.97","0.15","","2.33","3.41","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.67","4382.11","216.58","39.27","","","19.72","19.83","","72.47","16.78","","","","","27.76","565.74","21.92","83.54","1.1","","","","","","","","","","","","0.89","505.63","11.19","23.29","3.51","16.7","4.35","1.17","3.99","0.62","3.99","0.83","2.31","0.34","2.39","0.34","2.42","0.06","","","","","","","","","10.85","","1.68","0.91","","","","","","","","","","","","","","","","","","","","","","","","","1011888",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s TUK-3 [19944]","BASALT [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","47.02","0.78","","14.26","","","","10.66","13.51","10.19","0.19","","0.43","1.54","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","4903.14","367.71","377.46","","","46.45","79.06","","56.76","12.95","","","","","4.69","314.13","10.07","17.35","0.25","","","","","","","","","","","","0.09","94.51","2.08","5.19","0.81","4.38","1.43","0.57","1.71","0.31","1.99","0.42","1.2","0.16","1.08","0.17","0.58","0.01","","","","","","","","","1.76","","0.24","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1011889",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s WAEC [19944]","BASALT [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","46.32","0.85","","17.98","","","","13.07","10.85","6.42","0.22","","0.48","1.98","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.63","5298.66","435.53","66.56","","","43.21","34.29","","81.69","18.15","","","","","3.2","663.3","21.23","36.92","0.45","","","","","","","","","","","","0.1","178.12","7.25","13.51","2.56","13.41","3.78","1.23","4.01","0.58","3.7","0.74","2.2","0.29","2","0.29","1.23","0.03","","","","","","","","","3.3","","0.58","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1011890",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s WAEL [19944]","BASALT [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","47.53","0.83","","16.62","","","","12.34","11.1","6.26","0.22","","0.93","2.33","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.44","5198.72","396.41","55.03","","","39.22","25.22","","80.09","16.88","","","","","10.11","862.75","16.07","40.36","0.51","","","","","","","","","","","","0.27","193.01","7.57","16.34","2.46","12.74","3.36","1.04","3.36","0.51","3.13","0.62","1.75","0.25","1.68","0.24","1.29","0.03","","","","","","","","","4.33","","0.72","0.32","","","","","","","","","","","","","","","","","","","","","","","","","1011891",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s WAEW [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","54.36","0.81","","16.4","","","","9.45","7.75","3.54","0.19","","2.13","3.69","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.49","5148.33","310.67","10.97","","","24.27","7.26","","80.91","16.59","","","","","26.55","632.32","19.3","72.21","1.01","","","","","","","","","","","","0.82","437.25","10.07","22.41","3.06","15.32","3.7","1.15","3.54","0.54","3.48","0.74","2.15","0.34","2.19","0.32","2","0.06","","","","","","","","","8.5","","1.47","0.8","","","","","","","","","","","","","","","","","","","","","","","","","1011892",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, PORT RESOLUTION","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s TB1 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","56.25","0.79","","17.31","","","","7.97","7.01","2.77","0.17","","2.78","3.87","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.37","5870","235.24","21.85","","","20","16","","98.91","17.33","","","","","35.55","642.59","23.12","98.48","1.41","","","","","","","","","","","","1.13","568.47","13.81","30.33","4.28","19.6","4.75","1.38","4.68","0.67","4.39","0.92","2.75","0.41","2.68","0.4","2.98","0.08","","","","","","","","","14.81","","2.29","1.19","0.513017","","","0.703586","","","","","","","","","","","","","","0.283161","","","","","","","1011893",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, WHITE SANDS","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s WSG-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","52.94","0.812","","16.46","","","","9.47","8.36","4.069","0.185","","1.87","3.67","0.293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011894",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, WHITE SANDS","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s WSP-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","53.09","0.808","","16.59","","","","9.4","8.26","3.991","0.186","","1.86","3.64","0.303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011895",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA) / PACIFIC OCEAN","YENKAHE CALDERA, SE TANNA, SULPHUR BAY","-19.52","-19.52","169.42","169.42","SUBAERIAL","","","s SB-14 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19944] ","53.36","0.821","","16.6","","","","9.45","8.14","3.983","0.187","","1.91","3.61","0.312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011896",
