"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[13711][18728]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOLANDER (HAUTERE) ISLAND / PACIFIC OCEAN","","-46.5766","-46.5766","166.8892","166.8892","SUBAERIAL","","","s OU32751 [13711] / s OU32751-1B [18728] / s OU32751-1A [18728]","ANDESITE [13711] / NOT GIVEN [18728]","","","","QUATERNARY [13711]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13711] ","59.16","0.56","","17.32","","2.6","2.33","","5.9","2.46","0.09","","2.2","5.23","0.22","","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7346252786889","2.9106331070541","","","","","","","","","","","","","8.12273626740853","3002.67474127434","113.362922307931","18.9963813082226","515.957245104995","","8.35680572961765","12.1166275130279","12.151952548108","39.3236980770607","18.1059443910479","","","","","12.7183936630191","1019.86385601719","6.06072357227385","28.5268695559911","15.4734522381751","0.279569655859303","","","","","2.35217008809395E-02","","","","","","0.500272860913867","565.937641354901","8.32805540002509","20.2526240771974","2.27107029820277","12.0606760356991","2.25448869245697","0.887176136602266","1.83783836392431","0.200758629256283","1.42622318842331","0.233553924562272","0.727140960783672","","0.768985600990343","0.116505512879777","1.38296775045187","0.876768363071715","","","","","","","","","2.93263821339331","","6.27751155573158","1.03309063613269","","","","","","","","","","","","","","","","","","","","","","","","","109864-OU32751",
"[18728]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOLANDER (HAUTERE) ISLAND / PACIFIC OCEAN","","-46.5703","-46.5703","166.9069","166.9069","SUBAERIAL","","","s OU32754-2B [18728] / s OU32754-2A [18728]","NOT GIVEN [18728]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18728] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.86577472648279","2.70062842973056","","","","","","","","","","","","","11.1876769866589","3214.69285018026","99.8735958483156","17.8140835520457","633.150693824533","","10.5649871959177","12.8909965245631","14.3937338001111","35.8678438208304","19.8955193550734","","","","","33.5684863473255","1189.81914819696","9.14319069463033","67.9828798948276","15.4188895174914","0.482737636296221","","","","","2.92696996050131E-02","","","","","","0.776921202440098","688.213228942887","38.1838116007678","42.3985153787178","4.8455728692455","22.921434398645","3.47943751017272","1.18001589731329","2.3326483876687","0.296885242629578","1.54522620914678","0.292339060045647","0.946879988373875","","0.923825388336064","0.110762156348815","2.24627706824106","0.858168168397883","","","","","","","","","4.98923879366081","","10.804500278029","3.70019395669479","","","","","","","","","","","","","","","","","","","","","","","","","109865-OU32754",
"[4202]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / OTAGO","ROSLYN","-45","-45","170","170","SUBAERIAL","","","s 4438 [4202]","DOLERITE [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117607",
"[4202]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / OTAGO","WAIHOLA","-46","-46","170","170","SUBAERIAL","","","s 4419 [4202]","BASANITE [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117608",
"[4202]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / OTAGO","JEFFRIES HILL","-45","-46","170","170","SUBAERIAL","","","s 4052 [4202]","MUGEARITE [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","","","","540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117610",
"[4202]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / OTAGO","","-45","-46","170","170","SUBAERIAL","","","s 4435 [4202]","PHONOLITE [4202]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117616",
"[6124]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","SOUTHERN INTRUSION","-46.53","-46.55","168.23","168.25","SUBAERIAL","","","s 33006 [6124]","DUNITE [6124]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6124] ","38.7","0.09","","1.5","","","","11.05","1.21","41.53","0.19","","0","0.08","0","","","","","","","","","","","","","","","0.01","4.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","38","2300","","","","1170","","","","","","","","","14","1","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137912",
"[6124]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","SOUTHERN INTRUSION","-46.53","-46.55","168.23","168.25","SUBAERIAL","","","s 51606 [6124]","DUNITE [6124]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6124] ","37.37","0.04","","0.41","","","","10.5","0.38","44.03","0.18","","0","0","0","","","","","","","","","","","","","","","0.01","6.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","22","2580","","","","1100","","","","","","","","","0.7","0.7","0.5","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137913",
"[6124]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","NORTHERN INTRUSION","-46.52","-46.54","168.23","168.25","SUBAERIAL","","","s 51602 [6124]","CLINOPYROXENITE, OLIVINE [6124]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6124] ","49.99","0.16","","2.01","","","","6.13","18.19","21.08","0.14","","0","0.12","0","","","","","","","","","","","","","","","0.01","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","120","2240","","","","288","","","","","","","","","13.5","5.3","3.3","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137914",
"[6124]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","SOUTHERN INTRUSION","-46.53","-46.55","168.23","168.25","SUBAERIAL","","","s 51607 [6124]","CLINOPYROXENITE, OLIVINE [6124]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6124] ","47.41","0.13","","1.72","","","","8.35","14.33","25.51","0.17","","0","0.1","0","","","","","","","","","","","","","","","0.01","2.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","","108","1850","","","","410","","","","","","","","","9.1","3.9","3.7","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137915",
