"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-1 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","41.58","4.11","","11.45","","","","17.11","6.41","11","0.26","","0.06","2.74","0.48","","","","","","","","","","","","","","","","3.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","426","384","","","41","403","","133","18","","","","","2","181","26","203","34","","","","","","","","","","","","","124","14","44","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313064",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-2 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","44.7","2.8","","11.54","","","","13.75","8.16","10.95","0.22","","1.02","2.49","0.35","","","","","","","","","","","","","","","","2.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","277","324","","","49","164","","119","16","","","","","16","469","22","200","34","","","","","","","","","","","","","225","24","51","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313065",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-3 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","43.61","4.36","","12.17","","","","14.28","6.18","9.29","0.32","","0.42","3.21","0.55","","","","","","","","","","","","","","","","3.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","295","259","","","32","25","","120","24","","","","","7","1028","31","284","49","","","","","","","","","","","","","167","28","70","","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313066",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-4 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","43.38","2.37","","10.93","","","","13.05","10.1","9.32","0.22","","0.19","2.25","0.34","","","","","","","","","","","","","","","","4.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","323","274","","","33","59","","107","18","","","","","3","620","33","215","23","","","","","","","","","","","","","15","13","41","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313067",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-5 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","45.84","2.7","","11.17","","","","15.3","8.41","9.83","0.2","","0.07","1.75","0.33","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","388","513","","","48","208","","116","20","","","","","2","324","39","216","24","","","","","","","","","","","","","54","16","42","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313068",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-6 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","47.83","2.14","","11.79","","","","11.75","7.47","10.5","0.17","","1.95","2.14","0.2","","","","","","","","","","","","","","","","4.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","273","554","","","49","29","","104","15","","","","","41","197","26","180","31","","","","","","","","","","","","","331","21","43","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313069",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-7 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","58.21","0.8","","13.73","","","","8.22","1.03","6.47","0.17","","0.03","3.23","0.14","","","","","","","","","","","","","","","","4.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","212","107","","","15","29","","89","20","","","","","12","147","19","156","11","","","","","","","","","","","","","17","13","32","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313070",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-8 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","46.7","1.02","","12.3","","","","13.25","9.63","12.63","0.19","","0.03","2.15","0.09","","","","","","","","","","","","","","","","2.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","281","233","","","36","109","","105","19","","","","","3","262","19","68","4","","","","","","","","","","","","","11","2","12","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313071",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-9 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","48.73","2.25","","11.51","","","","11.89","7.19","9.23","0.18","","1.31","2.89","0.21","","","","","","","","","","","","","","","","2.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","256","346","","","46","170","","100","16","","","","","28","86","22","171","26","","","","","","","","","","","","","124","19","51","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313072",
"[8730]","CONTINENTAL FLOOD BASALT","NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA","","40.26","40.26","29.65","29.65","SUBAERIAL","","","s CG-10 [8730]","BASALT [8730]","203000000 [8730]","215000000 [8730]","UPPER [8730]","TRIASSIC [8730]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8730] ","42.94","3.06","","12.67","","","","13.22","12.05","8.31","0.2","","0.35","2.32","0.35","","","","","","","","","","","","","","","","4.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","414","97","","","42","53","","132","20","","","","","6","375","43","237","21","","","","","","","","","","","","","6","10","33","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313073",
