"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1939]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 254 / INDIAN OCEAN","","-30.967","-30.967","87.895","87.895","SUBAQUATIC","","","s 254-36-3,95-97 [1939]","BASALT [1939]","","","","","","","","COARSELY HYALOPHITIC, ALTERED GLASSY MATRIX [1939] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1939] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","360","","","51","200","","","","","","","","","","","200","","","","","","","","","","","","","","","11.1","25.7","","18.2","5.3","1.8","","1.1","","","","","3.5","0.71","3.9","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138150",
"[1939]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 254 / INDIAN OCEAN","","-30.967","-30.967","87.895","87.895","SUBAQUATIC","","","s 254-38-1,115-117 [1939]","BASALT [1939]","","","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [1939] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","140","","","53","","","","","","","","","","","","200","","","","","","","","","","","","","","","7.2","17","","12.9","4.1","1.2","","0.87","","","","","3","0.61","3.1","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138151",
"[5580]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / INDIAN OCEAN","","-6.03","-6.03","88.95","88.95","SUBAQUATIC","-2996","-2996","s V34-55 [5580]","SAND, FORAMINIFEROUS [5580]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [5580] ","4.13","0.038","","0.85","","","","0.33","50.47","0.33","0.019","","0.16","0.85","0.044","","","","","","","","","","","","","","","","42.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","10","8.1","","","","7","19.6","11","","","","","","","1546","22.2","16","","","","","","","","","","","","","","812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141343",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756 / INDIAN OCEAN","HOLE 756C","-27.354","-27.354","87.598","87.598","SUBAQUATIC","-1527","-1527","s 11727-10N-2 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","EOCENE [1719]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512881","","","0.70411","","18.667","","15.516","","38.926","","","","","","","","","","","","","","","32995",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756 / INDIAN OCEAN","HOLE 756D","-27.355","-27.355","87.597","87.597","SUBAQUATIC","-1524","-1524","s 11729-4R-1 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","EOCENE [1719]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70417","","18.754","","15.521","","38.906","","","","","","","","","","","","","","","32996",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756 / INDIAN OCEAN","HOLE 756D","-27.355","-27.355","87.597","87.597","SUBAQUATIC","-1524","-1524","s 11735-6R-3 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","EOCENE [1719]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.633","","15.524","","38.883","","","","","","","","","","","","","","","32997",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756 / INDIAN OCEAN","HOLE 756D","-27.355","-27.355","87.597","87.597","SUBAQUATIC","-1524","-1524","s 11737-7R-2 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","EOCENE [1719]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512829","","","0.70417","","18.768","","15.521","","38.944","","","","","","","","","","","","","","","32998",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757 / INDIAN OCEAN","HOLE 757C","-17.023","-17.023","88.03","88.03","SUBAQUATIC","-1655","-1655","s 11752-9R-2 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","PALEOCENE [1719]","","","","PLAGIOCLASE-PHYRIC [1719] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70445","","","","","","","","","","","","","","","","","","","","","32999",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757 / INDIAN OCEAN","HOLE 757C","-17.023","-17.023","88.03","88.03","SUBAQUATIC","-1655","-1655","s 11753-9R-2 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","PALEOCENE [1719]","","","","PLAGIOCLASE-PHYRIC [1719] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.662","","15.561","","38.876","","","","","","","","","","","","","","","33000",
"[1719]","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 757 / INDIAN OCEAN","HOLE 757C","-17.023","-17.023","88.03","88.03","SUBAQUATIC","-1655","-1655","s 11756-9R-6 [1719]","THOLEIITE, OLIVINE [1719]","","","UPPER [1719]","PALEOCENE [1719]","","","","PLAGIOCLASE-PHYRIC [1719] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1719] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512737","","","0.706","","","","","","","","","","","","","","","","","","","","","33001",
