"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[11059]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CORDILLERA NORTHWESTERN UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD - LA GARITA CALDERA / FISH CANYON MAGMATIC SYSTEM - FISH CANYON TUFF","","37.75","37.75","-106.38","-106.38","SUBAERIAL","","","s FCT [11059]","NOT GIVEN [11059]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [11059] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.92","8.39","","","","","","","","","","","","","","","","","","","","","","","","","101600-FCT",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-01 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","43.4","0.106","","3.42","","","","7.79","2.97","39.7","0.13","","0.02","0.28","0.03","","","","","","","","","","","","","","","","-0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2","","73","2450","","","107","1997","12.4","50","3.04","","","","","0.56","7.7","2.86","8","0.22","","","","","","","","","","","","","5.2","0.35","0.55","0.08","0.49","0.2","0.09","0.35","0.07","0.46","0.11","0.33","0.05","0.33","0.05","0.22","0.007","","","","","","","","","0.2","","0.06","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1047440",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-03 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","44.1","0.093","","3.18","","","","8.13","2.9","41.2","0.13","","0.01","0.27","0.02","","","","","","","","","","","","","","","","-0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","","73","2664","","","109","2056","8.7","54","3","","","","","0.34","5.8","3.04","10","0.101","","","","","","","","","","","","","2.8","0.19","0.46","0.08","0.49","0.22","0.08","0.34","0.07","0.51","0.11","0.34","0.05","0.33","0.05","0.29","","","","","","","","","","0.2","","0.05","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1047441",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-08 [20303]","DUNITE, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","45.1","0.049","","2.8","","","","7.77","1.99","42","0.13","","0.01","0.16","0","","","","","","","","","","","","","","","","-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2","","62","3502","","","111","2119","11.5","54","2.51","","","","","0.34","3.2","1.57","6","0.186","","","","","","","","","","","","","2","0.18","0.38","0.06","0.32","0.09","0.04","0.17","0.03","0.24","0.06","0.18","0.03","0.2","0.03","0.15","","","","","","","","","","0.2","","0.02","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1047442",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-16 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","42.8","0.075","","2.55","","","","8.12","2.35","41.6","0.13","","0.02","0.23","0.01","","","","","","","","","","","","","","","","-0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","89","2509","","","118","2208","13.2","53","2.53","","","","","0.38","5.5","2.33","8","0.199","","","","","","","","","","","","","3.2","0.23","0.45","0.06","0.4","0.16","0.07","0.27","0.05","0.39","0.09","0.26","0.04","0.27","0.04","0.19","","","","","","","","","","0.2","","0.03","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1047443",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-R4 [20303]","NOT GIVEN [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","45","0.125","","4.03","","","","7.78","3.51","39.1","0.13","","0.01","0.32","0.01","","","","","","","","","","","","","","","","-0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6","","87","2574","","","101","1864","22.7","53","3.21","","","","","0.19","5.7","3.31","","0.138","","","","","","","","","","","","","2.4","0.19","0.41","0.1","0.57","0.26","0.11","0.43","0.08","0.56","0.13","0.38","0.06","0.38","0.06","0.17","0.008","","","","","","","","","0","","0","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1047444",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-06 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","44.7","0.123","","3.69","","","","7.89","3.31","39.3","0.13","","0.06","0.36","0.01","","","","","","","","","","","","","","","","-0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","","76","2665","","","107","2019","10.9","53","3.29","","","","","1","12","3.35","9","0.755","","","","","","","","","","","","","6.9","0.47","1.18","0.17","0.77","0.27","0.12","0.42","0.08","0.55","0.12","0.39","0.06","0.39","0.06","0.26","0.039","","","","","","","","","0.2","","0.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1047445",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-13 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","44.7","0.113","","3.35","","","","8.01","2.73","40.8","0.13","","0.03","0.27","0.02","","","","","","","","","","","","","","","","-0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","","80","2709","","","106","1970","16.3","52","3.16","","","","","0.62","16.4","2.87","12","0.632","","","","","","","","","","","","","4.2","0.67","1.48","0.2","0.83","0.25","0.1","0.36","0.06","0.46","0.1","0.3","0.04","0.32","0.05","0.28","0.04","","","","","","","","","0.4","","0.09","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1047446",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-18 [20303]","DUNITE, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","43.4","0.101","","3.25","","","","7.8","2.88","40.2","0.12","","0.04","0.33","0.01","","","","","","","","","","","","","","","","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","86","3275","","","107","2030","8.6","57","3.09","","","","","0.58","14.6","2.84","10","0.463","","","","","","","","","","","","","3.4","0.53","1.13","0.15","0.67","0.23","0.09","0.36","0.07","0.48","0.1","0.31","0.04","0.3","0.05","0.25","0.022","","","","","","","","","","","0.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1047447",
"[20303]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / BRITISH COLUMBIA","TASSE PROPERTY OF BARKER MINERALS, NEAR NORTH SHORE OF QUESNEL LAKE","53","53","-121","-121","SUBAERIAL","","","s TA-2012-19 [20303]","PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20303] ","43.6","0.11","","3.13","","","","8.55","2.34","39.4","0.14","","0.01","0.23","0.04","","","","","","","","","","","","","","","","-0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","","83","2845","","","108","1915","8.8","65","3.21","","","","","0.31","14.5","2.63","14","0.552","","","","","","","","","","","","","1.9","0.76","1.79","0.26","1.15","0.32","0.11","0.38","0.07","0.46","0.09","0.29","0.04","0.29","0.05","0.34","0.037","","","","","","","","","0.2","","0.07","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1047448",
