"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","PIAXTLA GROUP, XAYACATLAN","18","18.5","-98","-98.5","SUBAERIAL","","","s XAYA-37 [20430]","NOT GIVEN [20430]","","","","ORDOVICIAN [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","47.21","0.38","","16.76","","","","6.96","11.46","10.37","0.13","","2.79","0.46","0.09","","","","","","","","","","","","","","","","2.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","303","","","37","82","","","13","","","","","74","98","","46","1.9","","","","","","","","","","","","","756","12.5","26.4","3.37","13.9","2.85","0.75","2.43","0.37","2.16","0.44","1.22","0.18","1.16","0.17","1.4","","","","","","","","","","","","","","0.512337","","","0.713642","","","","","","","","","","","","","","","","","","","","","1062558",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","PIAXTLA GROUP, XAYACATLAN","18","18.5","-98","-98.5","SUBAERIAL","","","s XAYA-39 [20430]","NOT GIVEN [20430]","","","","ORDOVICIAN [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","46.56","0.83","","16.63","","","","10.29","8.7","8.07","0.2","","2.49","1.59","0.02","","","","","","","","","","","","","","","","2.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","251","","","49","51","","","24","","","","","61","179","","147","6.6","","","","","","","","","","","","","762","18.6","47.6","6.76","28.2","6.01","1.47","5.1","0.76","4.32","0.88","2.45","0.36","2.37","0.36","3.7","0.34","","","","","","","","","","","","","0.512197","","","0.715397","","","","","","","","","","","","","","","","","","","","","1062559",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","PIAXTLA GROUP, XAYACATLAN","18","18.5","-98","-98.5","SUBAERIAL","","","s XAYA-44 [20430]","NOT GIVEN [20430]","","","","ORDOVICIAN [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","48.32","1.01","","19.99","","","","7.38","7.64","5.57","0.14","","3.28","2.73","0.28","","","","","","","","","","","","","","","","3.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","123","","","93","84","","","25","","","","","34","294","","213","14.2","","","","","","","","","","","","","832","30.2","77.6","11.1","47.6","10.7","1.83","9.32","1.43","8.1","1.58","4.46","0.62","3.86","0.54","5.85","0.63","","","","","","","","","","","","","0.512223","","","0.714952","","","","","","","","","","","","","","","","","","","","","1062560",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01A [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","38.77","0.217","","3.97","0","","","8.44","3.16","32.67","0.134","0","0.07","0.05","0.04","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","0","","","","","","","","","","","","","16","","94","1810","","","82","1260","40","50","4","1","0","","","4","106","4","13","0.5","0","","","","0","","0","0","0.7","","","0.6","23","1.2","2.5","0.36","1.82","0.49","0.198","0.58","0.11","0.72","0.14","0.39","0.058","0.37","0.054","0.3","0.05","0","","","","","","","0","0","0","0.14","0.1","","","","","","","","","","","","","","","","","","","","","","","","","1100476",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01B [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","39.5","0.211","","3.96","0","","","8.32","4.67","32.32","0.147","0","0.04","0.15","0.06","","","","","","","","","","","","","","","","9.4","","","","","","","","","","","","","","","0","","","","","","","","","","","","","16","","107","1860","","","84","1280","30","50","4","0.8","0","","","1","49","4.2","12","0.3","0","","","","0","","0","0","0.5","","","0.2","20","1.24","2.55","0.37","1.77","0.6","0.206","0.64","0.12","0.75","0.15","0.41","0.06","0.4","0.061","0.3","0.03","1.1","","","","","","","0","0","0","0.14","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1100477",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01C [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","40.7","0.378","","6.18","0","","","8.84","13.37","22.89","0.156","0","0.12","0.13","0.1","","","","","","","","","","","","","","","","6.42","","","","","","","","","","","","","","","0","","","","","","","","","","","","","26","","168","1740","","","64","720","70","70","4","1","0","","","3","164","7.5","19","0.4","0","","","","0","","0","0","0.6","","","0.2","236","2.21","4.53","0.71","3.12","0.85","0.335","1.25","0.22","1.38","0.28","0.81","0.114","0.72","0.113","0.5","0.05","0.6","","","","","","","0","0","0","0.24","0.19","","","","","","","","","","","","","","","","","","","","","","","","","1100478",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01D [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","39.5","0.216","","4.14","0","","","7.89","3.24","30.66","0.14","0","0.21","0.06","0.08","","","","","","","","","","","","","","","","11.87","","","","","","","","","","","","","","","0","","","","","","","","","","","","","17","","102","1850","","","83","1260","30","50","5","1","0","","","6","169","4.4","12","0","0","","","","0","","0","0","0.6","","","0.6","101","1.45","2.84","0.39","2.11","0.54","0.219","0.65","0.12","0.81","0.17","0.47","0.064","0.41","0.063","0.2","0.04","0.5","","","","","","","0","0","0","0.14","0.11","","","","","","","","","","","","","","","","","","","","","","","","","1100479",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01E [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","41.9","0.315","","5.4","0","","","8.41","9.8","25.02","0.149","0","0.8","0.16","0.09","","","","","","","","","","","","","","","","6.75","","","","","","","","","","","","","","","0","","","","","","","","","","","","","22","","143","1680","","","70","900","60","60","4","1","0","","","12","224","6.2","16","0","0","","","","0","","0","0","0.6","","","0.6","304","1.91","3.82","0.57","2.72","0.82","0.318","1.05","0.18","1.08","0.23","0.66","0.096","0.62","0.096","0.4","0.05","0.8","","","","","","","0.1","0","0","0.2","0.15","","","","","","","","","","","","","","","","","","","","","","","","","1100480",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01F [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","39.76","0.217","","4.07","0","","","8.14","2.91","31.78","0.139","0","0.13","0.05","0.05","","","","","","","","","","","","","","","","11.73","","","","","","","","","","","","","","","0","","","","","","","","","","","","","16","","98","1840","","","84","1270","30","50","5","0.8","0","","","5","225","4.3","12","0","0","","","","0","","0","0","0.6","","","0.6","48","1.3","2.7","0.41","2.07","0.63","0.216","0.73","0.13","0.83","0.16","0.44","0.068","0.45","0.072","0.3","0.05","0.8","","","","","","","0","0","0","0.14","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1100481",
"[20627]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / STUHINI GROUP","STIKINE TERRANE","57.2547","57.2547","-130.9632","-130.9632","SUBAERIAL","","","s ZE15-DM-01G [20627]","NOT GIVEN [20627]","","","","TRIASSIC [20627]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20627] ","40.6","0.25","","4.46","0","","","8.44","7.15","28.46","0.139","0","0.22","0.14","0.06","","","","","","","","","","","","","","","","9.79","","","","","","","","","","","","","","","0","","","","","","","","","","","","","19","","120","1780","","","76","1080","50","60","4","1","0","","","6","320","5.1","13","0","0","","","","0","","0","0","0.6","","","0.5","138","1.53","3.25","0.48","2.26","0.71","0.243","0.88","0.15","0.94","0.19","0.54","0.081","0.53","0.081","0.3","0.04","0","","","","","","","0","0","0","0.16","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1100482",
