"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-3 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","45.34","1.31","","12.94","","","","9.22","13.31","5.54","0.19","","0.25","2.89","0.12","","","","","","","","","","","","","","","","7.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275","167","","","41","78","","","14","","","","","13","153","24","75","1.8","","","","","","","","","","","","","39","2.37","6.86","1.25","7.2","2.45","0.92","3.73","0.67","4.64","0.96","2.89","0.42","2.83","0.39","1.87","0.1","","","","","","","","","","","0.17","","0.513088","","","","","","","","","","","","","","","","","","","","","","","","1062551",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-5 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","46.28","1.23","","15.03","","","","10.32","8.01","8.66","0.18","","0.17","1.8","0.1","","","","","","","","","","","","","","","","7.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275","221","","","47","122","","","14","","","","","12","119","22","68","1.5","","","","","","","","","","","","","39","2.05","6.15","1.1","6.22","2.19","0.83","3.55","0.63","4.36","0.87","2.65","0.4","2.6","0.36","1.82","0.08","","","","","","","","","","","0.08","","0.513131","","","","","","","","","","","","","","","","","","","","","","","","1062552",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-7 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","46","1.49","","14.58","","","","10.81","10.49","8.31","0.21","","0.14","2.03","0.11","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304","244","","","49","99","","","16","","","","","9","190","29","93","2.1","","","","","","","","","","","","","37","2.59","8.16","1.49","8.71","2.9","1.18","4.61","0.82","5.76","1.2","3.48","0.5","3.29","0.45","2.45","0.14","","","","","","","","","","","0.1","","0.513134","","","","","","","","","","","","","","","","","","","","","","","","1062553",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-9 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","47.44","1.44","","13.62","","","","11.97","9.35","7.59","0.19","","0.08","2.75","0.13","","","","","","","","","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359","170","","","55","90","","","16","","","","","8","123","25","82","4","","","","","","","","","","","","","66","2.82","7.94","1.33","7.54","2.58","0.96","4.09","0.78","5.3","1.04","3.06","0.45","3.1","0.48","2.11","0.22","","","","","","","","","","","0.19","","0.51314","","","","","","","","","","","","","","","","","","","","","","","","1062554",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-10 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","49.21","1.24","","13.47","","","","10.99","8.63","7.84","0.18","","0.19","2.77","0.11","","","","","","","","","","","","","","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333","175","","","50","66","","","14","","","","","15","97","23","70","3.4","","","","","","","","","","","","","45","2.41","6.79","1.2","6.74","2.34","0.87","3.71","0.68","4.8","0.94","2.74","0.41","2.72","0.43","1.71","0.21","","","","","","","","","","","0.16","","0.513085","","","","","","","","","","","","","","","","","","","","","","","","1062555",
"[20430]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CORDILLERA MEXICO / PUEBLA / ACATLAN COMPLEX","SALADA","18.5","18.5","-98.3","-98.3","SUBAERIAL","","","s SAL-2 [20430]","NOT GIVEN [20430]","","","","CARBONIFEROUS [20430]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20430] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513095","","","","","","","","","","","","","","","","","","","","","","","","1062562",
"[18579]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / ALEY CARBONATITE","ALEY NB DEPOSIT, ROCKY MOUNTAINS","56.45","56.45","-123.75","-123.75","SUBAERIAL","","","s 5 [18579]","RAUHAUGITE [18579]","","","","paleozoic [18579]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18579] ","0.69","0.18","","0.49","","","","4.93","31.2","16.5","0.22","","0","0.06","6.07","","","","","","","0.56","","","","","","","","","36.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","0","","","10","0","","","","","","","","","831","140","146","5699","","","","","","","","","","","","","45","388","816","","","","","","","","","","","","","","1","","","","","","","","","","","375","","","","","","","","","","","","","","","","","","","","","","","","","","1067601",
"[18579]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / ALEY CARBONATITE","ALEY NB DEPOSIT, ROCKY MOUNTAINS","56.45","56.45","-123.75","-123.75","SUBAERIAL","","","s 6 [18579]","RAUHAUGITE [18579]","","","","PALEOZOIC [18579]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18579] ","5.8","0.2","","0.34","","","","4.42","28.2","16.6","0.9","","0.26","0.05","1.81","","","","","","","0.34","","","","","","","","","39.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","0","","","4","0","","","","","","","","","3391","18","35","683","","","","","","","","","","","","","59","205","390","","","","","","","","","","","","","","0","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","1067602",
"[18579]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / ALEY CARBONATITE","ALEY NB DEPOSIT, ROCKY MOUNTAINS","56.45","56.45","-123.75","-123.75","SUBAERIAL","","","s 7 [18579]","RAUHAUGITE [18579]","","","","PALEOZOIC [18579]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18579] ","2.42","0.2","","0.15","","","","2.25","31","14.9","0.22","","0.13","0.08","5.29","","","","","","","0.63","","","","","","","","","37.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","","0","","","10","5","","","","","","","","","1426","249","70","6759","","","","","","","","","","","","","24","598","1115","","","","","","","","","","","","","","0","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","1067603",
"[18579]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PALEOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / ALEY CARBONATITE","ALEY NB DEPOSIT, ROCKY MOUNTAINS","56.45","56.45","-123.75","-123.75","SUBAERIAL","","","s 8 [18579]","RAUHAUGITE [18579]","","","","PALEOZOIC [18579]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18579] ","7.22","0.14","","0.3","","","","2.38","32.74","12.77","0.22","","0.02","0","11.42","","","","","","","","","","","","","","","","27.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","0","","","11","10","","","","","","","","","2023","138","290","13525","","","","","","","","","","","","","38","558","1215","","","","","","","","","","","","","","171","","","","","","","","","","","712","","","","","","","","","","","","","","","","","","","","","","","","","","1067604",
